step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00  1.2016296e-02  5.7220459e-04
 -2.8038025e-02 -3.0708313e-02 -1.0439822e-04  1.1634827e-02
 -2.4795532e-03 -6.3515663e-02  5.1308632e-02  1.7953791e-02
 -5.5504799e-02 -3.6431313e-02  7.3815346e-02 -1.2016296e-02
 -3.4142494e-02 -2.0980835e-03 -3.2424927e-03 -4.9019814e-02
 -7.8201294e-03  3.7194252e-02 -2.1982193e-04  2.1982193e-04
 -6.5937045e-04 -2.1982193e-04 -2.4061203e-04 -2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -1.0989190e-03 -1.2014416e-04
  2.1982193e-04  2.1982193e-04  2.1982193e-04 -6.5937045e-04
  2.1982193e-04  2.1982193e-04 -2.1982193e-04 -2.1982193e-04
  2.1982193e-04 -1.0989190e-03  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[-0.0623742   0.19404098 -0.00781843 -0.20273232  0.16884899  0.40721345
  0.10110834 -0.26594308  0.7019508  -0.73195225 -0.0928278   0.07562468
  0.09254619 -0.03339714 -0.17806575 -0.10783449 -0.00351091  0.05278388
  0.19170702  0.1836823 ]","[-0.0623742   0.19404098 -0.00781843 -0.20273232  0.16884899  0.40721345
  0.10110834 -0.26594308  0.7019508  -0.73195225 -0.0928278   0.07562468
  0.09254619 -0.03339714 -0.17806575 -0.10783449 -0.00351091  0.05278388
  0.19170702  0.1836823 ]","[-0.01559355  0.04851025 -0.00195461 -0.05068308  0.04221225  0.10180336
  0.02527709 -0.06648577  0.1754877  -0.18298806 -0.02320695  0.01890617
  0.02313655 -0.00834929 -0.04451644 -0.02695862 -0.00087773  0.01319597
  0.04792675  0.04592057]"
1,0.0078125,"[ 4.9067676e-02  9.9879545e-01  1.2016296e-02  5.7220459e-04
 -2.8038025e-02 -3.0708313e-02 -1.0439822e-04  1.1634827e-02
 -2.0980835e-03 -6.3515663e-02  5.1308632e-02  1.7953791e-02
 -5.5504799e-02 -3.6431313e-02  7.3815346e-02 -1.2016296e-02
 -3.4142494e-02 -2.0980835e-03 -3.2424927e-03 -4.9019814e-02
 -7.8201294e-03  3.7194252e-02 -1.0989190e-03 -2.1982193e-04
 -2.1982193e-04  2.1982193e-04  2.4058633e-04 -2.1982193e-04
  2.1982193e-04 -6.5937045e-04 -6.5937045e-04 -1.2026853e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -6.5937045e-04
  6.5937045e-04 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04
  6.5937045e-04 -2.1982193e-04 -6.2374204e-02  1.9404098e-01
 -7.8184269e-03 -2.0273232e-01  1.6884899e-01  4.0721345e-01
  1.0110834e-01 -2.6594308e-01  7.0195079e-01 -7.3195225e-01
 -9.2827797e-02  7.5624682e-02  9.2546195e-02 -3.3397142e-02
 -1.7806575e-01 -1.0783449e-01 -3.5109147e-03  5.2783877e-02
  1.9170702e-01  1.8368229e-01]","[ 0.3908503   0.15993163  0.01074988  0.31853786  0.03204833  0.36953732
  0.05375098 -0.2138224   0.6679489  -0.6835056  -0.23902616  0.02530899
  0.03924674 -0.08436991 -0.1794103  -0.1039764   0.00363203 -0.00933486
  0.11198036  0.17677525]","[ 0.3908503   0.15993163  0.01074988  0.31853786  0.03204833  0.36953732
  0.05375098 -0.2138224   0.6679489  -0.6835056  -0.23902616  0.02530899
  0.03924674 -0.08436991 -0.1794103  -0.1039764   0.00363203 -0.00933486
  0.11198036  0.17677525]","[ 0.09771258  0.03998291  0.00268747  0.07963447  0.00801208  0.09238433
  0.01343775 -0.0534556   0.16698723 -0.1708764  -0.05975654  0.00632725
  0.00981168 -0.02109248 -0.04485257 -0.0259941   0.00090801 -0.00233372
  0.02799509  0.04419381]"
2,0.015625,"[ 9.8017141e-02  9.9518472e-01  1.2016296e-02  5.7220459e-04
 -2.8038025e-02 -3.0708313e-02 -1.0439822e-04  1.1634827e-02
 -2.0980835e-03 -6.3515663e-02  5.1308632e-02  1.7953791e-02
 -5.5504799e-02 -3.6431313e-02  7.3815346e-02 -1.2016296e-02
 -3.4142494e-02 -2.0980835e-03 -3.2424927e-03 -4.9019814e-02
 -7.8201294e-03  3.7194252e-02  6.5937045e-04 -2.1982193e-04
  2.1982193e-04 -2.1982193e-04  1.2031896e-04 -2.1982193e-04
  2.1982193e-04 -2.1982193e-04 -2.1982193e-04  4.9141182e-08
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04  6.5937045e-04
 -6.5937045e-04 -6.5937045e-04 -2.1982193e-04  2.1982193e-04
  2.1982193e-04  2.1982193e-04  3.9085031e-01  1.5993163e-01
  1.0749880e-02  3.1853786e-01  3.2048330e-02  3.6953732e-01
  5.3750981e-02 -2.1382239e-01  6.6794890e-01 -6.8350559e-01
 -2.3902616e-01  2.5308985e-02  3.9246738e-02 -8.4369905e-02
 -1.7941029e-01 -1.0397640e-01  3.6320304e-03 -9.3348622e-03
  1.1198036e-01  1.7677525e-01]","[ 0.68494487  0.11126965  0.16034628  0.6610795  -0.09645731  0.41572872
 -0.00275211 -0.09699048  0.70949197 -0.71613514 -0.29569203 -0.0364007
 -0.00822836 -0.09284396 -0.08277161 -0.10205835 -0.05070977 -0.02696884
  0.05420007  0.16589263]","[ 0.68494487  0.11126965  0.16034628  0.6610795  -0.09645731  0.41572872
 -0.00275211 -0.09699048  0.70949197 -0.71613514 -0.29569203 -0.0364007
 -0.00822836 -0.09284396 -0.08277161 -0.10205835 -0.05070977 -0.02696884
  0.05420007  0.16589263]","[ 0.17123622  0.02781741  0.04008657  0.16526988 -0.02411433  0.10393218
 -0.00068803 -0.02424762  0.17737299 -0.17903379 -0.07392301 -0.00910018
 -0.00205709 -0.02321099 -0.0206929  -0.02551459 -0.01267744 -0.00674221
  0.01355002  0.04147316]"
3,0.0234375,"[ 1.46730468e-01  9.89176512e-01  1.20162964e-02  5.72204590e-04
 -2.80380249e-02 -3.07083130e-02  3.29230523e-12  1.16348267e-02
 -2.09808350e-03 -6.35156631e-02  5.13086319e-02  1.79537907e-02
 -5.55047989e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -3.24249268e-03 -4.90198135e-02
 -7.82012939e-03  3.71942520e-02 -6.59370446e-04 -2.19821930e-04
 -2.19821930e-04 -2.19821930e-04  2.40585330e-04 -2.19821930e-04
  2.19821930e-04 -2.19821930e-04 -2.19821930e-04  1.47402233e-07
 -2.19821930e-04 -1.09891896e-03  2.19821930e-04  2.19821930e-04
  2.19821930e-04  6.59370446e-04  2.19821930e-04 -6.59370446e-04
 -2.19821930e-04 -2.19821930e-04  6.84944868e-01  1.11269645e-01
  1.60346285e-01  6.61079526e-01 -9.64573100e-02  4.15728718e-01
 -2.75211409e-03 -9.69904810e-02  7.09491968e-01 -7.16135144e-01
 -2.95692027e-01 -3.64007019e-02 -8.22835788e-03 -9.28439647e-02
 -8.27716142e-02 -1.02058351e-01 -5.07097729e-02 -2.69688424e-02
  5.42000681e-02  1.65892631e-01]","[ 0.83222026  0.04693488  0.16699056  0.9354249  -0.20320731  0.5746436
 -0.086123    0.05025933  0.85897446 -0.66729444 -0.23563394 -0.09209944
 -0.0307821  -0.11300319 -0.0389828  -0.0944169  -0.14770886 -0.07206455
 -0.06097306  0.14460498]","[ 0.83222026  0.04693488  0.16699056  0.9354249  -0.20320731  0.5746436
 -0.086123    0.05025933  0.85897446 -0.66729444 -0.23563394 -0.09209944
 -0.0307821  -0.11300319 -0.0389828  -0.0944169  -0.14770886 -0.07206455
 -0.06097306  0.14460498]","[ 0.20805506  0.01173372  0.04174764  0.23385623 -0.05080183  0.1436609
 -0.02153075  0.01256483  0.21474361 -0.16682361 -0.05890848 -0.02302486
 -0.00769552 -0.0282508  -0.0097457  -0.02360423 -0.03692722 -0.01801614
 -0.01524327  0.03615125]"
4,0.03125,"[ 1.9509032e-01  9.8078525e-01  1.2016296e-02  5.7220459e-04
 -2.8038025e-02 -3.0708313e-02 -1.0439822e-04  1.1634827e-02
 -2.4795532e-03 -6.3515663e-02  5.1308632e-02  1.7953791e-02
 -5.5504799e-02 -3.6431313e-02  7.3815346e-02 -1.2016296e-02
 -3.4142494e-02 -2.0980835e-03 -3.2424927e-03 -4.9019814e-02
 -7.8201294e-03  3.7194252e-02 -6.5937045e-04  6.5937045e-04
 -2.1982193e-04 -6.5937045e-04 -3.6090429e-04  2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -1.5384675e-03 -1.2014416e-04
 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04  2.1982193e-04
  2.1982193e-04  2.1982193e-04  2.1982193e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04  8.3222026e-01  4.6934884e-02
  1.6699056e-01  9.3542492e-01 -2.0320731e-01  5.7464361e-01
 -8.6123005e-02  5.0259329e-02  8.5897446e-01 -6.6729444e-01
 -2.3563394e-01 -9.2099443e-02 -3.0782100e-02 -1.1300319e-01
 -3.8982805e-02 -9.4416901e-02 -1.4770886e-01 -7.2064549e-02
 -6.0973063e-02  1.4460498e-01]","[ 0.8978034   0.03452793  0.18848749  1.1124402  -0.27663732  0.78255665
 -0.1666048   0.11038005  1.0183513  -0.61579347 -0.16943544 -0.10394911
 -0.06611373 -0.11369739  0.03989189 -0.08713534 -0.16001932 -0.1198464
 -0.05594356  0.12246425]","[ 0.8978034   0.03452793  0.18848749  1.1124402  -0.27663732  0.78255665
 -0.1666048   0.11038005  1.0183513  -0.61579347 -0.16943544 -0.10394911
 -0.06611373 -0.11369739  0.03989189 -0.08713534 -0.16001932 -0.1198464
 -0.05594356  0.12246425]","[ 0.22445086  0.00863198  0.04712187  0.27811006 -0.06915933  0.19563916
 -0.0416512   0.02759501  0.25458783 -0.15394837 -0.04235886 -0.02598728
 -0.01652843 -0.02842435  0.00997297 -0.02178384 -0.04000483 -0.0299616
 -0.01398589  0.03061606]"
5,0.0390625,"[ 2.42980182e-01  9.70031261e-01  1.20162964e-02  5.72204590e-04
 -2.80380249e-02 -3.07083130e-02 -1.04398219e-04  1.16348267e-02
 -2.47955322e-03 -6.35156631e-02  5.13086319e-02  1.79537907e-02
 -5.55047989e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -3.24249268e-03 -4.90198135e-02
 -7.82012939e-03  3.71942520e-02 -2.19821930e-04  6.59370446e-04
 -2.19821930e-04  6.59370446e-04 -3.60904291e-04 -2.19821930e-04
  2.19821930e-04  2.19821930e-04 -6.59370446e-04 -1.20268531e-04
 -6.59370446e-04 -2.19821930e-04 -2.19821930e-04 -6.59370446e-04
 -2.19821930e-04  2.19821930e-04 -1.09891896e-03 -2.19821930e-04
  2.19821930e-04  2.19821930e-04  8.97803426e-01  3.45279314e-02
  1.88487485e-01  1.11244023e+00 -2.76637316e-01  7.82556653e-01
 -1.66604802e-01  1.10380046e-01  1.01835132e+00 -6.15793467e-01
 -1.69435441e-01 -1.03949107e-01 -6.61137253e-02 -1.13697395e-01
  3.98918949e-02 -8.71353447e-02 -1.60019323e-01 -1.19846404e-01
 -5.59435561e-02  1.22464254e-01]","[ 0.97386944  0.01981497  0.17075798  1.262066   -0.2784212   0.95255655
 -0.20172474  0.17949912  1.2147707  -0.55512077 -0.12065259 -0.07275964
 -0.12358931 -0.07403433  0.08210091 -0.07877576 -0.10443039 -0.13984673
 -0.06993862  0.11330381]","[ 0.97386944  0.01981497  0.17075798  1.262066   -0.2784212   0.95255655
 -0.20172474  0.17949912  1.2147707  -0.55512077 -0.12065259 -0.07275964
 -0.12358931 -0.07403433  0.08210091 -0.07877576 -0.10443039 -0.13984673
 -0.06993862  0.11330381]","[ 0.24346736  0.00495374  0.04268949  0.3155165  -0.0696053   0.23813914
 -0.05043118  0.04487478  0.30369267 -0.13878019 -0.03016315 -0.01818991
 -0.03089733 -0.01850858  0.02052523 -0.01969394 -0.0261076  -0.03496168
 -0.01748466  0.02832595]"
6,0.046875,"[ 2.90284663e-01  9.56940353e-01  1.20162964e-02  5.72204590e-04
 -2.80380249e-02 -3.07083130e-02  3.29230523e-12  1.16348267e-02
 -2.47955322e-03 -6.35156631e-02  5.13086319e-02  1.78493932e-02
 -5.55047989e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -3.24249268e-03 -4.90198135e-02
 -7.82012939e-03  3.71942520e-02 -6.59370446e-04 -1.09891896e-03
 -2.19821930e-04 -2.19821930e-04  2.40611422e-04  6.59370446e-04
 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04  4.96070776e-08
 -2.19821930e-04  2.19821930e-04 -2.19821930e-04  1.09891896e-03
 -2.19821930e-04  2.19821930e-04 -2.19821930e-04 -1.09891896e-03
  6.59370446e-04 -2.19821930e-04  9.73869443e-01  1.98149681e-02
  1.70757979e-01  1.26206601e+00 -2.78421193e-01  9.52556551e-01
 -2.01724738e-01  1.79499120e-01  1.21477067e+00 -5.55120766e-01
 -1.20652586e-01 -7.27596357e-02 -1.23589307e-01 -7.40343332e-02
  8.21009129e-02 -7.87757635e-02 -1.04430392e-01 -1.39846727e-01
 -6.99386224e-02  1.13303810e-01]","[ 0.8697514  -0.01153228  0.14895324  1.2888674  -0.31848392  1.1687467
 -0.27642393  0.20325705  1.4324434  -0.583715   -0.09017336 -0.03564241
 -0.2052404  -0.11039424  0.16054522 -0.06944239 -0.1513669  -0.19348213
 -0.0669563   0.0966675 ]","[ 0.8697514  -0.01153228  0.14895324  1.2888674  -0.31848392  1.1687467
 -0.27642393  0.20325705  1.4324434  -0.583715   -0.09017336 -0.03564241
 -0.2052404  -0.11039424  0.16054522 -0.06944239 -0.1513669  -0.19348213
 -0.0669563   0.0966675 ]","[ 0.21743785 -0.00288307  0.03723831  0.32221684 -0.07962098  0.29218668
 -0.06910598  0.05081426  0.35811085 -0.14592876 -0.02254334 -0.0089106
 -0.0513101  -0.02759856  0.0401363  -0.0173606  -0.03784173 -0.04837053
 -0.01673908  0.02416687]"
7,0.05468750000000001,"[ 3.3688986e-01  9.4154406e-01  1.2016296e-02  5.7220459e-04
 -2.8038025e-02 -3.0708313e-02 -1.0439822e-04  1.1634827e-02
 -2.4795532e-03 -6.3515663e-02  5.1308632e-02  1.7849393e-02
 -5.5504799e-02 -3.6431313e-02  7.3815346e-02 -1.2016296e-02
 -3.4142494e-02 -2.0980835e-03 -3.2424927e-03 -4.9019814e-02
 -7.8201294e-03  3.7194252e-02  6.5937045e-04 -2.1982193e-04
 -6.5937045e-04  6.5937045e-04 -1.2031896e-04  2.1982193e-04
  2.1982193e-04 -2.1982193e-04 -6.5937045e-04  1.2034189e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -6.5937045e-04
  2.1982193e-04 -2.1982193e-04 -1.0989190e-03 -2.1982193e-04
  6.5937045e-04 -2.1982193e-04  8.6975139e-01 -1.1532277e-02
  1.4895324e-01  1.2888674e+00 -3.1848392e-01  1.1687467e+00
 -2.7642393e-01  2.0325705e-01  1.4324434e+00 -5.8371502e-01
 -9.0173364e-02 -3.5642408e-02 -2.0524040e-01 -1.1039424e-01
  1.6054522e-01 -6.9442391e-02 -1.5136690e-01 -1.9348213e-01
 -6.6956304e-02  9.6667498e-02]","[ 0.73627704 -0.02785889  0.07798432  1.3255411  -0.31194162  1.2826787
 -0.31829825  0.18839842  1.6296904  -0.7118844  -0.0773834  -0.05194014
 -0.2255269  -0.12598008  0.23807085 -0.06565653 -0.13485572 -0.11628964
 -0.15143344  0.0700502 ]","[ 0.73627704 -0.02785889  0.07798432  1.3255411  -0.31194162  1.2826787
 -0.31829825  0.18839842  1.6296904  -0.7118844  -0.0773834  -0.05194014
 -0.2255269  -0.12598008  0.23807085 -0.06565653 -0.13485572 -0.11628964
 -0.15143344  0.0700502 ]","[ 0.18406926 -0.00696472  0.01949608  0.33138528 -0.07798541  0.32066968
 -0.07957456  0.04709961  0.4074226  -0.1779711  -0.01934585 -0.01298504
 -0.05638172 -0.03149502  0.05951771 -0.01641413 -0.03371393 -0.02907241
 -0.03785836  0.01751255]"
8,0.0625,"[ 3.8268343e-01  9.2387950e-01  1.2016296e-02  5.7220459e-04
 -2.8038025e-02 -3.0708313e-02 -1.0439822e-04  1.1634827e-02
 -2.0980835e-03 -6.3515663e-02  5.1308632e-02  1.7849393e-02
 -5.5504799e-02 -3.6431313e-02  7.3815346e-02 -1.2016296e-02
 -3.4142494e-02 -2.0980835e-03 -3.2424927e-03 -4.9019814e-02
 -7.8201294e-03  3.7194252e-02 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -2.1982193e-04  2.4058633e-04 -2.1982193e-04
  2.1982193e-04 -2.1982193e-04 -6.5937045e-04  1.2034189e-04
 -1.0989190e-03 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
  2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04
 -1.0989190e-03  2.1982193e-04  7.3627704e-01 -2.7858891e-02
  7.7984318e-02  1.3255411e+00 -3.1194162e-01  1.2826787e+00
 -3.1829825e-01  1.8839842e-01  1.6296904e+00 -7.1188438e-01
 -7.7383399e-02 -5.1940143e-02 -2.2552690e-01 -1.2598008e-01
  2.3807085e-01 -6.5656528e-02 -1.3485572e-01 -1.1628964e-01
 -1.5143344e-01  7.0050202e-02]","[ 6.1470425e-01 -9.3259513e-03  1.6648369e-01  1.2015545e+00
 -2.0499602e-01  1.4572172e+00 -3.2032430e-01  1.9144085e-01
  1.9361364e+00 -7.7667993e-01 -6.9132179e-02 -1.8754948e-02
 -2.0059669e-01 -1.0968555e-01  3.4348947e-01 -5.0795313e-02
  1.6879924e-03 -1.5588956e-01 -8.3888322e-02  6.6585213e-02]","[ 6.1470425e-01 -9.3259513e-03  1.6648369e-01  1.2015545e+00
 -2.0499602e-01  1.4572172e+00 -3.2032430e-01  1.9144085e-01
  1.9361364e+00 -7.7667993e-01 -6.9132179e-02 -1.8754948e-02
 -2.0059669e-01 -1.0968555e-01  3.4348947e-01 -5.0795313e-02
  1.6879924e-03 -1.5588956e-01 -8.3888322e-02  6.6585213e-02]","[ 1.5367606e-01 -2.3314878e-03  4.1620921e-02  3.0038863e-01
 -5.1249005e-02  3.6430430e-01 -8.0081075e-02  4.7860213e-02
  4.8403409e-01 -1.9416998e-01 -1.7283045e-02 -4.6887370e-03
 -5.0149173e-02 -2.7421387e-02  8.5872367e-02 -1.2698828e-02
  4.2199809e-04 -3.8972389e-02 -2.0972081e-02  1.6646303e-02]"
9,0.0703125,"[ 4.2755508e-01  9.0398932e-01  1.2016296e-02  5.7220459e-04
 -2.8038025e-02 -3.0708313e-02 -1.0439822e-04  1.1634827e-02
 -2.4795532e-03 -6.3515663e-02  5.1308632e-02  1.7849393e-02
 -5.5504799e-02 -3.6431313e-02  7.3815346e-02 -1.2016296e-02
 -3.4142494e-02 -2.0980835e-03 -3.2424927e-03 -4.9019814e-02
 -7.8201294e-03  3.7194252e-02 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04  6.5937045e-04 -2.4061203e-04  6.5937045e-04
 -2.1982193e-04 -2.1982193e-04  6.5937045e-04  4.9607078e-08
 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -6.5937045e-04 -6.5937045e-04
 -2.1982193e-04  2.1982193e-04  6.1470425e-01 -9.3259513e-03
  1.6648369e-01  1.2015545e+00 -2.0499602e-01  1.4572172e+00
 -3.2032430e-01  1.9144085e-01  1.9361364e+00 -7.7667993e-01
 -6.9132179e-02 -1.8754948e-02 -2.0059669e-01 -1.0968555e-01
  3.4348947e-01 -5.0795313e-02  1.6879924e-03 -1.5588956e-01
 -8.3888322e-02  6.6585213e-02]","[ 0.6239976   0.02124514  0.3274665   1.1736965  -0.11001105  1.5048661
 -0.31918582  0.25751853  2.089901   -0.77763385 -0.05304751 -0.03627508
 -0.2823684  -0.04819683  0.17938684 -0.04236745 -0.04982966 -0.11390038
 -0.0701239   0.05117685]","[ 0.6239976   0.02124514  0.3274665   1.1736965  -0.11001105  1.5048661
 -0.31918582  0.25751853  2.089901   -0.77763385 -0.05304751 -0.03627508
 -0.2823684  -0.04819683  0.17938684 -0.04236745 -0.04982966 -0.11390038
 -0.0701239   0.05117685]","[ 0.1559994   0.00531128  0.08186662  0.29342413 -0.02750276  0.37621653
 -0.07979646  0.06437963  0.52247524 -0.19440846 -0.01326188 -0.00906877
 -0.0705921  -0.01204921  0.04484671 -0.01059186 -0.01245741 -0.02847509
 -0.01753098  0.01279421]"
