step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -1.4305115e-02  1.7738342e-02
 -3.6812782e-02 -2.6130676e-02 -1.1379267e-02  3.8138780e-04
 -1.2779236e-02  8.5830688e-03 -3.2616615e-02  3.7194252e-02
  1.7952634e-02  1.7952634e-02 -6.0082436e-02 -3.6431313e-02
  3.2616615e-02 -2.6130676e-02 -1.9645691e-02 -1.7166138e-03
  3.2998085e-02 -1.7166138e-03  6.6757202e-03  1.6593933e-02
 -1.0989190e-03 -1.0989190e-03 -6.5937045e-04  2.1982193e-04
 -2.1982193e-04  6.5937045e-04 -6.5937045e-04  2.1982193e-04
 -6.5937045e-04  2.1982193e-04 -2.1982193e-04  2.1982193e-04
  2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -6.5937045e-04
 -6.5937045e-04  2.1982193e-04 -6.5937045e-04  2.1982193e-04
 -1.9780160e-03  6.5937045e-04  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00]","[-6.86910272e-01 -1.42583773e-01 -6.11446314e-02 -3.81802142e-01
  2.70309389e-01  4.81602967e-01  5.80456555e-01  1.78112239e-01
  2.46475726e-01  4.01364446e-01 -1.60945937e-01  2.90650539e-02
  6.98497668e-02 -2.21766531e-01 -1.47202834e-01 -4.89749983e-02
  1.54599175e-02 -2.29669914e-01 -1.43477947e-01 -3.63675430e-02
 -1.85754150e-04  1.96336046e-01]","[-6.86910272e-01 -1.42583773e-01 -6.11446314e-02 -3.81802142e-01
  2.70309389e-01  4.81602967e-01  5.80456555e-01  1.78112239e-01
  2.46475726e-01  4.01364446e-01 -1.60945937e-01  2.90650539e-02
  6.98497668e-02 -2.21766531e-01 -1.47202834e-01 -4.89749983e-02
  1.54599175e-02 -2.29669914e-01 -1.43477947e-01 -3.63675430e-02
 -1.85754150e-04  1.96336046e-01]","[-1.7172757e-01 -3.5645943e-02 -1.5286158e-02 -9.5450535e-02
  6.7577347e-02  1.2040074e-01  1.4511414e-01  4.4528060e-02
  6.1618932e-02  1.0034111e-01 -4.0236484e-02  7.2662635e-03
  1.7462442e-02 -5.5441633e-02 -3.6800709e-02 -1.2243750e-02
  3.8649794e-03 -5.7417478e-02 -3.5869487e-02 -9.0918858e-03
 -4.6438538e-05  4.9084011e-02]"
1,0.0078125,"[ 4.90676761e-02  9.98795450e-01 -1.43051147e-02  1.77383423e-02
 -3.68127823e-02 -2.61306763e-02 -1.13792671e-02  3.81387799e-04
 -1.27792358e-02  8.58306885e-03 -3.26166153e-02  3.71942520e-02
  1.79526340e-02  1.79526340e-02 -6.00824356e-02 -3.64313126e-02
  3.26166153e-02 -2.61306763e-02 -1.96456909e-02 -1.71661377e-03
  3.29980850e-02 -1.71661377e-03  6.67572021e-03  1.65939331e-02
 -2.19821930e-04 -6.59370446e-04  1.09891896e-03  2.19821930e-04
  2.19821930e-04  2.19821930e-04  6.59370446e-04 -2.19821930e-04
 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04
  2.19821930e-04 -2.19821930e-04  2.19821930e-04 -6.59370446e-04
 -2.19821930e-04 -1.09891896e-03 -2.19821930e-04 -2.19821930e-04
  2.19821930e-04 -6.59370446e-04 -6.86910272e-01 -1.42583773e-01
 -6.11446314e-02 -3.81802142e-01  2.70309389e-01  4.81602967e-01
  5.80456555e-01  1.78112239e-01  2.46475726e-01  4.01364446e-01
 -1.60945937e-01  2.90650539e-02  6.98497668e-02 -2.21766531e-01
 -1.47202834e-01 -4.89749983e-02  1.54599175e-02 -2.29669914e-01
 -1.43477947e-01 -3.63675430e-02 -1.85754150e-04  1.96336046e-01]","[-0.09583755 -0.1518273   0.00863658  0.00282673  0.2054759   0.64889014
  0.29196492  0.12239257  0.63089085  0.2912238  -0.21882463 -0.14567871
 -0.01424424 -0.05954513 -0.17324339 -0.08776314  0.05126384 -0.19918764
 -0.05908246 -0.02969361 -0.04489092  0.15951309]","[-0.09583755 -0.1518273   0.00863658  0.00282673  0.2054759   0.64889014
  0.29196492  0.12239257  0.63089085  0.2912238  -0.21882463 -0.14567871
 -0.01424424 -0.05954513 -0.17324339 -0.08776314  0.05126384 -0.19918764
 -0.05908246 -0.02969361 -0.04489092  0.15951309]","[-0.02395939 -0.03795683  0.00215914  0.00070668  0.05136897  0.16222253
  0.07299123  0.03059814  0.15772271  0.07280595 -0.05470616 -0.03641968
 -0.00356106 -0.01488628 -0.04331085 -0.02194078  0.01281596 -0.04979691
 -0.01477062 -0.0074234  -0.01122273  0.03987827]"
2,0.015625,"[ 9.80171412e-02  9.95184720e-01 -1.43051147e-02  1.77383423e-02
 -3.68127823e-02 -2.61306763e-02 -1.13792671e-02  3.81387799e-04
 -1.27792358e-02  8.58306885e-03 -3.26166153e-02  3.71942520e-02
  1.79526340e-02  1.79526340e-02 -6.00824356e-02 -3.64313126e-02
  3.29980850e-02 -2.61306763e-02 -1.96456909e-02 -1.71661377e-03
  3.29980850e-02 -1.71661377e-03  6.67572021e-03  1.65939331e-02
 -2.19821930e-04  2.19821930e-04  1.09891896e-03 -2.19821930e-04
 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04 -6.59370446e-04
 -2.19821930e-04  2.19821930e-04 -2.19821930e-04  2.19821930e-04
 -6.59370446e-04  2.19821930e-04  2.19821930e-04 -2.19821930e-04
 -2.19821930e-04  2.19821930e-04 -2.19821930e-04 -2.19821930e-04
 -2.19821930e-04  1.09891896e-03 -9.58375484e-02 -1.51827306e-01
  8.63657892e-03  2.82672700e-03  2.05475897e-01  6.48890138e-01
  2.91964918e-01  1.22392565e-01  6.30890846e-01  2.91223794e-01
 -2.18824625e-01 -1.45678714e-01 -1.42442435e-02 -5.95451333e-02
 -1.73243389e-01 -8.77631381e-02  5.12638390e-02 -1.99187636e-01
 -5.90824634e-02 -2.96936091e-02 -4.48909178e-02  1.59513086e-01]","[ 0.34366268 -0.16318293  0.00871956  0.3134522   0.08279772  0.72475857
  0.10501889  0.08056288  0.911768    0.16765527 -0.26087856 -0.16455477
  0.01917865  0.03779496 -0.12887119 -0.11317175  0.02281065 -0.1707704
 -0.03839496 -0.00963285  0.00443002  0.13213   ]","[ 0.34366268 -0.16318293  0.00871956  0.3134522   0.08279772  0.72475857
  0.10501889  0.08056288  0.911768    0.16765527 -0.26087856 -0.16455477
  0.01917865  0.03779496 -0.12887119 -0.11317175  0.02281065 -0.1707704
 -0.03839496 -0.00963285  0.00443002  0.13213   ]","[ 0.08591567 -0.04079573  0.00217989  0.07836305  0.02069943  0.18118964
  0.02625472  0.02014072  0.227942    0.04191382 -0.06521964 -0.04113869
  0.00479466  0.00944874 -0.0322178  -0.02829294  0.00570266 -0.0426926
 -0.00959874 -0.00240821  0.0011075   0.0330325 ]"
3,0.0234375,"[ 1.4673047e-01  9.8917651e-01 -1.4305115e-02  1.7738342e-02
 -3.6812782e-02 -2.6130676e-02 -1.1379267e-02  3.8138780e-04
 -1.2779236e-02  8.5830688e-03 -3.2616615e-02  3.7194252e-02
  1.7952634e-02  1.7952634e-02 -6.0082436e-02 -3.6431313e-02
  3.2616615e-02 -2.6130676e-02 -1.9645691e-02 -1.7166138e-03
  3.2998085e-02 -1.7166138e-03  6.6757202e-03  1.6593933e-02
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04 -1.5384675e-03 -2.1982193e-04
 -2.1982193e-04  2.1982193e-04 -6.5937045e-04 -2.1982193e-04
  6.5937045e-04 -6.5937045e-04 -2.1982193e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -2.1982193e-04  3.4366268e-01 -1.6318293e-01
  8.7195635e-03  3.1345221e-01  8.2797721e-02  7.2475857e-01
  1.0501889e-01  8.0562882e-02  9.1176802e-01  1.6765527e-01
 -2.6087856e-01 -1.6455477e-01  1.9178651e-02  3.7794963e-02
 -1.2887119e-01 -1.1317175e-01  2.2810653e-02 -1.7077041e-01
 -3.8394958e-02 -9.6328501e-03  4.4300184e-03  1.3213000e-01]","[ 6.2131745e-01 -1.6598974e-01 -9.4744712e-03  4.8619217e-01
  4.3189216e-02  9.1051722e-01 -3.1784311e-02 -8.0432035e-03
  1.3701785e+00  6.1930068e-02 -2.7715054e-01 -2.5756100e-01
  4.1747816e-02  1.8644819e-01 -8.2882956e-02 -7.9970881e-02
  1.3804339e-02 -1.3346949e-01  6.6668913e-04  5.8148056e-03
 -5.2297480e-02  1.0309398e-01]","[ 6.2131745e-01 -1.6598974e-01 -9.4744712e-03  4.8619217e-01
  4.3189216e-02  9.1051722e-01 -3.1784311e-02 -8.0432035e-03
  1.3701785e+00  6.1930068e-02 -2.7715054e-01 -2.5756100e-01
  4.1747816e-02  1.8644819e-01 -8.2882956e-02 -7.9970881e-02
  1.3804339e-02 -1.3346949e-01  6.6668913e-04  5.8148056e-03
 -5.2297480e-02  1.0309398e-01]","[ 1.5532936e-01 -4.1497435e-02 -2.3686178e-03  1.2154804e-01
  1.0797304e-02  2.2762930e-01 -7.9460777e-03 -2.0108009e-03
  3.4254462e-01  1.5482517e-02 -6.9287635e-02 -6.4390250e-02
  1.0436954e-02  4.6612047e-02 -2.0720739e-02 -1.9992720e-02
  3.4510847e-03 -3.3367373e-02  1.6667228e-04  1.4537014e-03
 -1.3074370e-02  2.5773495e-02]"
4,0.03125,"[ 1.9509032e-01  9.8078525e-01 -1.4305115e-02  1.7738342e-02
 -3.6812782e-02 -2.6130676e-02 -1.1379267e-02  3.8138780e-04
 -1.2779236e-02  8.5830688e-03 -3.2616615e-02  3.7194252e-02
  1.7952634e-02  1.7952634e-02 -6.0082436e-02 -3.6431313e-02
  3.2616615e-02 -2.6130676e-02 -1.9645691e-02 -1.7166138e-03
  3.2998085e-02 -1.7166138e-03  6.6757202e-03  1.6593933e-02
 -6.5937045e-04 -6.5937045e-04  2.1982193e-04  2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -6.5937045e-04
 -2.1982193e-04  2.1982193e-04 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04  2.1982193e-04
 -1.0989190e-03 -2.1982193e-04  2.1982193e-04 -1.0989190e-03
 -1.0989190e-03  6.5937045e-04  6.2131745e-01 -1.6598974e-01
 -9.4744712e-03  4.8619217e-01  4.3189216e-02  9.1051722e-01
 -3.1784311e-02 -8.0432035e-03  1.3701785e+00  6.1930068e-02
 -2.7715054e-01 -2.5756100e-01  4.1747816e-02  1.8644819e-01
 -8.2882956e-02 -7.9970881e-02  1.3804339e-02 -1.3346949e-01
  6.6668913e-04  5.8148056e-03 -5.2297480e-02  1.0309398e-01]","[ 7.7397323e-01 -1.5189837e-01  1.2234144e-02  6.5867931e-01
 -1.0034253e-01  1.0026892e+00 -4.6210974e-02 -3.9145850e-02
  1.7184263e+00  1.0122005e-03 -2.2919969e-01 -2.7317566e-01
  8.3101325e-02  2.7779019e-01 -5.0946899e-02 -5.0039180e-02
  4.4354051e-02 -1.1732078e-01 -5.3688876e-02 -1.0547595e-02
 -4.7868304e-02  8.1092387e-02]","[ 7.7397323e-01 -1.5189837e-01  1.2234144e-02  6.5867931e-01
 -1.0034253e-01  1.0026892e+00 -4.6210974e-02 -3.9145850e-02
  1.7184263e+00  1.0122005e-03 -2.2919969e-01 -2.7317566e-01
  8.3101325e-02  2.7779019e-01 -5.0946899e-02 -5.0039180e-02
  4.4354051e-02 -1.1732078e-01 -5.3688876e-02 -1.0547595e-02
 -4.7868304e-02  8.1092387e-02]","[ 1.9349331e-01 -3.7974592e-02  3.0585360e-03  1.6466983e-01
 -2.5085632e-02  2.5067231e-01 -1.1552744e-02 -9.7864624e-03
  4.2960659e-01  2.5305012e-04 -5.7299923e-02 -6.8293914e-02
  2.0775331e-02  6.9447547e-02 -1.2736725e-02 -1.2509795e-02
  1.1088513e-02 -2.9330196e-02 -1.3422219e-02 -2.6368988e-03
 -1.1967076e-02  2.0273097e-02]"
5,0.0390625,"[ 2.4298018e-01  9.7003126e-01 -1.4305115e-02  1.7738342e-02
 -3.6812782e-02 -2.6130676e-02 -1.1379267e-02  3.8138780e-04
 -1.2779236e-02  8.5830688e-03 -3.2616615e-02  3.7194252e-02
  1.7952634e-02  1.7952634e-02 -6.0082436e-02 -3.6431313e-02
  3.2616615e-02 -2.6130676e-02 -1.9645691e-02 -1.7166138e-03
  3.2998085e-02 -1.7166138e-03  6.6757202e-03  1.6593933e-02
 -6.5937045e-04 -2.1982193e-04  2.1982193e-04  2.1982193e-04
 -6.5937045e-04  2.1982193e-04 -2.1982193e-04  6.5937045e-04
  1.0989190e-03  6.5937045e-04  2.1982193e-04 -6.5937045e-04
  2.1982193e-04  2.1982193e-04  2.1982193e-04  2.1982193e-04
  2.1982193e-04 -2.1982193e-04  2.1982193e-04  2.1982193e-04
  6.5937045e-04  2.1982193e-04  7.7397323e-01 -1.5189837e-01
  1.2234144e-02  6.5867931e-01 -1.0034253e-01  1.0026892e+00
 -4.6210974e-02 -3.9145850e-02  1.7184263e+00  1.0122005e-03
 -2.2919969e-01 -2.7317566e-01  8.3101325e-02  2.7779019e-01
 -5.0946899e-02 -5.0039180e-02  4.4354051e-02 -1.1732078e-01
 -5.3688876e-02 -1.0547595e-02 -4.7868304e-02  8.1092387e-02]","[ 0.83803636 -0.20407593 -0.0135996   0.76871514 -0.16764162  1.2018801
 -0.10751858 -0.10009594  1.9567949  -0.07003182 -0.28104776 -0.32413164
 -0.00932028  0.28645524 -0.06330591 -0.01672378  0.00781225 -0.09268627
  0.07991014 -0.07824983  0.03673128  0.06927468]","[ 0.83803636 -0.20407593 -0.0135996   0.76871514 -0.16764162  1.2018801
 -0.10751858 -0.10009594  1.9567949  -0.07003182 -0.28104776 -0.32413164
 -0.00932028  0.28645524 -0.06330591 -0.01672378  0.00781225 -0.09268627
  0.07991014 -0.07824983  0.03673128  0.06927468]","[ 0.20950909 -0.05101898 -0.0033999   0.19217879 -0.04191041  0.30047002
 -0.02687965 -0.02502398  0.4891987  -0.01750796 -0.07026194 -0.08103291
 -0.00233007  0.07161381 -0.01582648 -0.00418095  0.00195306 -0.02317157
  0.01997753 -0.01956246  0.00918282  0.01731867]"
6,0.046875,"[ 2.90284663e-01  9.56940353e-01 -1.43051147e-02  1.77383423e-02
 -3.68127823e-02 -2.61306763e-02 -1.13792671e-02  3.81387799e-04
 -1.27792358e-02  8.58306885e-03 -3.26166153e-02  3.71942520e-02
  1.79526340e-02  1.79526340e-02 -6.00824356e-02 -3.64313126e-02
  3.26166153e-02 -2.61306763e-02 -1.96456909e-02 -1.71661377e-03
  3.29980850e-02 -1.71661377e-03  6.67572021e-03  1.65939331e-02
 -2.19821930e-04 -1.53846748e-03 -2.19821930e-04  2.19821930e-04
 -1.09891896e-03 -2.19821930e-04 -6.59370446e-04 -2.19821930e-04
 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04  2.19821930e-04
 -6.59370446e-04 -2.19821930e-04 -2.19821930e-04 -6.59370446e-04
  2.19821930e-04 -2.19821930e-04 -6.59370446e-04 -2.19821930e-04
  6.59370446e-04 -2.19821930e-04  8.38036358e-01 -2.04075933e-01
 -1.35995969e-02  7.68715143e-01 -1.67641625e-01  1.20188010e+00
 -1.07518584e-01 -1.00095935e-01  1.95679486e+00 -7.00318217e-02
 -2.81047761e-01 -3.24131638e-01 -9.32028145e-03  2.86455244e-01
 -6.33059070e-02 -1.67237818e-02  7.81224668e-03 -9.26862657e-02
  7.99101368e-02 -7.82498270e-02  3.67312767e-02  6.92746788e-02]","[ 0.9011289  -0.250976   -0.01494888  0.8685105  -0.14639822  1.3268299
 -0.17672056 -0.2042205   2.1734176  -0.11837361 -0.26359278 -0.28179193
  0.02136705  0.38997123  0.00278509 -0.0334565   0.06594915 -0.07469048
  0.0856476  -0.08076784 -0.00775077  0.05294261]","[ 0.9011289  -0.250976   -0.01494888  0.8685105  -0.14639822  1.3268299
 -0.17672056 -0.2042205   2.1734176  -0.11837361 -0.26359278 -0.28179193
  0.02136705  0.38997123  0.00278509 -0.0334565   0.06594915 -0.07469048
  0.0856476  -0.08076784 -0.00775077  0.05294261]","[ 0.22528222 -0.062744   -0.00373722  0.21712762 -0.03659955  0.33170748
 -0.04418014 -0.05105513  0.5433544  -0.0295934  -0.06589819 -0.07044798
  0.00534176  0.09749281  0.00069627 -0.00836412  0.01648729 -0.01867262
  0.0214119  -0.02019196 -0.00193769  0.01323565]"
7,0.05468750000000001,"[ 3.3688986e-01  9.4154406e-01 -1.4305115e-02  1.7738342e-02
 -3.6812782e-02 -2.6130676e-02 -1.1379267e-02  3.8138780e-04
 -1.2779236e-02  8.5830688e-03 -3.2616615e-02  3.7194252e-02
  1.7952634e-02  1.7952634e-02 -6.0082436e-02 -3.6431313e-02
  3.2616615e-02 -2.6130676e-02 -1.9645691e-02 -1.7166138e-03
  3.2998085e-02 -1.7166138e-03  6.6757202e-03  1.6593933e-02
 -1.0989190e-03 -6.5937045e-04  2.1982193e-04  2.1982193e-04
 -2.1982193e-04  2.1982193e-04 -2.1982193e-04  2.1982193e-04
  2.1982193e-04 -6.5937045e-04 -2.1982193e-04  2.1982193e-04
 -2.1982193e-04 -1.0989190e-03  2.1982193e-04 -2.1982193e-04
  2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04
  6.5937045e-04  2.1982193e-04  9.0112889e-01 -2.5097600e-01
 -1.4948882e-02  8.6851048e-01 -1.4639822e-01  1.3268299e+00
 -1.7672056e-01 -2.0422050e-01  2.1734176e+00 -1.1837361e-01
 -2.6359278e-01 -2.8179193e-01  2.1367054e-02  3.8997123e-01
  2.7850904e-03 -3.3456497e-02  6.5949149e-02 -7.4690484e-02
  8.5647598e-02 -8.0767840e-02 -7.7507719e-03  5.2942608e-02]","[ 0.9719424  -0.17763673 -0.06112179  0.838284   -0.15329514  1.4251915
 -0.16264148 -0.21934855  2.5239072  -0.16832851 -0.30292198 -0.26203388
 -0.09103871  0.242033    0.03368321 -0.08562203 -0.00843409 -0.04598803
  0.15505944 -0.11337826 -0.01911252  0.03488373]","[ 0.9719424  -0.17763673 -0.06112179  0.838284   -0.15329514  1.4251915
 -0.16264148 -0.21934855  2.5239072  -0.16832851 -0.30292198 -0.26203388
 -0.09103871  0.242033    0.03368321 -0.08562203 -0.00843409 -0.04598803
  0.15505944 -0.11337826 -0.01911252  0.03488373]","[ 0.2429856  -0.04440918 -0.01528045  0.209571   -0.03832379  0.35629788
 -0.04066037 -0.05483714  0.6309768  -0.04208213 -0.0757305  -0.06550847
 -0.02275968  0.06050825  0.0084208  -0.02140551 -0.00210852 -0.01149701
  0.03876486 -0.02834456 -0.00477813  0.00872093]"
8,0.0625,"[ 3.8268343e-01  9.2387950e-01 -1.4305115e-02  1.7738342e-02
 -3.6812782e-02 -2.6130676e-02 -1.1379267e-02  3.8138780e-04
 -1.2779236e-02  8.5830688e-03 -3.2616615e-02  3.7194252e-02
  1.7952634e-02  1.7952634e-02 -6.0082436e-02 -3.6431313e-02
  3.2998085e-02 -2.6130676e-02 -1.9645691e-02 -1.7166138e-03
  3.2998085e-02 -1.7166138e-03  6.6757202e-03  1.6593933e-02
 -2.1982193e-04 -2.1982193e-04  6.5937045e-04  2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04
 -6.5937045e-04  6.5937045e-04 -6.5937045e-04 -6.5937045e-04
  2.1982193e-04  2.1982193e-04  2.1982193e-04 -6.5937045e-04
 -2.1982193e-04  2.1982193e-04 -6.5937045e-04  2.1982193e-04
 -6.5937045e-04 -6.5937045e-04  9.7194242e-01 -1.7763673e-01
 -6.1121792e-02  8.3828402e-01 -1.5329514e-01  1.4251915e+00
 -1.6264148e-01 -2.1934855e-01  2.5239072e+00 -1.6832851e-01
 -3.0292198e-01 -2.6203388e-01 -9.1038711e-02  2.4203300e-01
  3.3683207e-02 -8.5622035e-02 -8.4340945e-03 -4.5988027e-02
  1.5505944e-01 -1.1337826e-01 -1.9112520e-02  3.4883734e-02]","[ 0.83653986 -0.18020305 -0.09065189  0.79069483 -0.08660173  1.524028
 -0.21935731 -0.18520953  2.8767743  -0.19568335 -0.32873777 -0.19074392
  0.10883176  0.24312866  0.04276232 -0.00473479  0.0396595  -0.0261103
  0.06456394 -0.02979717  0.03604927  0.01564122]","[ 0.83653986 -0.18020305 -0.09065189  0.79069483 -0.08660173  1.524028
 -0.21935731 -0.18520953  2.8767743  -0.19568335 -0.32873777 -0.19074392
  0.10883176  0.24312866  0.04276232 -0.00473479  0.0396595  -0.0261103
  0.06456394 -0.02979717  0.03604927  0.01564122]","[ 0.20913497 -0.04505076 -0.02266297  0.19767371 -0.02165043  0.381007
 -0.05483933 -0.04630238  0.7191936  -0.04892084 -0.08218444 -0.04768598
  0.02720794  0.06078216  0.01069058 -0.0011837   0.00991488 -0.00652757
  0.01614098 -0.00744929  0.00901232  0.0039103 ]"
9,0.0703125,"[ 4.2755508e-01  9.0398932e-01 -1.4305115e-02  1.7738342e-02
 -3.6812782e-02 -2.6130676e-02 -1.1379267e-02  3.8138780e-04
 -1.2779236e-02  8.5830688e-03 -3.2616615e-02  3.7194252e-02
  1.7952634e-02  1.7952634e-02 -6.0082436e-02 -3.6431313e-02
  3.2616615e-02 -2.6130676e-02 -1.9645691e-02 -1.7166138e-03
  3.2998085e-02 -1.7166138e-03  6.6757202e-03  1.6593933e-02
 -6.5937045e-04 -1.0989190e-03 -2.1982193e-04 -2.1982193e-04
  2.1982193e-04 -6.5937045e-04 -2.1982193e-04  6.5937045e-04
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -1.0989190e-03
 -2.1982193e-04 -6.5937045e-04 -6.5937045e-04 -2.1982193e-04
 -2.1982193e-04  2.1982193e-04  2.1982193e-04 -6.5937045e-04
  6.5937045e-04 -2.1982193e-04  8.3653986e-01 -1.8020305e-01
 -9.0651892e-02  7.9069483e-01 -8.6601734e-02  1.5240279e+00
 -2.1935731e-01 -1.8520953e-01  2.8767743e+00 -1.9568335e-01
 -3.2873777e-01 -1.9074392e-01  1.0883176e-01  2.4312866e-01
  4.2762320e-02 -4.7347881e-03  3.9659500e-02 -2.6110299e-02
  6.4563937e-02 -2.9797168e-02  3.6049269e-02  1.5641216e-02]","[ 6.12119734e-01 -1.24499962e-01 -1.25760324e-02  7.50175595e-01
 -1.73923597e-02  1.60450661e+00 -1.58298433e-01 -9.93434638e-02
  3.13438606e+00 -1.15392752e-01 -2.20036834e-01 -9.51000452e-02
 -1.30169913e-02  9.68418419e-02 -2.29665264e-03  1.48104131e-02
  3.30416337e-02 -1.87027454e-02  1.15666434e-01 -1.35220084e-02
 -5.51633909e-02  2.04647332e-03]","[ 6.12119734e-01 -1.24499962e-01 -1.25760324e-02  7.50175595e-01
 -1.73923597e-02  1.60450661e+00 -1.58298433e-01 -9.93434638e-02
  3.13438606e+00 -1.15392752e-01 -2.20036834e-01 -9.51000452e-02
 -1.30169913e-02  9.68418419e-02 -2.29665264e-03  1.48104131e-02
  3.30416337e-02 -1.87027454e-02  1.15666434e-01 -1.35220084e-02
 -5.51633909e-02  2.04647332e-03]","[ 1.5302993e-01 -3.1124990e-02 -3.1440081e-03  1.8754390e-01
 -4.3480899e-03  4.0112665e-01 -3.9574608e-02 -2.4835866e-02
  7.8359652e-01 -2.8848188e-02 -5.5009209e-02 -2.3775011e-02
 -3.2542478e-03  2.4210460e-02 -5.7416316e-04  3.7026033e-03
  8.2604084e-03 -4.6756864e-03  2.8916609e-02 -3.3805021e-03
 -1.3790848e-02  5.1161833e-04]"
