step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,0.0625,"[ 3.82683426e-01  9.23879504e-01  1.75040245e-01 -2.29162984e-02
 -2.10897829e-02  2.56809235e-01  6.23908639e-03  3.93418819e-02
 -1.79999352e-01 -2.66757198e-02 -9.16635916e-02 -3.11360359e-01
  9.89322364e-03 -2.41009425e-03  5.91278076e-03  7.05718994e-03
  7.64856339e-02 -9.86118317e-02  8.52594376e-02 -1.18637085e-02
  1.23977661e-02  6.31341934e-02  2.47955322e-03  3.09371948e-02
  2.19821930e-04 -6.59370446e-04 -1.09891896e-03 -2.19821930e-04
 -4.68970102e-04  2.17894005e-04 -2.19821930e-04 -2.19821930e-04
  2.19821930e-04 -2.19821930e-04 -2.06258122e-07 -2.12830651e-04
 -2.19821930e-04 -2.19821930e-04  2.19821930e-04  2.19821930e-04
 -6.59370446e-04 -2.19821930e-04 -6.59370446e-04  2.19821930e-04
 -2.19821930e-04 -1.09891896e-03  7.41233945e-01 -4.70153809e-01
 -1.31921828e-01 -5.74765980e-01  1.01480877e+00  3.35888922e-01
 -2.28847980e+00 -3.86392653e-01 -2.40293428e-01  3.46283340e+00
  9.59565759e-01  1.47362888e-01 -8.12784612e-01 -3.02303225e-01
  6.33097887e-01 -8.05953026e-01 -1.28648889e+00 -1.95186615e+00
  2.39955950e+00  8.74328613e-01  9.89378914e-02  1.55402625e+00]","[ 0.29078025 -0.14478007 -0.02897605 -0.18642685  0.30203316  0.04906584
 -0.800093   -0.10134135 -0.04344826  0.94662833  0.27925396  0.06943425
 -0.21907267 -0.07207801  0.06812679 -0.26628965 -0.37727368 -0.54674685
  0.72853976  0.2338993   0.07335896  0.44716772]","[-0.053927648812532425, -0.10822810232639313, -0.016538308933377266, -0.463098406791687, 0.28570234775543213, 0.049924008548259735, -0.10073792189359665, 0.015378689393401146, -0.03243417292833328, 1.0025665760040283, 0.038611333817243576, 0.039709966629743576, -0.11463956534862518, -0.0570964440703392, 0.10298937559127808, -0.0979737788438797, -0.21960121393203735, -1.1421189308166504, 0.3867459297180176, 0.14545948803424835, 0.059985436499118805, 1.0716753005981445]"
20,0.140625,"[ 7.73010433e-01  6.34393275e-01  1.74658775e-01 -2.29162984e-02
 -2.10897829e-02  2.56809235e-01  6.23908639e-03  3.93418819e-02
 -1.79999352e-01 -2.66757198e-02 -9.16635916e-02 -3.11360359e-01
  9.89322364e-03 -2.41009425e-03  5.91278076e-03  7.05718994e-03
  7.64856339e-02 -9.86118317e-02  8.52594376e-02 -1.18637085e-02
  1.23977661e-02  6.31341934e-02  2.86102295e-03  3.09371948e-02
 -2.19821930e-04  2.19821930e-04 -6.59370446e-04 -6.59370446e-04
  1.17018084e-04 -1.69898283e-06 -2.19821930e-04 -2.19821930e-04
  2.19821930e-04 -6.59370446e-04 -6.18684851e-07 -6.38399681e-04
 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04
 -2.19821930e-04 -6.59370446e-04 -6.59370446e-04 -2.19821930e-04
 -2.19821930e-04 -1.09891896e-03  1.54303169e+00 -6.17979407e-01
 -2.53595650e-01 -1.07430673e+00  1.58983219e+00  1.68415219e-01
 -4.39968252e+00 -7.90733814e-01 -2.84586906e-01  4.65722322e+00
  1.38462758e+00  3.39480311e-01 -1.12781215e+00 -4.82747674e-01
  2.24169299e-01 -1.51930845e+00 -1.92705917e+00 -2.67622089e+00
  3.89131188e+00  1.23481047e+00  3.49192888e-01  2.19337511e+00]","[ 0.40000406 -0.1558748  -0.06455485 -0.2744626   0.40894476  0.03659894
 -1.139312   -0.2060569  -0.06920639  1.1791002   0.35436928  0.09120744
 -0.28722057 -0.12045871  0.04810023 -0.38856992 -0.4927805  -0.67901385
  0.9973858   0.31142327  0.08757747  0.55710423]","[0.10517747700214386, -0.17200161516666412, -0.06229381635785103, -0.740928590297699, 0.5171945691108704, 0.03395014628767967, -0.752677321434021, -0.14568516612052917, -0.07355597615242004, 1.5974775552749634, 0.17511439323425293, 0.08922017365694046, -0.26152849197387695, -0.10636195540428162, 0.0612185038626194, -0.34454265236854553, -0.4472430944442749, -1.63145112991333, 0.896023154258728, 0.28551313281059265, 0.08362240344285965, 1.5167955160140991]"
30,0.21875000000000003,"[ 9.80785251e-01  1.95090324e-01  1.74658775e-01 -2.29162984e-02
 -2.10897829e-02  2.56809235e-01  6.23908639e-03  3.93418819e-02
 -1.79999352e-01 -2.66757198e-02 -9.16635916e-02 -3.11360359e-01
  9.89322364e-03 -2.41009425e-03  5.91278076e-03  7.05718994e-03
  7.64856339e-02 -9.86118317e-02  8.52594376e-02 -1.18637085e-02
  1.23977661e-02  6.31341934e-02  2.47955322e-03  3.09371948e-02
  2.19821930e-04  2.19821930e-04  1.09891896e-03 -6.59370446e-04
 -9.74134196e-07  2.11144987e-04 -6.59370446e-04 -1.09891896e-03
  2.19821930e-04 -6.59370446e-04  3.52610485e-04 -4.24516387e-04
 -6.59370446e-04  2.19821930e-04  2.19821930e-04  2.19821930e-04
 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04 -1.09891896e-03
 -6.59370446e-04 -2.19821930e-04  1.67363119e+00 -6.13051891e-01
 -2.75280833e-01 -1.09536958e+00  1.68995845e+00  9.08533111e-02
 -4.70755053e+00 -8.95676672e-01 -2.72794366e-01  4.72013235e+00
  1.43396139e+00  4.04869884e-01 -1.14894664e+00 -4.99191344e-01
  1.28847972e-01 -1.56575263e+00 -1.96178865e+00 -2.73119473e+00
  4.04820538e+00  1.24951041e+00  3.70110989e-01  2.23850989e+00]","[ 0.41993275 -0.1516667  -0.06898397 -0.27171695  0.4230294   0.01909887
 -1.1791029  -0.22551599 -0.06722749  1.1728729   0.35740334  0.10353344
 -0.28521803 -0.12361509  0.02807574 -0.38935143 -0.48592663 -0.67974705
  1.0071561   0.31044284  0.09362906  0.55704874]","[0.162584125995636, -0.17398017644882202, -0.07761798053979874, -0.7742533087730408, 0.568390965461731, 0.017002126201987267, -0.915322482585907, -0.19879767298698425, -0.07855737209320068, 1.6795648336410522, 0.2072906196117401, 0.10838861018419266, -0.28717535734176636, -0.12305793166160583, 0.03702659159898758, -0.390383243560791, -0.4912235140800476, -1.6814357042312622, 1.0072764158248901, 0.31191617250442505, 0.09113980084657669, 1.5587258338928223]"
40,0.296875,"[ 9.56940353e-01 -2.90284663e-01  1.74658775e-01 -2.29162984e-02
 -2.10897829e-02  2.56809235e-01  6.23908639e-03  3.93418819e-02
 -1.79999352e-01 -2.66757198e-02 -9.16635916e-02 -3.11360359e-01
  9.89322364e-03 -2.41009425e-03  5.91278076e-03  7.05718994e-03
  7.64856339e-02 -9.86118317e-02  8.52594376e-02 -1.18637085e-02
  1.23977661e-02  6.31341934e-02  2.47955322e-03  3.09371948e-02
  2.19821930e-04  2.19821930e-04 -2.19821930e-04 -6.59370446e-04
 -9.74134196e-07  2.11144987e-04  2.19821930e-04  6.59370446e-04
 -2.19821930e-04 -1.53846748e-03 -1.18078271e-04 -4.25965991e-04
 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04
 -2.19821930e-04  2.19821930e-04  2.19821930e-04  2.19821930e-04
 -2.19821930e-04 -2.19821930e-04  1.67000258e+00 -5.64257026e-01
 -2.73398310e-01 -1.03065419e+00  1.66328752e+00  2.27694884e-02
 -4.64899254e+00 -9.04740691e-01 -2.48388007e-01  4.49490404e+00
  1.37401116e+00  4.31804717e-01 -1.09433711e+00 -4.66428459e-01
  6.18612058e-02 -1.49584115e+00 -1.81290388e+00 -2.62759328e+00
  3.85082769e+00  1.18862545e+00  3.80530596e-01  2.14976478e+00]","[ 0.4142104  -0.13713652 -0.06813453 -0.25342137  0.4126472   0.00313622
 -1.1548601  -0.22640985 -0.06078025  1.1090391   0.33876535  0.10810405
 -0.2709027  -0.11456712  0.01396003 -0.36939728 -0.44362807 -0.64997256
  0.9477669   0.29313156  0.0945337   0.53133273]","[0.16848571598529816, -0.16388800740242004, -0.07886471599340439, -0.7622994780540466, 0.5684296488761902, -0.0001407325325999409, -0.9189198613166809, -0.2067812979221344, -0.07367607206106186, 1.639379620552063, 0.19787338376045227, 0.11683541536331177, -0.27770400047302246, -0.11856403201818466, 0.019639478996396065, -0.3789232075214386, -0.4633869528770447, -1.6642528772354126, 0.9768005013465881, 0.3012208938598633, 0.09420760720968246, 1.5436978340148926]"
50,0.375,"[ 7.07106769e-01 -7.07106769e-01  1.75040245e-01 -2.29162984e-02
 -2.10897829e-02  2.56809235e-01  6.13670051e-03  3.95265743e-02
 -1.79999352e-01 -2.66757198e-02 -9.16635916e-02 -3.11360359e-01
  9.89322364e-03 -2.41009425e-03  5.91278076e-03  7.05718994e-03
  7.64856339e-02 -9.86118317e-02  8.52594376e-02 -1.18637085e-02
  1.23977661e-02  6.31341934e-02  2.86102295e-03  3.09371948e-02
  6.59370446e-04 -2.19821930e-04 -1.09891896e-03  2.19821930e-04
  9.79886522e-07 -2.11156133e-04 -2.19821930e-04 -1.09891896e-03
 -2.19821930e-04 -1.09891896e-03 -2.35150917e-04  2.12082741e-04
 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04
  2.19821930e-04 -2.19821930e-04 -2.19821930e-04  2.19821930e-04
 -2.19821930e-04 -2.19821930e-04  1.57395351e+00 -4.77605402e-01
 -2.64606327e-01 -9.44515228e-01  1.57513750e+00 -1.91818438e-02
 -4.44580364e+00 -8.71956110e-01 -2.22887561e-01  4.16117859e+00
  1.26349401e+00  4.28538024e-01 -1.03061938e+00 -4.04297233e-01
  3.32162417e-02 -1.39394271e+00 -1.59417701e+00 -2.46475458e+00
  3.49676991e+00  1.10031319e+00  3.73870224e-01  2.01106906e+00]","[ 0.38466194 -0.11575016 -0.06523304 -0.23070717  0.38641864 -0.00531217
 -1.095656   -0.21361563 -0.05435329  1.0194023   0.3095886   0.10629945
 -0.25391138 -0.09680399  0.00648769 -0.34153205 -0.38782907 -0.6051762
  0.8496232   0.26974356  0.09187047  0.49379608]","[0.15015622973442078, -0.1451200693845749, -0.0769440159201622, -0.7417163848876953, 0.5500605702400208, -0.01230902411043644, -0.8767374157905579, -0.20091110467910767, -0.06718427687883377, 1.5620172023773193, 0.17342831194400787, 0.11779285967350006, -0.2623475193977356, -0.10503412783145905, 0.009828644804656506, -0.355307936668396, -0.41314613819122314, -1.6269077062606812, 0.8972828388214111, 0.2806933522224426, 0.09369978308677673, 1.5119117498397827]"
60,0.45312499999999994,"[ 2.90284663e-01 -9.56940353e-01  1.74658775e-01 -2.29162984e-02
 -2.10897829e-02  2.56809235e-01  6.13670051e-03  3.95265743e-02
 -1.79999352e-01 -2.66757198e-02 -9.16635916e-02 -3.11360359e-01
  9.89322364e-03 -2.41009425e-03  5.91278076e-03  7.05718994e-03
  7.64856339e-02 -9.86118317e-02  8.52594376e-02 -1.18637085e-02
  1.23977661e-02  6.31341934e-02  2.47955322e-03  3.09371948e-02
 -2.19821930e-04 -2.19821930e-04 -6.59370446e-04 -6.59370446e-04
 -9.79886522e-07  2.11156133e-04 -2.19821930e-04 -2.19821930e-04
 -2.19821930e-04 -2.85711302e-03 -1.17691328e-04 -3.50915798e-07
 -6.59370446e-04  2.19821930e-04  6.59370446e-04 -2.19821930e-04
 -2.19821930e-04 -6.59370446e-04 -2.19821930e-04 -2.19821930e-04
 -2.19821930e-04 -6.59370446e-04  1.36371326e+00 -4.00149256e-01
 -2.45247185e-01 -8.44886184e-01  1.42376423e+00 -2.34331712e-02
 -4.11680079e+00 -7.93893814e-01 -1.99503377e-01  3.76321959e+00
  1.12560821e+00  3.84172857e-01 -9.63898003e-01 -3.19139868e-01
  3.19014341e-02 -1.27204621e+00 -1.36045337e+00 -2.25654292e+00
  3.03189850e+00  9.86956775e-01  3.44297945e-01  1.83805275e+00]","[ 0.32652572 -0.0940397  -0.06047706 -0.20516512  0.3467988  -0.00504187
 -1.0098867  -0.19422711 -0.04877467  0.91922987  0.2732534   0.09332526
 -0.23816462 -0.07474332  0.00941042 -0.31044888 -0.32743582 -0.55264795
  0.73238885  0.2405746   0.08272966  0.44966352]","[0.10500781238079071, -0.12354972958564758, -0.07291100174188614, -0.7177817821502686, 0.5162405371665955, -0.015688056126236916, -0.8025997877120972, -0.1844763159751892, -0.06123818829655647, 1.4662985801696777, 0.14030708372592926, 0.10958504676818848, -0.24602185189723969, -0.08506885170936584, 0.008183294907212257, -0.3258076310157776, -0.3555459976196289, -1.5776606798171997, 0.7878494262695312, 0.25404584407806396, 0.08717308938503265, 1.470683217048645]"
70,0.53125,"[-1.95090324e-01 -9.80785251e-01  1.75040245e-01 -2.29162984e-02
 -2.10897829e-02  2.56427765e-01  8.67655873e-03  3.89403328e-02
 -1.80762291e-01 -2.66757198e-02 -9.16635916e-02 -3.10215950e-01
  1.15278959e-02 -2.03562248e-03  9.53674316e-04  7.05718994e-03
  7.64856339e-02 -9.93747711e-02  8.41150284e-02 -1.52969360e-02
  1.50680542e-02  6.38971329e-02  2.86102295e-03  3.32269669e-02
  1.97801599e-03 -6.59370446e-04 -6.59370446e-04 -3.29666142e-03
  2.66746767e-02 -5.23626991e-03 -6.81314478e-03 -2.19821930e-04
 -2.19821930e-04  9.01098270e-03  1.77835505e-02  6.44417340e-03
 -6.48351684e-02 -2.19821930e-04  1.09891896e-03 -4.17585392e-03
 -9.01098270e-03 -3.05494312e-02  3.09889801e-02  4.17585392e-03
  6.59370446e-04  2.65934002e-02  1.06128085e+00 -3.24474066e-01
 -2.29720592e-01 -7.33362556e-01  1.23420680e+00  1.08496025e-02
 -3.73228931e+00 -6.95644081e-01 -1.77688003e-01  3.36713958e+00
  9.70048785e-01  3.07539254e-01 -9.07954037e-01 -2.22505510e-01
  5.77296354e-02 -1.13995266e+00 -1.14290476e+00 -2.03787994e+00
  2.55772924e+00  8.68056118e-01  2.90432334e-01  1.65581000e+00]","[ 0.2414175  -0.08225226 -0.0453392  -0.17907137  0.30010357 -0.00839403
 -0.89679074 -0.1539785  -0.04580291  0.8093057   0.23514083  0.07883252
 -0.19346485 -0.02929125  0.00473658 -0.2581351  -0.2706795  -0.49245992
  0.60365885  0.2097147   0.07285012  0.4027906 ]","[0.03366624563932419, -0.10546395182609558, -0.06653521209955215, -0.691268801689148, 0.4716172516345978, -0.01230514608323574, -0.7068478465080261, -0.15805181860923767, -0.056323323398828506, 1.3649158477783203, 0.10263579338788986, 0.09356176853179932, -0.22528879344463348, -0.05716690048575401, 0.011030477471649647, -0.2898329794406891, -0.29825353622436523, -1.522662878036499, 0.6675092577934265, 0.22459353506565094, 0.07568918913602829, 1.425444483757019]"
80,0.609375,"[-6.3439327e-01 -7.7301043e-01  1.7046261e-01 -2.2916298e-02
 -2.1089783e-02  2.5185013e-01  1.0120088e-01  2.5627235e-02
 -1.9907284e-01 -2.8201599e-02 -9.1282122e-02 -2.9800892e-01
  7.3268667e-02  2.3247382e-02 -7.7630043e-02  7.4386597e-03
  9.4797134e-02 -1.1005592e-01  5.7030678e-02 -1.0837746e-01
  8.1826210e-02  6.7330360e-02  6.6757202e-03  1.0036659e-01
 -5.0549507e-03 -2.1982193e-04  1.5384675e-03 -6.5937045e-04
  1.5234588e-01 -2.4126446e-02 -3.7582397e-02 -4.6154023e-03
  2.1982193e-04  1.9120885e-02  1.0497693e-01  4.5054551e-02
 -1.3208790e-01  2.1982193e-04  1.6483499e-02 -1.1648369e-02
 -3.6703300e-02 -1.2637363e-01  9.4285682e-02  1.0989190e-03
  5.0549507e-03  1.1142855e-01  5.0759506e-01 -3.9951989e-01
 -5.0089575e-02 -5.9192967e-01  9.5862973e-01 -1.5471375e-01
 -2.9718583e+00 -4.1110182e-01 -1.8549389e-01  2.6389000e+00
  7.5016272e-01  1.8535197e-01 -5.3426528e-01  1.4952593e-02
  4.5033641e-02 -7.6520151e-01 -5.7843673e-01 -1.6681293e+00
  1.8051472e+00  6.3176709e-01  1.0629343e-01  1.3835316e+00]","[ 0.09833712 -0.10408346 -0.00381358 -0.14204335  0.22199006 -0.04223184
 -0.6880205  -0.086098   -0.04809605  0.6164454   0.1742883   0.04053795
 -0.10598643  0.01454468  0.01034893 -0.16481116 -0.11655653 -0.3926088
  0.40475002  0.14646897  0.01589938  0.32979375]","[-0.08698923885822296, -0.11400215327739716, -0.03316564857959747, -0.6591367125511169, 0.4104461371898651, -0.03901011124253273, -0.5440044403076172, -0.09911160171031952, -0.057510875165462494, 1.2110179662704468, 0.053530722856521606, 0.06657085567712784, -0.15299196541309357, -0.007216250523924828, 0.01060835923999548, -0.21339870989322662, -0.18499718606472015, -1.4431416988372803, 0.5021335482597351, 0.17586389183998108, 0.04180023819208145, 1.3657267093658447]"
90,0.6875,"[-9.23879504e-01 -3.82683426e-01  1.65503502e-01 -2.25348286e-02
 -2.10897829e-02  2.52231598e-01  2.57588983e-01  3.96887586e-03
 -2.28065491e-01 -3.27792354e-02 -9.16635916e-02 -2.71686554e-01
  1.98855460e-01  7.18738809e-02 -2.08476067e-01  7.05718994e-03
  1.03189468e-01 -1.23025894e-01  9.72747803e-03 -2.55245209e-01
  2.02754021e-01  6.65674210e-02  7.05718994e-03  2.05653191e-01
 -4.17585392e-03 -1.97801599e-03  2.19821930e-04  1.09891896e-03
  6.91207871e-02 -3.09708565e-02 -2.52747536e-02 -5.49449911e-03
 -2.19821930e-04  2.61538513e-02  1.27937779e-01  4.92338948e-02
 -1.30329654e-01 -2.19821930e-04 -1.38461115e-02 -1.42857553e-02
 -4.41758148e-02 -1.37362629e-01  1.08791254e-01 -3.73630528e-03
  6.59370446e-04  1.05274774e-01  2.10749000e-01 -5.29846251e-01
  5.76683171e-02 -4.91116732e-01  7.22756624e-01 -2.11130559e-01
 -2.23843670e+00 -1.47377044e-01 -1.66561499e-01  2.04714251e+00
  5.14532208e-01  4.89083901e-02 -1.24240436e-01  1.45233840e-01
  9.01629180e-02 -4.70285445e-01  6.11693710e-02 -1.34799922e+00
  1.21277928e+00  4.08414274e-01 -3.87364626e-02  1.21205056e+00]","[ 0.06915827 -0.12669803  0.00763211 -0.10665921  0.17839587 -0.04505697
 -0.5306824  -0.02761641 -0.03245722  0.49872965  0.11387102  0.00760622
 -0.02959214  0.02501021  0.04405327 -0.11699957  0.06030961 -0.33118606
  0.29485944  0.09808374 -0.00665513  0.30016595]","[-0.17986999452114105, -0.1415213942527771, -0.0028510852716863155, -0.6258957386016846, 0.3452628254890442, -0.06005801260471344, -0.3544291853904724, -0.031131329014897346, -0.0534978024661541, 1.0476824045181274, -0.0072150155901908875, 0.03181171417236328, -0.058850787580013275, 0.024409931153059006, 0.02108941599726677, -0.1365196257829666, -0.019871927797794342, -1.3576606512069702, 0.34069713950157166, 0.11753519624471664, 0.003955880180001259, 1.3130404949188232]"
