step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,0.0703125,"[ 4.27555084e-01  9.03989315e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -1.26457214e-02  6.53961115e-03 -1.53677370e-02
 -6.47745132e-02  1.19468153e-01  5.23195267e-02 -2.29428094e-02
 -2.69754026e-02  5.10416031e-02 -1.22976124e-01 -6.59370446e-04
  2.19821930e-04 -6.59370446e-04 -6.59370446e-04 -1.10153611e-04
 -2.19821930e-04  2.19821930e-04 -2.19821930e-04  2.19821930e-04
  3.28946451e-04 -1.40708005e+00  3.17341387e-02  3.99727702e-01
 -4.53190148e-01 -5.81440330e-03  7.43815154e-02  4.78207439e-01
 -5.39919972e-01 -1.44107938e-01  4.58340168e-01 -1.63231925e-05
  4.64344863e-04 -1.95258708e-05 -1.58483572e-02  4.35159616e-02
 -2.11531475e-01]","[-3.0229002e-01  2.4772793e-02  1.4165065e-01 -5.0552323e-02
 -3.3456735e-02 -1.0195002e-04  7.6194726e-02 -9.7544640e-02
 -4.0468972e-02  1.5245230e-01]","[-0.6226526498794556, -0.013410286046564579, 0.007745079230517149, -0.6570034027099609, 0.08307021111249924, 0.2982393205165863, 0.21559134125709534, -0.1799342781305313, 0.4801953136920929, -0.07676313072443008]"
20,0.1484375,"[ 8.03207517e-01  5.95699310e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -1.26457214e-02  6.53961115e-03 -1.53677370e-02
 -6.47745132e-02  1.19468153e-01  5.23195267e-02 -2.29428094e-02
 -2.69754026e-02  5.10416031e-02 -1.22976124e-01 -2.19821930e-04
  2.19821930e-04 -2.19821930e-04  2.19821930e-04 -1.10597270e-04
 -2.19821930e-04  2.19821930e-04  2.19821930e-04 -2.19821930e-04
 -2.23641284e-04 -5.54523885e-01 -2.13401392e-03  4.89298642e-01
  2.17147022e-01 -5.37246466e-01  1.87430829e-01 -2.14407846e-01
  3.92117828e-01  8.06471631e-02  1.05304110e+00 -7.02015022e-05
  2.24999123e-04 -5.26426185e-04 -1.58715192e-02  4.34696041e-02
 -2.11504847e-01]","[-0.0735518   0.00849455  0.15451361  0.07042205 -0.17344303  0.1755246
 -0.0983379   0.10216137  0.11701594  0.23355366]","[-0.4487982988357544, -0.008847709745168686, 0.08474898338317871, -0.49363741278648376, 0.0035284608602523804, 0.29932913184165955, 0.019561244174838066, 0.06578114628791809, 0.5167446136474609, 0.08388904482126236]"
30,0.22656249999999997,"[ 9.89176512e-01  1.46730468e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -1.26457214e-02  6.53961115e-03 -1.53677370e-02
 -6.47745132e-02  1.19468153e-01  5.23195267e-02 -2.29428094e-02
 -2.69754026e-02  5.10416031e-02 -1.22976124e-01 -2.19821930e-04
  2.19821930e-04 -6.59370446e-04 -6.59370446e-04  2.09857944e-07
 -2.19821930e-04  6.59370446e-04 -1.09891896e-03  2.19821930e-04
 -1.00622992e-06 -1.89739835e+00  2.88017727e-02 -3.43710244e-01
 -1.29226315e+00 -3.47772986e-01  4.91628557e-01  7.97071159e-01
 -1.15241623e+00  5.50783798e-02 -2.80436933e-01  2.45022413e-04
 -1.83739539e-04 -8.22743808e-04 -1.58259124e-02  4.34743501e-02
 -2.11515233e-01]","[-0.42606598  0.02249156  0.00564674 -0.24879229 -0.02591625  0.08792999
  0.13349149 -0.209554   -0.00078951 -0.01444121]","[-0.5347089767456055, 0.027726033702492714, -0.1461714506149292, -0.6581747531890869, -0.09088580310344696, 0.40198639035224915, 0.21799267828464508, -0.2051910012960434, 0.5093348026275635, -0.2010236382484436]"
40,0.3046875,"[ 9.41544056e-01 -3.36889863e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -1.26457214e-02  6.53961115e-03 -1.53677370e-02
 -6.47745132e-02  1.19468153e-01  5.23195267e-02 -2.29428094e-02
 -2.69754026e-02  5.10416031e-02 -1.22976124e-01 -2.19821930e-04
 -2.19821930e-04 -6.59370446e-04  2.19821930e-04 -1.10153611e-04
  2.19821930e-04  2.19821930e-04 -2.19821930e-04  2.19821930e-04
  2.19640948e-04 -1.18871069e+00  2.05962509e-01  1.87808380e-01
 -2.98891455e-01 -5.34589887e-01  2.42193192e-02 -4.82805744e-02
  1.53615281e-01 -1.11787498e-01  7.93650627e-01  4.50491294e-04
  1.82980308e-04 -4.48728504e-04 -1.57475118e-02  4.35178988e-02
 -2.11527735e-01]","[-0.25125644  0.04092681  0.06543632 -0.03154787 -0.14075089  0.01195322
 -0.04120256  0.07877116 -0.02262061  0.21912883]","[-0.5641437768936157, 0.031122833490371704, 0.03574296459555626, -0.593202531337738, 0.013915950432419777, 0.2589951455593109, 0.03348525986075401, 0.012832049280405045, 0.4760749042034149, 0.024553269147872925]"
50,0.3828125,"[ 6.71558976e-01 -7.40951121e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -1.47306442e-01  1.79837029e-02  2.27792356e-02
 -1.08644485e-01  7.40142018e-02  8.97035599e-02 -1.95095818e-02
  2.39776634e-03  5.63821793e-02 -1.10272348e-01 -6.96702972e-02
  1.53846748e-03  4.63736542e-02  6.59370446e-04 -5.57955317e-02
  2.17582714e-02  4.17585392e-03  7.40659758e-02 -8.57143383e-03
  1.77493598e-02 -3.39002013e-01 -4.23843972e-02  3.29033911e-01
  2.08916068e-02  4.75478470e-02  7.82454789e-01 -3.71902317e-01
 -3.25625390e-02  3.12979370e-01 -1.54433429e-01 -4.38581146e-02
  1.53526828e-01  1.54887885e-01 -2.97396947e-02  8.60134661e-02
 -1.87461838e-01]","[-0.08453667 -0.03794401  0.11110219 -0.00518285  0.04288967  0.22978827
 -0.10681232 -0.03879754  0.08471432 -0.03519986]","[-0.32299649715423584, -0.041009679436683655, 0.10399912297725677, -0.46190136671066284, 0.047328293323516846, 0.454833984375, -0.11174559593200684, 0.029551131650805473, 0.5655419230461121, -0.1508195996284485]"
60,0.46093749999999994,"[ 2.42980182e-01 -9.70031261e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -2.17497826e-01  1.95095818e-02  6.81750849e-02
 -1.00633621e-01  4.25843298e-02  1.45399094e-01 -4.85012829e-02
  2.60498431e-02  3.95975113e-02 -8.55878145e-02  2.21978184e-02
  2.04395298e-02 -9.89007950e-03  5.07692359e-02 -2.21612025e-02
  3.71428505e-02 -1.12088202e-02 -4.02197838e-02  1.42857553e-02
  2.85127740e-02 -2.27200776e-01 -3.19840491e-01  2.42137998e-01
 -1.40052587e-01  5.77405512e-01  1.72908783e+00 -3.05928141e-01
 -9.55946743e-05  1.03011167e+00  2.09069103e-02  8.28309506e-02
 -1.11926785e-02  1.40365407e-01 -3.43531035e-02  1.22467391e-01
 -1.09921828e-01]","[-0.05282728 -0.10142762  0.07072553 -0.03431711  0.14461908  0.42684633
 -0.07568976  0.0271729   0.2553683  -0.01601305]","[-0.3010702133178711, -0.11373484879732132, 0.05182141065597534, -0.5308974385261536, 0.28499338030815125, 0.6708379983901978, -0.03806881234049797, 0.003315499983727932, 0.7515036463737488, -0.1351650357246399]"
70,0.5390625,"[-0.24298018 -0.97003126  0.2         0.          0.         -0.17286587
  0.05536774 -0.02414249 -0.05943394  0.05373082  0.27204895 -0.04773834
 -0.01553131  0.15594673 -0.06776173  0.00505495  0.00593405 -0.12329669
 -0.01956043  0.02859857  0.15406589  0.0274725  -0.00681314  0.09780216
  0.01039869 -0.3663075  -0.12303129  1.1391834   0.03231757  0.02318162
  0.7753783  -0.10721863 -0.04951474  0.2720333  -0.62331796  0.18673488
 -0.06111225 -0.33652222  0.02136892  0.11607633 -0.14174515]","[-0.0881625   0.01164251  0.3084619   0.00879082  0.02537539  0.15412351
 -0.05577877 -0.01018417  0.05638313 -0.20045997]","[-0.3298090100288391, -0.09187287092208862, 0.23701149225234985, -0.49387815594673157, 0.16290131211280823, 0.49748122692108154, 0.0014807377010583878, 0.006744017358869314, 0.6053063869476318, -0.2747788727283478]"
80,0.6171875,"[-6.71558976e-01 -7.40951121e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -1.31666183e-01  7.13904202e-02 -8.97562429e-02
 -1.04829788e-01  9.27774608e-02  3.13248634e-01 -3.13351452e-02
 -1.85830686e-02  2.25757599e-01 -1.23533875e-01  3.27472687e-02
 -4.61540231e-03  8.63736197e-02 -2.41756439e-03  1.54317487e-02
 -1.16483690e-02 -1.69230457e-02 -2.26373672e-02 -2.19821930e-04
 -2.67401766e-02 -1.90982318e+00  1.65464938e-01 -2.65049815e-01
 -1.16568971e+00 -5.59221432e-02  5.31938434e-01  5.78190625e-01
 -1.57408819e-01  2.36826479e-01  3.20526436e-02 -4.89594154e-02
 -1.35491699e-01 -4.15851802e-01  3.87189761e-02  8.15393776e-02
 -3.25436473e-01]","[-0.42726326  0.04298121 -0.048408   -0.24962437  0.02093656  0.12424839
  0.12943873 -0.01957531  0.05147535  0.02260686]","[-0.7673857808113098, -0.02046821266412735, -0.08952577412128448, -0.8591880202293396, 0.10561290383338928, 0.4054906666278839, 0.18482258915901184, -0.09499991685152054, 0.5708693861961365, -0.18451324105262756]"
90,0.6953125,"[-9.41544056e-01 -3.36889863e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -2.64419556e-01  1.83651727e-02 -2.10897829e-02
 -2.55893707e-01  7.82509297e-02  2.55264282e-01 -4.96456921e-02
  5.88562414e-02  1.98672295e-01 -1.22162193e-01 -1.89670324e-01
 -6.26373291e-02 -3.31868194e-02 -1.18461564e-01 -4.75999713e-02
  1.56044010e-02 -2.74724960e-02  5.91208450e-02 -3.29666142e-03
 -5.39822737e-03 -9.64967847e-01  7.09178671e-03  9.11976933e-01
 -1.62721306e-01  5.23130655e-01  3.68651718e-01 -8.25059712e-02
 -5.70769370e-01 -4.87054735e-02  3.09156656e-01 -1.64816499e-01
  4.34304737e-02  3.42342496e-01  7.50055478e-04  8.38182867e-02
 -3.50919694e-01]","[-0.25585335  0.07103911  0.2217033  -0.0427963   0.16858657  0.11611097
 -0.02507294 -0.21222767 -0.01967912 -0.01878404]","[-0.5493134260177612, -0.0741981640458107, 0.13383828103542328, -0.6079512238502502, 0.23260554671287537, 0.3153175711631775, 0.07902855426073074, -0.1004505604505539, 0.4890049397945404, -0.018765851855278015]"
