step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,,"[ 9.7145028e-05  3.0154054e-04 -2.2796965e-03  5.6752186e-02
  3.0549574e-03 -9.9838352e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  1.5964508e-02  7.6840203e-03  1.4768371e-02
 -9.8419189e-03 -6.2206388e-04  2.8191289e-01  2.9430389e-02
 -3.0572204e-02 -1.0572204e-02  2.7389526e-02 -6.9115162e-03
 -2.7779579e-01 -2.1978378e-02 -2.1978378e-02 -4.3964386e-03
  4.3964386e-03 -6.5430659e-03  4.8182756e-05 -4.3964386e-03
  4.3964386e-03 -4.3964386e-03 -4.3964386e-03 -2.1336616e-03
 -7.5169308e-03 -5.5205894e-01 -5.0761208e-02  5.5693680e-01
 -2.7118358e-01  1.0739232e+00 -7.0604310e+00 -2.4775468e-01
  5.3821903e-01  4.5686755e-01 -1.9440923e-02 -4.4684109e-01
  1.2856314e+00  3.5137483e-01  9.3623489e-01  4.7688786e-02]","[-0.14091647 -0.00581336  0.14710788 -0.0586001   0.2473618  -2.0715454
 -0.0584341   0.12307054  0.12779453 -0.0072805  -0.12124093  0.3924181 ]","[-0.3111473619937897, -0.032148875296115875, 0.08006149530410767, -0.461725115776062, 0.4348018169403076, -1.3837841749191284, 0.1481851041316986, 0.13404525816440582, 0.062457937747240067, 0.3865625560283661, -0.27517327666282654, 0.4332202672958374]"
20,,"[ 3.6110861e-05  1.9195306e-03  2.0118060e-03  5.6760397e-02
  3.0539804e-03 -9.9838316e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  1.5964508e-02  7.6840203e-03  1.4768371e-02
 -9.8419189e-03 -6.2206388e-04  2.8191289e-01  2.9430389e-02
 -3.0572204e-02 -1.0572204e-02  2.7389526e-02 -6.9115162e-03
 -2.7779579e-01 -4.3964386e-03 -4.3964386e-03 -4.3964386e-03
 -1.3187408e-02 -1.1068951e-05  3.8066607e-03 -4.3964386e-03
 -1.3187408e-02 -4.3964386e-03 -1.3187408e-02  2.0993806e-03
  1.5064645e-02 -5.3958392e-01  1.6194152e-02  5.8012778e-01
 -1.3426268e-01  9.5431060e-01 -9.6194382e+00 -2.2991224e-01
  4.2442384e-01  5.6150460e-01 -5.5775024e-02 -4.6261641e-01
  1.8258427e+00  6.5793872e-01  7.5307149e-01  4.7660697e-02]","[-0.13274719  0.00493281  0.1439628  -0.02543426  0.23985958 -2.4313428
 -0.05687466  0.10213708  0.14704442 -0.01583945 -0.11827151  0.45658383]","[-0.38712579011917114, -0.028916018083691597, 0.13598868250846863, -0.5418951511383057, 0.5301100015640259, -2.572479009628296, 0.19239771366119385, 0.1413123905658722, 0.1459924429655075, 0.48818638920783997, -0.4075612425804138, 0.7078636288642883]"
30,,"[ 1.2792042e-03 -2.1357420e-03  1.4873696e-04  5.6738440e-02
  3.0506207e-03 -9.9838436e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  1.5964508e-02  7.6840203e-03  1.4768371e-02
 -9.8419189e-03 -6.2206388e-04  2.8191289e-01  2.9430389e-02
 -3.0572204e-02 -1.0572204e-02  2.7389526e-02 -6.9115162e-03
 -2.7779579e-01  4.3964386e-03 -2.1978378e-02  4.3964386e-03
  4.3964386e-03 -2.1813374e-03  1.6063243e-05 -4.3964386e-03
  4.3964386e-03 -2.1978378e-02 -4.3964386e-03 -2.1684170e-03
  3.1608652e-05 -5.1110595e-01  3.5594448e-02  5.5435050e-01
 -1.3136826e-02  9.3749082e-01 -9.8341942e+00 -2.1118778e-01
  3.6115003e-01  6.9014722e-01 -8.7305322e-02 -5.5486000e-01
  1.7945915e+00  8.8059551e-01  4.7386867e-01  4.7685411e-02]","[-0.12683024  0.01035049  0.1361751   0.00332656  0.22907397 -2.4637659
 -0.05115775  0.08594304  0.18232118 -0.02407207 -0.14962772  0.44683662]","[-0.379538893699646, -0.022585256025195122, 0.13033075630664825, -0.5106328725814819, 0.5263374447822571, -2.7202632427215576, 0.19571024179458618, 0.12437676638364792, 0.17432186007499695, 0.4801974594593048, -0.42222344875335693, 0.7212790846824646]"
40,,"[-1.8662282e-03  7.0972065e-04 -2.6179939e-07  5.6681093e-02
  3.0406462e-03 -9.9838758e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  1.5964508e-02  7.6840203e-03  1.4768371e-02
 -9.8419189e-03 -6.2206388e-04  2.8191289e-01  2.9430389e-02
 -3.0572204e-02 -1.0572204e-02  2.7389526e-02 -6.9115162e-03
 -2.7779579e-01  4.3964386e-03 -1.3187408e-02 -4.3964386e-03
 -1.3187408e-02  2.1813374e-03 -1.6063243e-05 -4.3964386e-03
  4.3964386e-03  1.3187408e-02  4.3964386e-03 -4.3192231e-03
 -3.7106464e-03 -4.9426857e-01  7.7863067e-02  5.1850998e-01
  7.0575796e-02  8.1087351e-01 -9.9436474e+00 -1.7475128e-01
  2.8011566e-01  8.3629900e-01 -1.2648945e-01 -7.6992494e-01
  1.8350652e+00  9.9094975e-01  1.3423327e-01  4.7714666e-02]","[-0.12190205  0.02442572  0.12795968  0.02034032  0.1917358  -2.4971576
 -0.04053733  0.0648533   0.21817057 -0.03412898 -0.21144056  0.46954367]","[-0.37457165122032166, -0.013476320542395115, 0.12193457782268524, -0.48707711696624756, 0.5016274452209473, -2.748817205429077, 0.20382848381996155, 0.10566014796495438, 0.21033398807048798, 0.4709646999835968, -0.4683789014816284, 0.7248112559318542]"
50,,"[-7.19424686e-04  5.13081439e-03  2.73505673e-02  5.67015000e-02
  3.00007709e-03 -9.98386741e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  1.59645081e-02  7.68402033e-03  1.47683714e-02
 -9.84191895e-03 -6.22063875e-04  2.81912893e-01  2.94303894e-02
 -3.05722039e-02 -1.05722044e-02  2.73895264e-02 -6.91151619e-03
 -2.77795792e-01 -4.39643860e-03 -1.31874084e-02  4.39643860e-03
 -4.39643860e-03 -2.18133745e-03  1.60632426e-05  4.39643860e-03
 -4.39643860e-03 -1.31874084e-02 -4.39643860e-03  4.35350416e-03
 -3.83706717e-03 -4.57830787e-01  1.81103006e-01  5.00869930e-01
  9.11017582e-02  6.19675636e-01 -1.01266527e+01 -1.21926874e-01
  1.75663754e-01  9.68681514e-01 -1.58866331e-01 -1.09382558e+00
  2.11646795e+00  9.74927902e-01 -2.22520933e-01  4.78513800e-02]","[-0.11029651  0.0549119   0.12606044  0.02132794  0.14166877 -2.545562
 -0.02652031  0.03647035  0.24805373 -0.04016551 -0.29309145  0.5605397 ]","[-0.36667266488075256, 0.008292900398373604, 0.1162458136677742, -0.47815001010894775, 0.4570404589176178, -2.790184497833252, 0.21640554070472717, 0.08087620884180069, 0.2440696358680725, 0.4621462821960449, -0.5423009395599365, 0.7794694304466248]"
60,,"[-4.50697765e-02  6.02306146e-03  1.75598860e-01  5.73176332e-02
  4.24691942e-03 -9.98347044e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  1.06239319e-02  8.06549005e-03  4.07083109e-02
 -9.84191895e-03 -1.28638744e-03  2.82413989e-01  2.25639343e-02
 -2.17984002e-02  3.59680578e-02  2.43377686e-02 -7.65758753e-03
 -2.79093772e-01 -1.89010620e-01  4.39643860e-03  6.54945374e-01
 -5.71422577e-02 -5.91250956e-02  6.90209940e-02 -1.27471924e-01
  1.09889984e-01  1.41978073e+00 -1.71428680e-01 -3.43039371e-02
 -7.10859150e-02 -3.79716814e-01  3.64175797e-01  5.35305798e-01
  6.25802800e-02  4.21498805e-01 -1.03864279e+01 -6.72377199e-02
  8.48138332e-02  1.06775904e+00 -1.27718583e-01 -1.35488129e+00
  2.77964067e+00  8.34573269e-01 -5.50897002e-01  5.31857014e-02]","[-0.08775114  0.10184824  0.1403148   0.01326382  0.09470684 -2.605243
 -0.01125643  0.01684353  0.26411134 -0.02584139 -0.34846628  0.7502178 ]","[-0.34957030415534973, 0.04875048249959946, 0.1210169792175293, -0.4825192987918854, 0.4081645607948303, -2.8493661880493164, 0.22977356612682343, 0.057011786848306656, 0.27146679162979126, 0.4653741419315338, -0.6147032380104065, 0.9196652173995972]"
70,,"[ 2.15253364e-02 -2.36007962e-02  3.01362634e-01  5.69884926e-02
  4.22002608e-03 -9.98365998e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  1.85012817e-03  1.45504754e-02  6.93194941e-02
 -1.32751465e-02 -5.46196103e-03  2.83443004e-01  1.83677673e-02
 -9.97283868e-03  1.32480845e-01  1.89971924e-02 -9.87026095e-03
 -2.85585135e-01 -1.62637711e-01  2.41758347e-01  5.23077011e-01
 -8.35170746e-02 -8.51993412e-02 -4.51406837e-02 -3.95603180e-02
  2.76922226e-01  2.22857094e+00 -5.71422577e-02 -5.75211979e-02
 -1.11440890e-01 -2.80048579e-01  4.58916336e-01  6.26363277e-01
  2.83317640e-02  2.42710486e-01 -1.02778835e+01 -2.08069943e-03
 -6.13685697e-05  1.01819015e+00  2.71210074e-02 -1.39224291e+00
  3.65034795e+00  5.87785244e-01 -8.09017003e-01  6.51645660e-02]","[-6.3016355e-02  1.1339529e-01  1.6245121e-01  5.9611760e-03
  4.9567107e-02 -2.5305820e+00  2.1400368e-03 -6.1267274e-03
  2.4676402e-01  2.0781497e-02 -3.3107227e-01  9.5901096e-01]","[-0.3259275257587433, 0.08029884845018387, 0.14111468195915222, -0.4909052550792694, 0.3618723154067993, -2.852789878845215, 0.24610790610313416, 0.036092132329940796, 0.26796382665634155, 0.4960686266422272, -0.6387242674827576, 1.1307098865509033]"
80,,"[ 1.05091855e-01 -4.20959480e-02  3.18502218e-01  5.52146696e-02
 -2.35416926e-04 -9.98474479e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -3.87191772e-03  2.48501580e-02  8.64856318e-02
 -1.89971924e-02  3.44395638e-03  2.34553963e-01  1.53160095e-02
  3.76102515e-03  2.17550501e-01  1.74713135e-02 -1.30108595e-02
 -2.90712327e-01 -1.71428680e-01  1.97801590e-01  2.06592560e-01
 -3.82417679e-01  1.26441851e-01 -1.28059375e+00 -1.01099014e-01
  2.76922226e-01  1.07692337e+00  4.39643860e-03 -3.18318829e-02
 -5.14824130e-02 -1.35976031e-01  2.97115594e-01  6.25845730e-01
  3.04167867e-02 -1.43673614e-01 -9.24706745e+00  8.49429816e-02
 -8.61076489e-02  7.76102066e-01  3.24881732e-01 -8.13474119e-01
  4.15020752e+00  2.66036838e-01 -9.63962853e-01  8.23222250e-02]","[-0.01665106  0.05576854  0.1580478   0.01120661 -0.07468139 -2.205048
  0.03095398 -0.02079595  0.17007662  0.10682333 -0.15420766  1.0460091 ]","[-0.29357242584228516, 0.06033257767558098, 0.14821603894233704, -0.49241963028907776, 0.28028446435928345, -2.654433012008667, 0.2653668224811554, 0.014103689230978489, 0.220636785030365, 0.5606170892715454, -0.5360214114189148, 1.281152606010437]"
90,,"[ 6.23022169e-02  6.59062527e-03  1.45860285e-01  5.45271523e-02
 -5.03286906e-03 -9.98499632e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -8.44955444e-03  4.01089489e-02  9.94556025e-02
 -3.12042236e-02  5.78370690e-03  1.76710188e-01  1.11198425e-02
  1.06274802e-02  2.56078959e-01  1.89971924e-02 -1.62768960e-02
 -2.91099012e-01 -9.23080444e-02  2.59340286e-01  2.59340286e-01
 -1.09889984e-01  1.47986442e-01 -9.76446509e-01 -1.18680954e-01
 -3.07693481e-02  1.97801590e-01  1.31874084e-02 -7.58913383e-02
  6.20672628e-02  1.77036911e-01 -7.87902102e-02  7.06733346e-01
  1.19000532e-01 -7.35923767e-01 -6.94529200e+00  2.48627454e-01
 -4.55410630e-02  3.72401208e-01  7.53551781e-01 -5.40652648e-02
  4.17726612e+00 -8.96393061e-02 -9.95974302e-01  9.34740528e-02]","[ 0.05450494 -0.04932494  0.20595652  0.0376616  -0.20477796 -1.5329537
  0.06447425 -0.00860329  0.05658943  0.21132505  0.00213548  1.0157242 ]","[-0.2270480841398239, -0.0248043742030859, 0.16249299049377441, -0.47596949338912964, 0.14478550851345062, -2.161716938018799, 0.3003954589366913, 0.014552094042301178, 0.12947583198547363, 0.6610146760940552, -0.3526867628097534, 1.3122597932815552]"
