step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.00000000e+00  1.00000000e+00  1.35719613e-03  6.86643412e-03
 -5.21969807e-04 -1.25884954e-02  2.04761097e-09 -2.19821261e-04
  1.20314005e-04 -2.65026090e-09  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",[ 0.37197575  0.48310965 -0.66195995 -0.95269597],[ 0.37197575  0.48310965 -0.66195995 -0.95269597],[ 0.09299394  0.12077741 -0.16548999 -0.23817399]
1,0.0078125,"[ 4.9067676e-02  9.9879545e-01  1.3571961e-03  6.8664341e-03
 -5.2196981e-04 -1.2588495e-02 -1.2029849e-04  4.3959860e-04
 -2.4057143e-04 -6.5936486e-04  3.7197575e-01  4.8310965e-01
 -6.6195995e-01 -9.5269597e-01]",[-0.05788294  0.59671843 -0.4760581  -0.6834087 ],[-0.05788294  0.59671843 -0.4760581  -0.6834087 ],[-0.01447074  0.14917961 -0.11901452 -0.17085217]
2,0.015625,"[ 9.8017141e-02  9.9518472e-01  1.3571961e-03  6.8664341e-03
 -5.2196981e-04 -1.2588495e-02 -1.2029849e-04  4.3959860e-04
  1.4620557e-09 -2.1982184e-04 -5.7882942e-02  5.9671843e-01
 -4.7605810e-01 -6.8340868e-01]",[-0.47987375  0.48598    -0.40560016 -0.31326145],[-0.47987375  0.48598    -0.40560016 -0.31326145],[-0.11996844  0.121495   -0.10140004 -0.07831536]
3,0.0234375,"[ 1.46730468e-01  9.89176512e-01  1.35719613e-03  6.86643412e-03
 -5.21969807e-04 -1.25884954e-02  1.20290315e-04  4.39591095e-04
  1.20290824e-04 -4.39598662e-04 -4.79873747e-01  4.85980004e-01
 -4.05600160e-01 -3.13261449e-01]",[-0.60143954  0.42829043 -0.6261804  -0.17147449],[-0.60143954  0.42829043 -0.6261804  -0.17147449],[-0.15035988  0.10707261 -0.1565451  -0.04286862]
4,0.03125,"[ 1.9509032e-01  9.8078525e-01  1.3571961e-03  6.8664341e-03
 -5.2196981e-04 -1.2588495e-02 -2.4061697e-04  2.1978107e-04
 -1.2028498e-04 -4.3959334e-04 -6.0143954e-01  4.2829043e-01
 -6.2618041e-01 -1.7147449e-01]",[-0.64762145  0.3271173  -0.85364676 -0.06040616],[-0.64762145  0.3271173  -0.85364676 -0.06040616],[-0.16190536  0.08177932 -0.21341169 -0.01510154]
5,0.0390625,"[ 2.4298018e-01  9.7003126e-01  1.3571961e-03  6.8664341e-03
 -5.2196981e-04 -1.2588495e-02 -1.2032051e-04  3.7504786e-09
  1.4620557e-09 -2.1982184e-04 -6.4762145e-01  3.2711729e-01
 -8.5364676e-01 -6.0406163e-02]",[-0.575348    0.23632383 -1.1484393   0.0115414 ],[-0.575348    0.23632383 -1.1484393   0.0115414 ],[-0.143837    0.05908096 -0.28710982  0.00288535]
6,0.046875,"[ 2.9028466e-01  9.5694035e-01  1.3571961e-03  6.8664341e-03
 -5.2196981e-04 -1.2588495e-02 -1.2032051e-04  3.7504786e-09
 -1.2028498e-04 -4.3959334e-04 -5.7534802e-01  2.3632383e-01
 -1.1484393e+00  1.1541396e-02]",[-0.40772906  0.13861567 -1.4197596   0.03987591],[-0.40772906  0.13861567 -1.4197596   0.03987591],[-0.10193226  0.03465392 -0.3549399   0.00996898]
7,0.05468750000000001,"[ 3.36889863e-01  9.41544056e-01  1.35719613e-03  6.86643412e-03
 -5.21969807e-04 -1.25884954e-02 -1.20320510e-04  3.75047859e-09
  1.20290824e-04 -4.39598662e-04 -4.07729059e-01  1.38615668e-01
 -1.41975963e+00  3.98759097e-02]",[-0.27167442  0.04253475 -1.6007181   0.05443838],[-0.27167442  0.04253475 -1.6007181   0.05443838],[-0.06791861  0.01063369 -0.40017954  0.0136096 ]
8,0.0625,"[ 3.8268343e-01  9.2387950e-01  1.3571961e-03  6.8664341e-03
 -5.2196981e-04 -1.2588495e-02 -6.1419452e-09  6.5936841e-04
 -1.2028498e-04 -4.3959334e-04 -2.7167442e-01  4.2534746e-02
 -1.6007181e+00  5.4438382e-02]",[-0.06569784  0.01326109 -1.825432    0.03453857],[-0.06569784  0.01326109 -1.825432    0.03453857],[-0.01642446  0.00331527 -0.456358    0.00863464]
9,0.0703125,"[ 4.2755508e-01  9.0398932e-01  1.3571961e-03  6.8664341e-03
 -5.2196981e-04 -1.2588495e-02  1.2032051e-04 -3.7504786e-09
 -1.2028498e-04 -4.3959334e-04 -6.5697841e-02  1.3261095e-02
 -1.8254319e+00  3.4538567e-02]",[ 0.04457759 -0.02809838 -1.9771346   0.02004357],[ 0.04457759 -0.02809838 -1.9771346   0.02004357],[ 0.0111444  -0.0070246  -0.49428365  0.00501089]
10,0.078125,"[ 4.7139674e-01  8.8192129e-01  1.3571961e-03  6.8664341e-03
 -5.2196981e-04 -1.2588495e-02 -1.2029849e-04  4.3959860e-04
  2.4060044e-04  2.1976884e-04  4.4577591e-02 -2.8098382e-02
 -1.9771346e+00  2.0043567e-02]",[ 0.17541909 -0.05856533 -1.996242   -0.06758849],[ 0.17541909 -0.05856533 -1.996242   -0.06758849],[ 0.04385477 -0.01464133 -0.4990605  -0.01689712]
11,0.0859375,"[ 5.1410276e-01  8.5772860e-01  1.3571961e-03  6.8664341e-03
 -5.2196981e-04 -1.2588495e-02  2.4057858e-04  1.0989080e-03
  2.4060044e-04  2.1976884e-04  1.7541909e-01 -5.8565326e-02
 -1.9962420e+00 -6.7588493e-02]",[ 0.1421001  -0.05812951 -1.8941706  -0.13371982],[ 0.1421001  -0.05812951 -1.8941706  -0.13371982],[ 0.03552502 -0.01453238 -0.47354266 -0.03342995]
