step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -3.2616615e-02 -1.6212463e-02
 -6.5937045e-04 -6.5937045e-04  0.0000000e+00  0.0000000e+00]",[ 0.17872599 -0.42111617],[ 0.17872599 -0.42111617],[ 0.0446815  -0.10527904]
1,0.015625,"[ 9.8017141e-02  9.9518472e-01 -3.2616615e-02 -1.6212463e-02
  2.1982193e-04 -2.1982193e-04  1.7872599e-01 -4.2111617e-01]",[ 0.1579239 -0.572649 ],[ 0.1579239 -0.572649 ],[ 0.03948098 -0.14316225]
2,0.03125,"[ 1.9509032e-01  9.8078525e-01 -3.2616615e-02 -1.6212463e-02
 -2.1982193e-04 -6.5937045e-04  1.5792391e-01 -5.7264900e-01]",[ 0.16169867 -0.7333615 ],[ 0.16169867 -0.7333615 ],[ 0.04042467 -0.18334037]
3,0.046875,"[ 2.9028466e-01  9.5694035e-01 -3.2616615e-02 -1.6212463e-02
 -2.1982193e-04  2.1982193e-04  1.6169867e-01 -7.3336148e-01]",[ 0.1723672  -0.86653423],[ 0.1723672  -0.86653423],[ 0.0430918  -0.21663356]
4,0.0625,"[ 3.8268343e-01  9.2387950e-01 -3.2616615e-02 -1.6212463e-02
  2.1982193e-04 -2.1982193e-04  1.7236720e-01 -8.6653423e-01]",[ 0.14896125 -0.9644383 ],[ 0.14896125 -0.9644383 ],[ 0.03724031 -0.24110958]
5,0.078125,"[ 4.7139674e-01  8.8192129e-01 -3.2616615e-02 -1.6212463e-02
 -2.1982193e-04 -2.1982193e-04  1.4896125e-01 -9.6443832e-01]",[ 0.15445459 -0.9932369 ],[ 0.15445459 -0.9932369 ],[ 0.03861365 -0.24830922]
6,0.09375,"[ 5.5557024e-01  8.3146960e-01 -3.2616615e-02 -1.6212463e-02
 -2.1982193e-04 -6.5937045e-04  1.5445459e-01 -9.9323690e-01]",[ 0.12196447 -0.98821056],[ 0.12196447 -0.98821056],[ 0.03049112 -0.24705264]
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01 -3.2616615e-02 -1.6212463e-02
 -2.1982193e-04  2.1982193e-04  1.2196447e-01 -9.8821056e-01]",[ 0.09407373 -0.92699957],[ 0.09407373 -0.92699957],[ 0.02351843 -0.23174989]
8,0.125,"[ 7.0710677e-01  7.0710677e-01 -3.2616615e-02 -1.6212463e-02
 -2.1982193e-04 -2.1982193e-04  9.4073728e-02 -9.2699957e-01]",[ 0.1180221 -0.8396057],[ 0.1180221 -0.8396057],[ 0.02950552 -0.20990142]
9,0.140625,"[ 7.7301043e-01  6.3439327e-01 -3.2616615e-02 -1.6212463e-02
 -2.1982193e-04 -2.1982193e-04  1.1802210e-01 -8.3960569e-01]",[ 0.13934742 -0.79775774],[ 0.13934742 -0.79775774],[ 0.03483685 -0.19943944]
10,0.15625,"[ 8.3146960e-01  5.5557024e-01 -3.2616615e-02 -1.6212463e-02
  6.5937045e-04 -2.1982193e-04  1.3934742e-01 -7.9775774e-01]",[ 0.13281816 -0.77821887],[ 0.13281816 -0.77821887],[ 0.03320454 -0.19455472]
11,0.171875,"[ 8.8192129e-01  4.7139674e-01 -3.2616615e-02 -1.6212463e-02
  6.5937045e-04 -2.1982193e-04  1.3281816e-01 -7.7821887e-01]",[ 0.14189896 -0.74256766],[ 0.14189896 -0.74256766],[ 0.03547474 -0.18564191]
12,0.1875,"[ 9.2387950e-01  3.8268343e-01 -3.2616615e-02 -1.6212463e-02
  2.1982193e-04 -2.1982193e-04  1.4189896e-01 -7.4256766e-01]",[ 0.10112049 -0.63499737],[ 0.10112049 -0.63499737],[ 0.02528012 -0.15874934]
13,0.203125,"[ 9.5694035e-01  2.9028466e-01 -3.2616615e-02 -1.6212463e-02
  2.1982193e-04 -2.1982193e-04  1.0112049e-01 -6.3499737e-01]",[-0.01291608 -0.3293817 ],[-0.01291608 -0.3293817 ],[-0.00322902 -0.08234543]
14,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01 -3.2616615e-02 -1.6212463e-02
 -6.5937045e-04  2.1982193e-04 -1.2916077e-02 -3.2938170e-01]",[-0.07884704  0.03610155],[-0.07884704  0.03610155],[-0.01971176  0.00902539]
15,0.234375,"[ 9.9518472e-01  9.8017141e-02 -3.2616615e-02 -1.6212463e-02
  2.1982193e-04 -6.5937045e-04 -7.8847036e-02  3.6101550e-02]",[-0.08468822  0.10863473],[-0.08468822  0.10863473],[-0.02117205  0.02715868]
16,0.25,"[ 1.00000000e+00  6.12323426e-17 -3.26166153e-02 -1.62124634e-02
 -6.59370446e-04 -2.19821930e-04 -8.46882164e-02  1.08634725e-01]",[-0.02400654  0.02408497],[-0.02400654  0.02408497],[-0.00600163  0.00602124]
17,0.265625,"[ 9.9518472e-01 -9.8017141e-02 -3.2616615e-02 -1.6212463e-02
 -6.5937045e-04 -2.1982193e-04 -2.4006538e-02  2.4084970e-02]",[ 0.01677769 -0.03068928],[ 0.01677769 -0.03068928],[ 0.00419442 -0.00767232]
18,0.28125,"[ 9.8078525e-01 -1.9509032e-01 -3.2616615e-02 -1.6212463e-02
  2.1982193e-04  2.1982193e-04  1.6777687e-02 -3.0689277e-02]",[ 0.08591729 -0.16651435],[ 0.08591729 -0.16651435],[ 0.02147932 -0.04162859]
19,0.296875,"[ 0.95694035 -0.29028466 -0.03223515 -0.01659393  0.00197802 -0.00417585
  0.08591729 -0.16651435]",[ 0.185374   -0.31796795],[ 0.185374   -0.31796795],[ 0.0463435  -0.07949199]
20,0.3125,"[ 0.9238795  -0.38268343 -0.03147221 -0.01850128  0.00373631 -0.02087908
  0.185374   -0.31796795]",[ 0.22444914 -0.37783414],[ 0.22444914 -0.37783414],[ 0.05611229 -0.09445854]
21,0.328125,"[ 0.8819213  -0.47139674 -0.03108978 -0.02269745  0.00197802 -0.02175827
  0.22444914 -0.37783414]",[ 0.25385   -0.4457083],[ 0.25385   -0.4457083],[ 0.0634625  -0.11142708]
22,0.34375,"[ 8.3146960e-01 -5.5557024e-01 -3.0708313e-02 -2.7275085e-02
 -6.5937045e-04 -1.8681336e-02  2.5385001e-01 -4.4570830e-01]",[ 0.24163729 -0.51052475],[ 0.24163729 -0.51052475],[ 0.06040932 -0.12763119]
23,0.359375,"[ 7.7301043e-01 -6.3439327e-01 -3.0708313e-02 -2.9945374e-02
 -6.5937045e-04 -1.1648369e-02  2.4163729e-01 -5.1052475e-01]",[ 0.15983474 -0.49765673],[ 0.15983474 -0.49765673],[ 0.03995869 -0.12441418]
24,0.375,"[ 0.70710677 -0.70710677 -0.03070831 -0.03185368  0.00153847 -0.00813189
  0.15983474 -0.49765673]",[ 0.05557892 -0.40124044],[ 0.05557892 -0.40124044],[ 0.01389473 -0.10031011]
25,0.390625,"[ 0.6343933  -0.77301043 -0.03032684 -0.03337955  0.00285711 -0.00769234
  0.05557892 -0.40124044]",[-0.01294544 -0.21368286],[-0.01294544 -0.21368286],[-0.00323636 -0.05342072]
26,0.40625,"[ 0.55557024 -0.8314696  -0.02918243 -0.03490543  0.00769234 -0.0063736
 -0.01294544 -0.21368286]",[-0.1631174 -0.021699 ],[-0.1631174 -0.021699 ],[-0.04077935 -0.00542475]
27,0.421875,"[ 0.47139674 -0.8819213  -0.02765656 -0.03604984  0.00725279 -0.00945053
 -0.1631174  -0.021699  ]",[-0.10574475  0.24104759],[-0.10574475  0.24104759],[-0.02643619  0.0602619 ]
28,0.43750000000000006,"[ 0.38268343 -0.9238795  -0.02613068 -0.03833866  0.00813189 -0.01120882
 -0.10574475  0.24104759]",[ 0.1541176  -0.14288644],[ 0.1541176  -0.14288644],[ 0.0385294  -0.03572161]
29,0.45312499999999994,"[ 0.29028466 -0.95694035 -0.0246048  -0.04100895  0.00769234 -0.01208792
  0.1541176  -0.14288644]",[ 0.314202   -0.01997364],[ 0.314202   -0.01997364],[ 0.0785505  -0.00499341]
30,0.46875,"[ 0.19509032 -0.98078525 -0.02307892 -0.04329777  0.00769234 -0.00945053
  0.314202   -0.01997364]",[0.36986956 0.41249475],[0.36986956 0.41249475],[0.09246739 0.10312369]
31,0.484375,"[ 9.8017141e-02 -9.9518472e-01 -2.1934509e-02 -4.4060707e-02
  2.4175644e-03 -6.5937045e-04  3.6986956e-01  4.1249475e-01]",[0.42593366 0.78448045],[0.42593366 0.78448045],[0.10648341 0.19612011]
32,0.5,"[ 1.2246469e-16 -1.0000000e+00 -2.1934509e-02 -4.3297768e-02
 -1.0989190e-03  8.1318859e-03  4.2593366e-01  7.8448045e-01]",[0.56754875 1.0455769 ],[0.56754875 1.0455769 ],[0.14188719 0.26139423]
