step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -7.8201294e-03 -1.7166138e-03
  2.1982193e-04 -2.1982193e-04  0.0000000e+00  0.0000000e+00]",[ 0.15002522 -0.3196531 ],[ 0.15002522 -0.3196531 ],[ 0.0375063  -0.07991327]
1,0.015625,"[ 9.8017141e-02  9.9518472e-01 -7.8201294e-03 -1.7166138e-03
 -6.5937045e-04 -2.1982193e-04  1.5002522e-01 -3.1965309e-01]",[ 0.05480646 -0.41745695],[ 0.05480646 -0.41745695],[ 0.01370162 -0.10436424]
2,0.03125,"[ 1.9509032e-01  9.8078525e-01 -7.8201294e-03 -1.7166138e-03
 -2.1982193e-04 -6.5937045e-04  5.4806463e-02 -4.1745695e-01]",[ 0.04727355 -0.61038864],[ 0.04727355 -0.61038864],[ 0.01181839 -0.15259716]
3,0.046875,"[ 2.9028466e-01  9.5694035e-01 -7.8201294e-03 -1.7166138e-03
 -6.5937045e-04  2.1982193e-04  4.7273546e-02 -6.1038864e-01]",[ 0.057071  -0.7599863],[ 0.057071  -0.7599863],[ 0.01426775 -0.18999657]
4,0.0625,"[ 3.8268343e-01  9.2387950e-01 -7.8201294e-03 -1.7166138e-03
  2.1982193e-04 -2.1982193e-04  5.7070997e-02 -7.5998628e-01]",[ 0.06988166 -0.92988145],[ 0.06988166 -0.92988145],[ 0.01747042 -0.23247036]
5,0.078125,"[ 4.7139674e-01  8.8192129e-01 -7.8201294e-03 -1.7166138e-03
 -1.5384675e-03  2.1982193e-04  6.9881663e-02 -9.2988145e-01]",[ 0.11745521 -1.0650091 ],[ 0.11745521 -1.0650091 ],[ 0.0293638  -0.26625228]
6,0.09375,"[ 5.55570245e-01  8.31469595e-01 -7.82012939e-03 -1.71661377e-03
 -1.53846748e-03 -2.19821930e-04  1.17455214e-01 -1.06500912e+00]",[ 0.16149476 -1.2403395 ],[ 0.16149476 -1.2403395 ],[ 0.04037369 -0.31008488]
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01 -7.8201294e-03 -1.7166138e-03
 -2.1982193e-04 -6.5937045e-04  1.6149476e-01 -1.2403395e+00]",[ 0.14564827 -1.3597859 ],[ 0.14564827 -1.3597859 ],[ 0.03641207 -0.33994648]
8,0.125,"[ 7.0710677e-01  7.0710677e-01 -7.8201294e-03 -1.7166138e-03
 -2.1982193e-04 -2.1982193e-04  1.4564827e-01 -1.3597859e+00]",[ 0.16005054 -1.4573629 ],[ 0.16005054 -1.4573629 ],[ 0.04001264 -0.36434072]
9,0.140625,"[ 7.7301043e-01  6.3439327e-01 -7.8201294e-03 -1.7166138e-03
  6.5937045e-04 -2.1982193e-04  1.6005054e-01 -1.4573629e+00]",[ 0.13942963 -1.5208057 ],[ 0.13942963 -1.5208057 ],[ 0.03485741 -0.38020143]
10,0.15625,"[ 8.3146960e-01  5.5557024e-01 -7.8201294e-03 -1.7166138e-03
 -2.1982193e-04 -6.5937045e-04  1.3942963e-01 -1.5208057e+00]",[ 0.12818542 -1.5263736 ],[ 0.12818542 -1.5263736 ],[ 0.03204636 -0.3815934 ]
11,0.171875,"[ 8.8192129e-01  4.7139674e-01 -7.8201294e-03 -1.7166138e-03
  6.5937045e-04 -2.1982193e-04  1.2818542e-01 -1.5263736e+00]",[ 0.06526461 -1.4017243 ],[ 0.06526461 -1.4017243 ],[ 0.01631615 -0.35043108]
12,0.1875,"[ 9.2387950e-01  3.8268343e-01 -7.8201294e-03 -1.7166138e-03
 -6.5937045e-04 -2.1982193e-04  6.5264612e-02 -1.4017243e+00]",[ 0.08571973 -1.2011443 ],[ 0.08571973 -1.2011443 ],[ 0.02142993 -0.30028608]
13,0.203125,"[ 9.5694035e-01  2.9028466e-01 -7.8201294e-03 -1.7166138e-03
 -2.1982193e-04  2.1982193e-04  8.5719734e-02 -1.2011443e+00]",[ 0.06476028 -0.7232678 ],[ 0.06476028 -0.7232678 ],[ 0.01619007 -0.18081695]
14,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01 -7.8201294e-03 -1.7166138e-03
 -2.1982193e-04 -2.1982193e-04  6.4760283e-02 -7.2326779e-01]",[-0.04640342 -0.23478803],[-0.04640342 -0.23478803],[-0.01160085 -0.05869701]
15,0.234375,"[ 9.9518472e-01  9.8017141e-02 -7.8201294e-03 -1.7166138e-03
  6.5937045e-04  2.1982193e-04 -4.6403416e-02 -2.3478803e-01]",[ 0.05773493 -0.13808587],[ 0.05773493 -0.13808587],[ 0.01443373 -0.03452147]
16,0.25,"[ 1.0000000e+00  6.1232343e-17 -7.8201294e-03 -1.7166138e-03
 -2.1982193e-04  2.1982193e-04  5.7734925e-02 -1.3808587e-01]",[ 0.22075385 -0.13346274],[ 0.22075385 -0.13346274],[ 0.05518846 -0.03336569]
17,0.265625,"[ 9.9518472e-01 -9.8017141e-02 -7.8201294e-03 -1.7166138e-03
 -2.1982193e-04 -2.1982193e-04  2.2075385e-01 -1.3346274e-01]",[0.25019976 0.06231752],[0.25019976 0.06231752],[0.06254994 0.01557938]
18,0.28125,"[ 9.8078525e-01 -1.9509032e-01 -7.8201294e-03 -1.7166138e-03
 -6.5937045e-04  2.1982193e-04  2.5019976e-01  6.2317520e-02]",[0.2587829  0.13234958],[0.2587829  0.13234958],[0.06469572 0.0330874 ]
19,0.296875,"[ 9.5694035e-01 -2.9028466e-01 -7.8201294e-03 -1.7166138e-03
 -1.0989190e-03 -2.1982193e-04  2.5878289e-01  1.3234958e-01]",[0.25827724 0.19708776],[0.25827724 0.19708776],[0.06456931 0.04927194]
20,0.3125,"[ 9.2387950e-01 -3.8268343e-01 -7.8201294e-03 -1.7166138e-03
 -2.1982193e-04  2.1982193e-04  2.5827724e-01  1.9708776e-01]",[0.25575832 0.29987505],[0.25575832 0.29987505],[0.06393958 0.07496876]
21,0.328125,"[ 8.8192129e-01 -4.7139674e-01 -7.8201294e-03 -1.7166138e-03
  2.1982193e-04 -2.1982193e-04  2.5575832e-01  2.9987505e-01]",[0.17012233 0.4184417 ],[0.17012233 0.4184417 ],[0.04253058 0.10461043]
