step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.00000000e+00  1.00000000e+00 -1.13792671e-02 -3.81386286e-04
  7.09905429e-03  6.67515770e-03  1.20305274e-04 -1.79861315e-09
  1.20308578e-04 -4.39578260e-04  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",[ 0.5256206  0.6350652 -0.7206826 -1.1841933],[ 0.5256206  0.6350652 -0.7206826 -1.1841933],[ 0.13140514  0.1587663  -0.18017066 -0.2960483 ]
1,0.0078125,"[ 4.9067676e-02  9.9879545e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03 -4.8915050e-10  2.1977516e-04
 -1.2031377e-04  1.9088695e-08  5.2562058e-01  6.3506520e-01
 -7.2068262e-01 -1.1841933e+00]",[-0.10715744  0.5218374  -0.66147065 -0.94760114],[-0.10715744  0.5218374  -0.66147065 -0.94760114],[-0.02678936  0.13045935 -0.16536766 -0.23690028]
2,0.015625,"[ 9.8017141e-02  9.9518472e-01 -1.1379267e-02 -3.8138629e-04
  6.9946512e-03  6.8658935e-03  2.4058542e-04 -2.1973019e-04
 -1.2026654e-04 -4.3954092e-04 -1.0715744e-01  5.2183741e-01
 -6.6147065e-01 -9.4760114e-01]",[-0.3789685   0.35647383 -0.7214119  -0.53829914],[-0.3789685   0.35647383 -0.7214119  -0.53829914],[-0.09474213  0.08911846 -0.18035297 -0.13457479]
3,0.0234375,"[ 1.4673047e-01  9.8917651e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03  3.6086366e-04  4.3945221e-04
 -1.2031377e-04  1.9088695e-08 -3.7896851e-01  3.5647383e-01
 -7.2141188e-01 -5.3829914e-01]",[-0.4808446   0.24187958 -0.82070166 -0.37604022],[-0.4808446   0.24187958 -0.82070166 -0.37604022],[-0.12021115  0.0604699  -0.20517541 -0.09401006]
4,0.03125,"[ 1.9509032e-01  9.8078525e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03  3.6086366e-04  4.3945221e-04
  1.2030858e-04 -4.3957826e-04 -4.8084459e-01  2.4187958e-01
 -8.2070166e-01 -3.7604022e-01]",[-0.5057101   0.18447885 -0.9173337  -0.18686263],[-0.5057101   0.18447885 -0.9173337  -0.18686263],[-0.12642753  0.04611971 -0.22933343 -0.04671566]
5,0.0390625,"[ 2.4298018e-01  9.7003126e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03 -3.6086465e-04  2.7404714e-09
  1.0453245e-08 -2.1980342e-04 -5.0571012e-01  1.8447885e-01
 -9.1733372e-01 -1.8686263e-01]",[-0.5094241   0.10717102 -0.9938203  -0.05090722],[-0.5094241   0.10717102 -0.9938203  -0.05090722],[-0.12735602  0.02679276 -0.24845508 -0.01272681]
6,0.046875,"[ 2.9028466e-01  9.5694035e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03 -1.4672393e-09  6.5923011e-04
  1.0453245e-08 -2.1980342e-04 -5.0942409e-01  1.0717102e-01
 -9.9382031e-01 -5.0907224e-02]",[-0.45856473  0.06648131 -1.0647173   0.01215784],[-0.45856473  0.06648131 -1.0647173   0.01215784],[-0.11464118  0.01662033 -0.26617932  0.00303946]
7,0.05468750000000001,"[ 3.36889863e-01  9.41544056e-01 -1.12748807e-02 -1.90693536e-04
  7.09905429e-03  6.67515770e-03 -2.40584646e-04 -2.19725654e-04
 -1.04532454e-08  2.19803420e-04 -4.58564728e-01  6.64813071e-02
 -1.06471729e+00  1.21578425e-02]",[-0.4208841   0.02905411 -1.0984249   0.01584551],[-0.4208841   0.02905411 -1.0984249   0.01584551],[-0.10522103  0.00726353 -0.27460623  0.00396138]
8,0.0625,"[ 3.8268343e-01  9.2387950e-01 -1.1274881e-02 -1.9069354e-04
  6.9946512e-03  6.8658935e-03  1.2028050e-04 -4.3950355e-04
  1.0593484e-08 -2.1980396e-04 -4.2088410e-01  2.9054105e-02
 -1.0984249e+00  1.5845507e-02]",[-0.37581345  0.05389177 -1.1363205   0.01652049],[-0.37581345  0.05389177 -1.1363205   0.01652049],[-0.09395336  0.01347294 -0.28408012  0.00413012]
9,0.0703125,"[ 4.2755508e-01  9.0398932e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03  4.8915050e-10 -2.1977516e-04
  2.4060671e-04 -6.5935304e-04 -3.7581345e-01  5.3891771e-02
 -1.1363205e+00  1.6520485e-02]",[-0.30869475  0.07817835 -1.1814747  -0.00377065],[-0.30869475  0.07817835 -1.1814747  -0.00377065],[-0.07717369  0.01954459 -0.29536867 -0.00094266]
