step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -2.9182434e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02  2.1982193e-04  6.5937045e-04
 -2.1982193e-04 -6.5937045e-04  2.1982193e-04  2.1982193e-04
  2.1982193e-04 -2.1982193e-04  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[-0.48771712 -0.2978781   0.40651444 -0.86071897 -0.18259098  0.08005276
 -0.09070586  0.5228358 ]","[-0.48771712 -0.2978781   0.40651444 -0.86071897 -0.18259098  0.08005276
 -0.09070586  0.5228358 ]","[-0.12192928 -0.07446952  0.10162861 -0.21517974 -0.04564774  0.02001319
 -0.02267647  0.13070895]"
1,0.015625,"[ 9.8017141e-02  9.9518472e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -2.1982193e-04 -1.0989190e-03
  2.1982193e-04 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04
 -6.5937045e-04 -2.1982193e-04 -4.8771712e-01 -2.9787809e-01
  4.0651444e-01 -8.6071897e-01 -1.8259098e-01  8.0052756e-02
 -9.0705864e-02  5.2283579e-01]","[-0.5918894  -0.26808676  0.34761018 -0.93815756 -0.29312605  0.02832841
 -0.20422691  0.45152962]","[-0.5918894  -0.26808676  0.34761018 -0.93815756 -0.29312605  0.02832841
 -0.20422691  0.45152962]","[-0.14797235 -0.06702169  0.08690254 -0.23453939 -0.07328151  0.0070821
 -0.05105673  0.11288241]"
2,0.03125,"[ 1.9509032e-01  9.8078525e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -6.5937045e-04  2.1982193e-04
  2.1982193e-04 -6.5937045e-04 -5.9188938e-01 -2.6808676e-01
  3.4761018e-01 -9.3815756e-01 -2.9312605e-01  2.8328411e-02
 -2.0422691e-01  4.5152962e-01]","[-0.6983174  -0.25063637  0.28327405 -1.0305028  -0.37045205  0.09727731
 -0.26842415  0.41408142]","[-0.6983174  -0.25063637  0.28327405 -1.0305028  -0.37045205  0.09727731
 -0.26842415  0.41408142]","[-0.17457935 -0.06265909  0.07081851 -0.2576257  -0.09261301  0.02431933
 -0.06710604  0.10352036]"
3,0.046875,"[ 2.9028466e-01  9.5694035e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -6.5937045e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04  2.1982193e-04 -2.1982193e-04
 -6.5937045e-04 -2.1982193e-04 -6.9831741e-01 -2.5063637e-01
  2.8327405e-01 -1.0305028e+00 -3.7045205e-01  9.7277313e-02
 -2.6842415e-01  4.1408142e-01]","[-0.74247473 -0.22420964  0.25218633 -1.1314292  -0.4366773   0.13511425
 -0.3122938   0.4004216 ]","[-0.74247473 -0.22420964  0.25218633 -1.1314292  -0.4366773   0.13511425
 -0.3122938   0.4004216 ]","[-0.18561868 -0.05605241  0.06304658 -0.2828573  -0.10916933  0.03377856
 -0.07807345  0.1001054 ]"
4,0.0625,"[ 3.8268343e-01  9.2387950e-01 -2.9182434e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02  2.1982193e-04  6.5937045e-04
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04  2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -7.4247473e-01 -2.2420964e-01
  2.5218633e-01 -1.1314292e+00 -4.3667731e-01  1.3511425e-01
 -3.1229380e-01  4.0042159e-01]","[-0.7639371  -0.1981462   0.22072978 -1.2176423  -0.47459337  0.15035617
 -0.34269553  0.38846776]","[-0.7639371  -0.1981462   0.22072978 -1.2176423  -0.47459337  0.15035617
 -0.34269553  0.38846776]","[-0.19098428 -0.04953655  0.05518245 -0.30441058 -0.11864834  0.03758904
 -0.08567388  0.09711694]"
5,0.078125,"[ 4.7139674e-01  8.8192129e-01 -2.9182434e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02  2.1982193e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04 -6.5937045e-04  6.5937045e-04
  2.1982193e-04 -1.0989190e-03 -7.6393712e-01 -1.9814619e-01
  2.2072978e-01 -1.2176423e+00 -4.7459337e-01  1.5035617e-01
 -3.4269553e-01  3.8846776e-01]","[-0.8151221  -0.18493682  0.16380176 -1.3443532  -0.50766355  0.18895423
 -0.43263686  0.38909522]","[-0.8151221  -0.18493682  0.16380176 -1.3443532  -0.50766355  0.18895423
 -0.43263686  0.38909522]","[-0.20378053 -0.04623421  0.04095044 -0.3360883  -0.12691589  0.04723856
 -0.10815921  0.0972738 ]"
6,0.09375,"[ 5.5557024e-01  8.3146960e-01 -2.9182434e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02  1.0989190e-03 -2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -6.5937045e-04 -6.5937045e-04
 -6.5937045e-04  2.1982193e-04 -8.1512213e-01 -1.8493682e-01
  1.6380176e-01 -1.3443532e+00 -5.0766355e-01  1.8895423e-01
 -4.3263686e-01  3.8909522e-01]","[-0.81111985 -0.13229594  0.12963872 -1.4359304  -0.5226904   0.1922901
 -0.45607454  0.39185607]","[-0.81111985 -0.13229594  0.12963872 -1.4359304  -0.5226904   0.1922901
 -0.45607454  0.39185607]","[-0.20277996 -0.03307398  0.03240968 -0.3589826  -0.1306726   0.04807252
 -0.11401863  0.09796402]"
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -6.5937045e-04 -2.1982193e-04
 -6.5937045e-04 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04
 -6.5937045e-04  2.1982193e-04 -8.1111985e-01 -1.3229594e-01
  1.2963872e-01 -1.4359304e+00 -5.2269042e-01  1.9229010e-01
 -4.5607454e-01  3.9185607e-01]","[-0.8446042  -0.1215287   0.12886049 -1.5756669  -0.55238307  0.258436
 -0.51269895  0.4053559 ]","[-0.8446042  -0.1215287   0.12886049 -1.5756669  -0.55238307  0.258436
 -0.51269895  0.4053559 ]","[-0.21115105 -0.03038217  0.03221512 -0.39391673 -0.13809577  0.064609
 -0.12817474  0.10133898]"
8,0.125,"[ 7.0710677e-01  7.0710677e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -6.5937045e-04 -6.5937045e-04
  2.1982193e-04 -2.1982193e-04  2.1982193e-04  2.1982193e-04
 -6.5937045e-04  2.1982193e-04 -8.4460419e-01 -1.2152870e-01
  1.2886049e-01 -1.5756669e+00 -5.5238307e-01  2.5843599e-01
 -5.1269895e-01  4.0535590e-01]","[-0.9039844  -0.09834995  0.08215114 -1.6595173  -0.6181257   0.24058852
 -0.5070207   0.41068897]","[-0.9039844  -0.09834995  0.08215114 -1.6595173  -0.6181257   0.24058852
 -0.5070207   0.41068897]","[-0.2259961  -0.02458749  0.02053779 -0.41487932 -0.15453142  0.06014713
 -0.12675518  0.10267224]"
9,0.140625,"[ 7.7301043e-01  6.3439327e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -6.5937045e-04  2.1982193e-04
 -1.0989190e-03 -2.1982193e-04 -6.5937045e-04 -6.5937045e-04
 -6.5937045e-04 -2.1982193e-04 -9.0398443e-01 -9.8349951e-02
  8.2151145e-02 -1.6595173e+00 -6.1812568e-01  2.4058852e-01
 -5.0702071e-01  4.1068897e-01]","[-0.9262686  -0.04539785  0.02806739 -1.7359711  -0.6951299   0.15475728
 -0.54513705  0.4022699 ]","[-0.9262686  -0.04539785  0.02806739 -1.7359711  -0.6951299   0.15475728
 -0.54513705  0.4022699 ]","[-0.23156714 -0.01134946  0.00701685 -0.43399277 -0.17378247  0.03868932
 -0.13628426  0.10056747]"
