step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00  1.2016296e-02  2.4795532e-03
 -2.1982193e-04 -2.1982193e-04  0.0000000e+00  0.0000000e+00]",[-0.13878146  0.9187652 ],[-0.13878146  0.9187652 ],[-0.03469536  0.2296913 ]
1,0.015625,"[ 9.8017141e-02  9.9518472e-01  1.2016296e-02  2.4795532e-03
 -6.5937045e-04 -2.1982193e-04 -1.3878146e-01  9.1876519e-01]",[-0.0587308  0.9548607],[-0.0587308  0.9548607],[-0.0146827   0.23871517]
2,0.03125,"[ 1.9509032e-01  9.8078525e-01  1.2016296e-02  2.4795532e-03
 -2.1982193e-04 -6.5937045e-04 -5.8730796e-02  9.5486069e-01]",[-0.02588715  0.8899514 ],[-0.02588715  0.8899514 ],[-0.00647179  0.22248785]
3,0.046875,"[ 2.9028466e-01  9.5694035e-01  1.2016296e-02  2.4795532e-03
  2.1982193e-04 -2.1982193e-04 -2.5887147e-02  8.8995141e-01]",[-0.08567585  0.73693573],[-0.08567585  0.73693573],[-0.02141896  0.18423393]
4,0.0625,"[ 3.8268343e-01  9.2387950e-01  1.2016296e-02  2.4795532e-03
 -6.5937045e-04  2.1982193e-04 -8.5675851e-02  7.3693573e-01]",[-0.10942489  0.69551504],[-0.10942489  0.69551504],[-0.02735622  0.17387876]
5,0.078125,"[ 4.7139674e-01  8.8192129e-01  1.2016296e-02  2.4795532e-03
 -2.1982193e-04 -2.1982193e-04 -1.0942489e-01  6.9551504e-01]",[-0.12447365  0.7352332 ],[-0.12447365  0.7352332 ],[-0.03111841  0.1838083 ]
6,0.09375,"[ 5.55570245e-01  8.31469595e-01  1.20162964e-02  2.47955322e-03
 -6.59370446e-04 -2.19821930e-04 -1.24473654e-01  7.35233188e-01]",[-0.14529245  0.69744927],[-0.14529245  0.69744927],[-0.03632311  0.17436232]
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01  1.2016296e-02  2.4795532e-03
 -2.1982193e-04 -6.5937045e-04 -1.4529245e-01  6.9744927e-01]",[-0.14255661  0.6049481 ],[-0.14255661  0.6049481 ],[-0.03563915  0.15123703]
8,0.125,"[ 7.0710677e-01  7.0710677e-01  1.2016296e-02  2.4795532e-03
  2.1982193e-04 -2.1982193e-04 -1.4255661e-01  6.0494810e-01]",[-0.14949286  0.54992956],[-0.14949286  0.54992956],[-0.03737321  0.13748239]
9,0.140625,"[ 7.7301043e-01  6.3439327e-01  1.2016296e-02  2.4795532e-03
 -1.0989190e-03 -2.1982193e-04 -1.4949286e-01  5.4992956e-01]",[-0.15285161  0.4782098 ],[-0.15285161  0.4782098 ],[-0.0382129   0.11955245]
10,0.15625,"[ 8.3146960e-01  5.5557024e-01  1.2016296e-02  2.4795532e-03
 -2.1982193e-04  2.1982193e-04 -1.5285161e-01  4.7820979e-01]",[-0.1742352   0.43355477],[-0.1742352   0.43355477],[-0.0435588   0.10838869]
11,0.171875,"[ 8.8192129e-01  4.7139674e-01  1.2016296e-02  2.4795532e-03
 -2.1982193e-04 -2.1982193e-04 -1.7423519e-01  4.3355477e-01]",[-0.18829498  0.3164332 ],[-0.18829498  0.3164332 ],[-0.04707374  0.0791083 ]
12,0.1875,"[ 9.2387950e-01  3.8268343e-01  1.2016296e-02  2.4795532e-03
 -2.1982193e-04 -2.1982193e-04 -1.8829498e-01  3.1643319e-01]",[-0.21326673  0.23225167],[-0.21326673  0.23225167],[-0.05331668  0.05806292]
13,0.203125,"[ 9.5694035e-01  2.9028466e-01  1.2016296e-02  2.4795532e-03
 -6.5937045e-04 -2.1982193e-04 -2.1326673e-01  2.3225167e-01]",[-0.23061104  0.18796094],[-0.23061104  0.18796094],[-0.05765276  0.04699023]
14,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01  1.2016296e-02  2.4795532e-03
 -6.5937045e-04 -6.5937045e-04 -2.3061104e-01  1.8796094e-01]",[-0.23209548  0.32020384],[-0.23209548  0.32020384],[-0.05802387  0.08005096]
15,0.234375,"[ 9.9518472e-01  9.8017141e-02  1.2016296e-02  2.4795532e-03
  2.1982193e-04 -6.5937045e-04 -2.3209548e-01  3.2020384e-01]",[-0.26016098  0.2460674 ],[-0.26016098  0.2460674 ],[-0.06504025  0.06151685]
16,0.25,"[ 1.0000000e+00  6.1232343e-17  1.2016296e-02  2.4795532e-03
  2.1982193e-04 -2.1982193e-04 -2.6016098e-01  2.4606740e-01]",[-0.25466332 -0.01352312],[-0.25466332 -0.01352312],[-0.06366583 -0.00338078]
17,0.265625,"[ 9.9518472e-01 -9.8017141e-02  1.2016296e-02  2.4795532e-03
  2.1982193e-04 -2.1982193e-04 -2.5466332e-01 -1.3523117e-02]",[-0.24230222 -0.09281084],[-0.24230222 -0.09281084],[-0.06057556 -0.02320271]
18,0.28125,"[ 9.8078525e-01 -1.9509032e-01  1.2016296e-02  2.4795532e-03
  2.1982193e-04 -2.1982193e-04 -2.4230222e-01 -9.2810839e-02]",[-0.25445855 -0.1993667 ],[-0.25445855 -0.1993667 ],[-0.06361464 -0.04984168]
19,0.296875,"[ 9.5694035e-01 -2.9028466e-01  1.2016296e-02  2.4795532e-03
 -1.0989190e-03  2.1982193e-04 -2.5445855e-01 -1.9936670e-01]",[-0.23118873 -0.36054206],[-0.23118873 -0.36054206],[-0.05779718 -0.09013551]
20,0.3125,"[ 9.2387950e-01 -3.8268343e-01  1.2016296e-02  2.4795532e-03
  2.1982193e-04 -2.1982193e-04 -2.3118873e-01 -3.6054206e-01]",[-0.173775   -0.45851535],[-0.173775   -0.45851535],[-0.04344375 -0.11462884]
21,0.328125,"[ 8.8192129e-01 -4.7139674e-01  1.2016296e-02  2.4795532e-03
 -2.1982193e-04 -6.5937045e-04 -1.7377500e-01 -4.5851535e-01]",[-0.12345048 -0.65469205],[-0.12345048 -0.65469205],[-0.03086262 -0.16367301]
22,0.34375,"[ 8.3146960e-01 -5.5557024e-01  1.2016296e-02  2.4795532e-03
 -2.1982193e-04 -2.1982193e-04 -1.2345048e-01 -6.5469205e-01]",[-0.14096189 -0.32046574],[-0.14096189 -0.32046574],[-0.03524047 -0.08011644]
23,0.359375,"[ 7.7301043e-01 -6.3439327e-01  1.2016296e-02  2.4795532e-03
 -2.1982193e-04  2.1982193e-04 -1.4096189e-01 -3.2046574e-01]",[-0.13010775 -0.0445869 ],[-0.13010775 -0.0445869 ],[-0.03252694 -0.01114672]
24,0.375,"[ 7.0710677e-01 -7.0710677e-01  1.2016296e-02  2.4795532e-03
 -2.1982193e-04 -6.5937045e-04 -1.3010775e-01 -4.4586897e-02]",[-0.04675987  0.11218081],[-0.04675987  0.11218081],[-0.01168997  0.0280452 ]
25,0.390625,"[ 6.34393275e-01 -7.73010433e-01  1.20162964e-02  2.47955322e-03
 -6.59370446e-04  2.19821930e-04 -4.67598736e-02  1.12180814e-01]",[0.06433369 0.24935319],[0.06433369 0.24935319],[0.01608342 0.0623383 ]
26,0.40625,"[ 0.55557024 -0.8314696   0.0120163   0.00171661 -0.00241756 -0.01208792
  0.06433369  0.24935319]",[0.21663018 0.58852637],[0.21663018 0.58852637],[0.05415754 0.14713159]
27,0.421875,"[ 0.47139674 -0.8819213   0.01163483 -0.00247955 -0.00373631 -0.02527475
  0.21663018  0.58852637]",[0.5407707  0.53739524],[0.5407707  0.53739524],[0.13519268 0.13434881]
28,0.43750000000000006,"[ 0.38268343 -0.9238795   0.01087189 -0.00591278 -0.00417585 -0.01824179
  0.5407707   0.53739524]",[0.5640653 0.8213934],[0.5640653 0.8213934],[0.14101632 0.20534834]
29,0.45312499999999994,"[ 0.29028466 -0.95694035  0.01010895 -0.00934601 -0.00285711 -0.01076927
  0.5640653   0.8213934 ]",[1.6700654 1.8701844],[1.6700654 1.8701844],[0.41751635 0.4675461 ]
30,0.46875,"[ 1.9509032e-01 -9.8078525e-01  1.0108948e-02 -1.0108948e-02
  6.5937045e-04  2.4175644e-03  1.6700654e+00  1.8701844e+00]",[1.5584033 1.623687 ],[1.5584033 1.623687 ],[0.3896008  0.40592176]
31,0.484375,"[ 0.09801714 -0.9951847   0.01087189 -0.00743866  0.0046154   0.02439556
  1.5584033   1.623687  ]",[1.7446046 1.3082361],[1.7446046 1.3082361],[0.43615115 0.32705903]
