step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -9.2888832e-02  8.6403847e-02
 -2.1982193e-04  2.1982193e-04  0.0000000e+00  0.0000000e+00]",[-1.402003    0.22046936],[-1.402003    0.22046936],[-0.35050076  0.05511734]
1,0.015625,"[ 9.8017141e-02  9.9518472e-01 -9.2888832e-02  8.6403847e-02
 -6.5937045e-04  2.1982193e-04 -1.4020030e+00  2.2046936e-01]",[-0.9923628  0.5551256],[-0.9923628  0.5551256],[-0.2480907  0.1387814]
2,0.03125,"[ 1.9509032e-01  9.8078525e-01 -9.2888832e-02  8.6403847e-02
 -2.1982193e-04  2.1982193e-04 -9.9236280e-01  5.5512559e-01]",[-0.8464836  0.6869621],[-0.8464836  0.6869621],[-0.2116209   0.17174053]
3,0.046875,"[ 2.9028466e-01  9.5694035e-01 -9.2888832e-02  8.6403847e-02
  2.1982193e-04 -6.5937045e-04 -8.4648359e-01  6.8696213e-01]",[-0.06120836  0.7307129 ],[-0.06120836  0.7307129 ],[-0.01530209  0.18267822]
4,0.0625,"[ 3.8268343e-01  9.2387950e-01 -9.2888832e-02  8.6403847e-02
  6.5937045e-04  2.1982193e-04 -6.1208360e-02  7.3071289e-01]",[0.17694676 0.4513155 ],[0.17694676 0.4513155 ],[0.04423669 0.11282887]
5,0.078125,"[ 4.7139674e-01  8.8192129e-01 -9.2888832e-02  8.6403847e-02
 -6.5937045e-04 -2.1982193e-04  1.7694676e-01  4.5131549e-01]",[ 0.55644846 -0.00559286],[ 0.55644846 -0.00559286],[ 0.13911211 -0.00139822]
6,0.09375,"[ 5.5557024e-01  8.3146960e-01 -9.2888832e-02  8.6403847e-02
  2.1982193e-04 -2.1982193e-04  5.5644846e-01 -5.5928603e-03]",[ 1.0241303 -0.0692264],[ 1.0241303 -0.0692264],[ 0.2560326 -0.0173066]
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01 -9.2888832e-02  8.6403847e-02
  2.1982193e-04  2.1982193e-04  1.0241303e+00 -6.9226399e-02]",[ 0.53680587 -0.42785767],[ 0.53680587 -0.42785767],[ 0.13420147 -0.10696442]
8,0.125,"[ 7.0710677e-01  7.0710677e-01 -9.2888832e-02  8.6403847e-02
 -6.5937045e-04  2.1982193e-04  5.3680587e-01 -4.2785767e-01]",[ 0.966157   -0.60154665],[ 0.966157   -0.60154665],[ 0.24153925 -0.15038666]
9,0.140625,"[ 7.7301043e-01  6.3439327e-01 -9.2888832e-02  8.6403847e-02
 -2.1982193e-04 -6.5937045e-04  9.6615702e-01 -6.0154665e-01]",[ 1.6431638  -0.20101082],[ 1.6431638  -0.20101082],[ 0.41079095 -0.05025271]
