step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,0.0703125,"[ 2.00000003e-01  0.00000000e+00  0.00000000e+00 -1.11002941e-04
 -2.30032648e-03  1.11374701e-03  4.93944027e-02  1.60062555e-02
 -9.98651028e-01 -3.62977982e-02  1.60763543e-02  8.28338601e-03
 -9.52930450e-02  1.08854979e-01  3.97310257e-02 -2.17984002e-02
 -1.55313108e-02  6.93521500e-02 -1.52663380e-01 -4.39643860e-04
 -1.31874089e-03 -4.39643860e-04 -4.39643860e-04 -4.46782302e-04
 -4.39643860e-04 -4.39643860e-04 -4.39643860e-04 -4.39643860e-04
 -2.15929045e-04 -5.13929352e-02  2.25702941e-01  1.08604535e-01
  8.57063085e-02 -1.83376923e-01 -9.75974426e-02 -4.75049727e-02
  6.05607778e-02  2.66339108e-02  9.51636955e-02]","[-0.05109587  0.22586349  0.10845975  0.08522942 -0.18367146 -0.09810729
 -0.04727018  0.0604281   0.02692793  0.09536708]","[-0.3012095093727112, 0.19575977325439453, 0.09847842901945114, -0.41456323862075806, -0.03358348831534386, 0.15214014053344727, -0.017539450898766518, 0.07050573825836182, 0.5268548130989075, -0.05469011887907982]"
20,0.1484375,"[ 2.0000000e-01  0.0000000e+00  0.0000000e+00  7.3254958e-04
  1.1787431e-03 -1.1821116e-03  4.9346466e-02  1.6024055e-02
 -9.9865329e-01 -3.6679268e-02  1.6076354e-02  8.2833860e-03
 -9.5293045e-02  1.0885498e-01  3.9731026e-02 -2.1798400e-02
 -1.5531311e-02  6.9352150e-02 -1.5266338e-01 -4.3964386e-04
 -4.3964386e-04 -4.3964386e-04  4.3964386e-04  8.9207367e-04
 -4.3964386e-04 -4.3964386e-04  4.3964386e-04 -2.1978379e-03
  2.1592905e-04 -5.1230423e-02  2.2581401e-01  1.0835783e-01
  8.5346542e-02 -1.8350062e-01 -9.7956702e-02 -4.7371332e-02
  6.0534388e-02  2.6785113e-02  9.5257133e-02]","[-0.05122897  0.2258136   0.10839777  0.08553885 -0.18338694 -0.0976951
 -0.04766898  0.06050757  0.0268231   0.09528778]","[-0.3012210428714752, 0.1956290602684021, 0.0985100269317627, -0.4145469665527344, -0.0335591584444046, 0.15222004055976868, -0.017573513090610504, 0.07052939385175705, 0.5268067121505737, -0.05474558472633362]"
30,0.22656249999999997,"[ 2.0000000e-01  0.0000000e+00  0.0000000e+00  4.6944121e-04
 -1.9575788e-03 -1.0140363e-04  4.9327776e-02  1.6018037e-02
 -9.9865413e-01 -3.6297798e-02  1.6076354e-02  8.2833860e-03
 -9.5293045e-02  1.0885498e-01  3.9731026e-02 -2.1798400e-02
 -1.5531311e-02  6.9352150e-02 -1.5266338e-01  4.3964386e-04
 -1.3187409e-03 -4.3964386e-04 -4.3964386e-04  2.2553133e-04
 -2.1978379e-03 -3.0769350e-03  1.3187409e-03 -4.3964386e-04
 -2.1592905e-04 -5.1303796e-02  2.2578746e-01  1.0837467e-01
  8.5474700e-02 -1.8366119e-01 -9.7586289e-02 -4.7705743e-02
  6.0449734e-02  2.6826397e-02  9.5300324e-02]","[-0.05140737  0.22579725  0.1084771   0.08537672 -0.1836043  -0.09768359
 -0.04721101  0.06041731  0.02664698  0.09525402]","[-0.30130353569984436, 0.19572992622852325, 0.09842990338802338, -0.41455018520355225, -0.03342495113611221, 0.15216486155986786, -0.017407715320587158, 0.07055232673883438, 0.526748776435852, -0.05478673055768013]"
40,0.3046875,"[ 2.00000003e-01  0.00000000e+00  0.00000000e+00 -3.53308744e-03
 -5.25885145e-04 -3.36522167e-03  4.92618531e-02  1.59993526e-02
 -9.98657703e-01 -3.62977982e-02  1.60763543e-02  8.28338601e-03
 -9.52930450e-02  1.08854979e-01  3.97310257e-02 -2.17984002e-02
 -1.55313108e-02  6.93521500e-02 -1.52663380e-01 -4.39643860e-04
 -4.39643860e-04 -1.31874089e-03 -4.39643860e-04 -6.73707982e-04
 -4.39643860e-04 -1.31874089e-03  1.31874089e-03 -1.31874089e-03
 -4.32315370e-04 -5.11849895e-02  2.25512117e-01  1.08499065e-01
  8.53194669e-02 -1.83490798e-01 -9.79956537e-02 -4.75414135e-02
  6.06586784e-02  2.68935189e-02  9.52553079e-02]","[-0.05112395  0.22568274  0.10842065  0.08530042 -0.18368092 -0.09784582
 -0.04768488  0.06037162  0.02692611  0.09526614]","[-0.30119580030441284, 0.19571946561336517, 0.09840748459100723, -0.41468340158462524, -0.033639293164014816, 0.15211980044841766, -0.017486058175563812, 0.07052326947450638, 0.5268727540969849, -0.054735299199819565]"
50,0.3828125,"[ 0.2         0.          0.          0.10361884  0.08665317  0.24530344
  0.05161468  0.00856825 -0.9986303  -0.03934956  0.04888275  0.07084537
 -0.08499241  0.08394416  0.0324831  -0.01722076  0.00506805  0.06591892
 -0.14683864 -0.00131874  0.03648357  0.15340653  0.0320879  -0.05040663
 -0.0101099   0.02505493  0.04879112 -0.00571423  0.00457031 -0.06367309
  0.22532478  0.11665261  0.09892711 -0.1830398  -0.09361301 -0.0464569
  0.06082829  0.03021134  0.09608472]","[-0.06649991  0.22306524  0.11836243  0.10235225 -0.18014252 -0.09264693
 -0.04572744  0.06401203  0.02875619  0.09338862]","[-0.31063613295555115, 0.19573478400707245, 0.10470985621213913, -0.4039211571216583, -0.032743848860263824, 0.15408389270305634, -0.014031041413545609, 0.07100291550159454, 0.5286681652069092, -0.05519946664571762]"
60,0.46093749999999994,"[ 2.00000003e-01  0.00000000e+00  0.00000000e+00  4.85096611e-02
 -5.22956531e-03  6.61307693e-01  5.85012548e-02  3.18273262e-04
 -9.98287201e-01 -5.11751175e-02  8.09271634e-02  1.33407369e-01
 -5.48563004e-02  5.26887774e-02  3.40089798e-02  1.25348289e-02
  5.77118322e-02  6.28671646e-02 -1.48236364e-01 -1.71428677e-02
  2.32967380e-02  7.47261057e-03  1.45055773e-02 -3.69965434e-02
  5.71422605e-03  2.15385444e-02  3.56044769e-02 -5.71422605e-03
  3.27538326e-03 -6.89292625e-02  2.22888544e-01  1.38529375e-01
  1.00235611e-01 -1.79687709e-01 -1.20808154e-01 -2.93691568e-02
  7.91239962e-02  4.02808711e-02  8.75308067e-02]","[-0.06827817  0.22375101  0.1381598   0.09874196 -0.18103233 -0.12300701
 -0.02807433  0.07962159  0.04121801  0.08727571]","[-0.3198871612548828, 0.1933070719242096, 0.12797096371650696, -0.39838191866874695, -0.029906924813985825, 0.13224971294403076, -0.0022607664577662945, 0.08884415775537491, 0.5394436120986938, -0.06277123838663101]"
70,0.5390625,"[ 2.0000000e-01  0.0000000e+00  0.0000000e+00  2.8196666e-03
 -9.1285206e-02  3.5063285e-01  5.1332857e-02 -4.6994304e-03
 -9.9867058e-01 -5.7278633e-02  1.0038212e-01  1.5400673e-01
 -4.0360451e-02  2.5593549e-02  3.7442207e-02  3.2371253e-02
  7.4115030e-02  6.1722755e-02 -1.4120612e-01 -3.9560320e-03
  2.0659257e-02  2.1538544e-02  9.2308046e-03 -2.4678824e-02
 -3.9560320e-03  2.0659257e-02  2.9450608e-02 -4.3964386e-04
  4.4200239e-03 -6.3742287e-02  2.2417961e-01  1.3147722e-01
  8.8643149e-02 -1.9475015e-01 -1.2839945e-01 -3.2168481e-02
  7.4833371e-02  4.3698259e-02  9.3717225e-02]","[-0.06334373  0.22430533  0.12988986  0.08993366 -0.1964281  -0.12480358
 -0.03473387  0.07393686  0.0419411   0.09439648]","[-0.3138723075389862, 0.19428937137126923, 0.12231824547052383, -0.4106985926628113, -0.043497342616319656, 0.12160272896289825, -0.0013782393652945757, 0.08516581356525421, 0.5440389513969421, -0.056714218109846115]"
80,0.6171875,"[ 0.2         0.          0.         -0.02758547 -0.02529881  0.07417481
  0.04567579 -0.00529877 -0.99894226 -0.06338215  0.11754826  0.16888501
 -0.02853394 -0.00221367  0.03782368  0.0506818   0.09433388  0.06057835
 -0.12744632 -0.00483513  0.0101099  -0.00307693  0.01626377 -0.02444315
  0.00307693  0.01538467  0.00747261 -0.0118681   0.02205557 -0.06470204
  0.21609639  0.12514268  0.09632611 -0.19751309 -0.11115259 -0.04430838
  0.07456484  0.03491694  0.09480133]","[-0.06462219  0.21552329  0.12460224  0.09729062 -0.19699696 -0.10947017
 -0.04591601  0.07410771  0.03434392  0.09500323]","[-0.314333975315094, 0.18710070848464966, 0.11571046710014343, -0.40422019362449646, -0.04715766757726669, 0.13720957934856415, -0.013183828443288803, 0.08461403101682663, 0.5358424186706543, -0.05536641180515289]"
90,0.6953125,"[ 2.00000003e-01  0.00000000e+00  0.00000000e+00 -5.05449101e-02
  5.50654717e-02 -2.64094677e-02  4.68782745e-02 -6.68964116e-04
 -9.98900294e-01 -6.87227249e-02  1.24797136e-01  1.68503538e-01
 -1.21307373e-02 -2.36101598e-02  4.20198441e-02  5.56409061e-02
  9.54782888e-02  4.07419205e-02 -1.03326261e-01 -1.01099014e-02
  4.83512878e-03  4.39643860e-04  2.06592567e-02 -1.63585059e-02
  2.19783792e-03  2.19783792e-03 -1.31874089e-03 -2.50549316e-02
  2.67104842e-02 -6.62098601e-02  2.09610999e-01  1.22845426e-01
  1.07314184e-01 -1.95815980e-01 -9.73748416e-02 -5.51752038e-02
  7.28798658e-02  2.89311484e-02  9.61806476e-02]","[-0.06664271  0.20904349  0.12370525  0.10864043 -0.19609362 -0.0963098
 -0.05677405  0.07312008  0.02884603  0.09662001]","[-0.31610673666000366, 0.17973822355270386, 0.11326069384813309, -0.39358943700790405, -0.045908890664577484, 0.1522447168827057, -0.02506539225578308, 0.08266126364469528, 0.5292102694511414, -0.05386267602443695]"
