step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00  9.3460083e-03 -7.4386597e-03
  2.1982193e-04 -2.1982193e-04  0.0000000e+00  0.0000000e+00]",[-0.6778919  -0.31638277],[-0.6778919  -0.31638277],[-0.16947298 -0.07909569]
1,0.015625,"[ 9.8017141e-02  9.9518472e-01  9.3460083e-03 -7.4386597e-03
 -2.1982193e-04  2.1982193e-04 -6.7789191e-01 -3.1638277e-01]",[-0.74154013  0.13372155],[-0.74154013  0.13372155],[-0.18538503  0.03343039]
2,0.03125,"[ 1.9509032e-01  9.8078525e-01  9.3460083e-03 -7.4386597e-03
 -1.0989190e-03 -2.1982193e-04 -7.4154013e-01  1.3372155e-01]",[-0.58734745  0.55142075],[-0.58734745  0.55142075],[-0.14683686  0.13785519]
3,0.046875,"[ 2.9028466e-01  9.5694035e-01  9.3460083e-03 -7.4386597e-03
 -6.5937045e-04 -6.5937045e-04 -5.8734745e-01  5.5142075e-01]",[-0.37729847  0.825301  ],[-0.37729847  0.825301  ],[-0.09432462  0.20632525]
4,0.0625,"[ 3.8268343e-01  9.2387950e-01  9.3460083e-03 -7.4386597e-03
 -6.5937045e-04 -6.5937045e-04 -3.7729847e-01  8.2530099e-01]",[-0.24651457  0.87697554],[-0.24651457  0.87697554],[-0.06162864  0.21924388]
5,0.078125,"[ 4.7139674e-01  8.8192129e-01  9.3460083e-03 -7.4386597e-03
 -6.5937045e-04 -2.1982193e-04 -2.4651457e-01  8.7697554e-01]",[-0.09913335  0.9458525 ],[-0.09913335  0.9458525 ],[-0.02478334  0.23646313]
6,0.09375,"[ 0.55557024  0.8314696   0.00934601 -0.00743866 -0.00109892 -0.00153847
 -0.09913335  0.9458525 ]",[0.08840668 0.66056913],[0.08840668 0.66056913],[0.02210167 0.16514228]
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01  9.3460083e-03 -7.4386597e-03
 -6.5937045e-04  2.1982193e-04  8.8406682e-02  6.6056913e-01]",[0.04634693 0.8007406 ],[0.04634693 0.8007406 ],[0.01158673 0.20018515]
8,0.125,"[ 7.0710677e-01  7.0710677e-01  9.3460083e-03 -7.4386597e-03
 -6.5937045e-04 -6.5937045e-04  4.6346933e-02  8.0074060e-01]",[-0.02919599  0.8566509 ],[-0.02919599  0.8566509 ],[-0.007299    0.21416272]
9,0.140625,"[ 7.7301043e-01  6.3439327e-01  9.3460083e-03 -7.4386597e-03
 -2.1982193e-04 -6.5937045e-04 -2.9195994e-02  8.5665089e-01]",[0.04423302 0.8795666 ],[0.04423302 0.8795666 ],[0.01105826 0.21989165]
10,0.15625,"[ 8.3146960e-01  5.5557024e-01  9.3460083e-03 -7.4386597e-03
  6.5937045e-04 -2.1982193e-04  4.4233024e-02  8.7956661e-01]",[-0.00686696  1.0019213 ],[-0.00686696  1.0019213 ],[-0.00171674  0.25048032]
11,0.171875,"[ 8.8192129e-01  4.7139674e-01  9.3460083e-03 -7.4386597e-03
  6.5937045e-04 -2.1982193e-04 -6.8669617e-03  1.0019213e+00]",[0.1541138 1.0794551],[0.1541138 1.0794551],[0.03852845 0.26986378]
12,0.1875,"[ 9.2387950e-01  3.8268343e-01  9.3460083e-03 -7.4386597e-03
  2.1982193e-04 -2.1982193e-04  1.5411380e-01  1.0794551e+00]",[-0.1347168  0.9695848],[-0.1347168  0.9695848],[-0.0336792  0.2423962]
13,0.203125,"[ 9.5694035e-01  2.9028466e-01  9.3460083e-03 -7.4386597e-03
 -6.5937045e-04  2.1982193e-04 -1.3471679e-01  9.6958482e-01]",[-0.01327433  0.9496856 ],[-0.01327433  0.9496856 ],[-0.00331858  0.2374214 ]
14,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01  9.3460083e-03 -7.4386597e-03
  2.1982193e-04 -2.1982193e-04 -1.3274327e-02  9.4968557e-01]",[-0.08467281  0.65119076],[-0.08467281  0.65119076],[-0.0211682   0.16279769]
15,0.234375,"[ 9.9518472e-01  9.8017141e-02  9.3460083e-03 -7.4386597e-03
 -2.1982193e-04 -2.1982193e-04 -8.4672809e-02  6.5119076e-01]",[0.3955571 1.0483525],[0.3955571 1.0483525],[0.09888928 0.26208812]
16,0.25,"[ 1.0000000e+00  6.1232343e-17  9.3460083e-03 -7.4386597e-03
 -2.1982193e-04 -2.1982193e-04  3.9555711e-01  1.0483525e+00]",[0.78371406 0.52397734],[0.78371406 0.52397734],[0.19592851 0.13099433]
17,0.265625,"[ 9.9518472e-01 -9.8017141e-02  9.3460083e-03 -7.4386597e-03
  2.1982193e-04  2.1982193e-04  7.8371406e-01  5.2397734e-01]",[0.45326406 0.24503112],[0.45326406 0.24503112],[0.11331601 0.06125778]
18,0.28125,"[ 9.8078525e-01 -1.9509032e-01  9.3460083e-03 -7.4386597e-03
  2.1982193e-04  2.1982193e-04  4.5326406e-01  2.4503112e-01]",[-0.05631986  0.13512874],[-0.05631986  0.13512874],[-0.01407997  0.03378218]
19,0.296875,"[ 9.5694035e-01 -2.9028466e-01  9.3460083e-03 -7.4386597e-03
 -6.5937045e-04 -2.1982193e-04 -5.6319863e-02  1.3512874e-01]",[-0.3199894  0.2968545],[-0.3199894  0.2968545],[-0.07999735  0.07421362]
20,0.3125,"[ 9.2387950e-01 -3.8268343e-01  9.3460083e-03 -7.4386597e-03
 -2.1982193e-04 -2.1982193e-04 -3.1998941e-01  2.9685450e-01]",[-0.1465208  0.0396127],[-0.1465208  0.0396127],[-0.0366302   0.00990318]
21,0.328125,"[ 8.8192129e-01 -4.7139674e-01  9.3460083e-03 -7.4386597e-03
  2.1982193e-04 -6.5937045e-04 -1.4652079e-01  3.9612703e-02]",[-0.02145544  0.0611769 ],[-0.02145544  0.0611769 ],[-0.00536386  0.01529422]
22,0.34375,"[ 8.3146960e-01 -5.5557024e-01  9.3460083e-03 -7.4386597e-03
  2.1982193e-04 -6.5937045e-04 -2.1455437e-02  6.1176896e-02]",[ 0.1656973 -0.5896371],[ 0.1656973 -0.5896371],[ 0.04142433 -0.14740928]
23,0.359375,"[ 7.7301043e-01 -6.3439327e-01  9.3460083e-03 -7.4386597e-03
 -2.1982193e-04 -2.1982193e-04  1.6569731e-01 -5.8963710e-01]",[-0.04630989 -0.27267975],[-0.04630989 -0.27267975],[-0.01157747 -0.06816994]
24,0.375,"[ 0.70710677 -0.70710677  0.00896454 -0.00705719 -0.00197802  0.00109892
 -0.04630989 -0.27267975]",[-0.07578118 -0.5493726 ],[-0.07578118 -0.5493726 ],[-0.0189453  -0.13734315]
25,0.390625,"[ 6.3439327e-01 -7.7301043e-01  8.9645386e-03 -7.0571899e-03
  6.5937045e-04 -6.5937045e-04 -7.5781181e-02 -5.4937261e-01]",[-0.06773892 -0.09810308],[-0.06773892 -0.09810308],[-0.01693473 -0.02452577]
26,0.40625,"[ 5.5557024e-01 -8.3146960e-01  8.9645386e-03 -7.0571899e-03
  6.5937045e-04  2.1982193e-04 -6.7738920e-02 -9.8103076e-02]",[-0.3102387 -0.9121085],[-0.3102387 -0.9121085],[-0.07755967 -0.22802712]
27,0.421875,"[ 0.47139674 -0.8819213   0.00896454 -0.00743866  0.00109892 -0.0046154
 -0.3102387  -0.9121085 ]",[0.30016983 0.30064425],[0.30016983 0.30064425],[0.07504246 0.07516106]
28,0.43750000000000006,"[ 0.38268343 -0.9238795   0.00934601 -0.0082016  -0.00109892 -0.00373631
  0.30016983  0.30064425]",[ 0.19404316 -0.23787908],[ 0.19404316 -0.23787908],[ 0.04851079 -0.05946977]
29,0.45312499999999994,"[ 0.29028466 -0.95694035  0.00934601 -0.00934601  0.00153847 -0.00593405
  0.19404316 -0.23787908]",[0.34447485 0.5629415 ],[0.34447485 0.5629415 ],[0.08611871 0.14073537]
30,0.46875,"[ 1.95090324e-01 -9.80785251e-01  9.34600830e-03 -1.04904175e-02
 -2.19821930e-04 -3.73630528e-03  3.44474852e-01  5.62941492e-01]",[0.432074  0.7280906],[0.432074  0.7280906],[0.1080185  0.18202265]
31,0.484375,"[ 0.09801714 -0.9951847   0.00896454 -0.01125336 -0.00197802 -0.00593405
  0.432074    0.7280906 ]",[0.2525425 0.6901771],[0.2525425 0.6901771],[0.06313562 0.17254427]
32,0.5,"[ 1.2246469e-16 -1.0000000e+00  9.3460083e-03 -1.2016296e-02
  2.8571130e-03  6.5937045e-04  2.5254250e-01  6.9017708e-01]",[-0.08980152  0.82244414],[-0.08980152  0.82244414],[-0.02245038  0.20561104]
33,0.515625,"[-9.8017141e-02 -9.9518472e-01  9.7274780e-03 -1.2016296e-02
  6.5937045e-04 -1.9780160e-03 -8.9801520e-02  8.2244414e-01]",[-0.6132326  1.0131866],[-0.6132326  1.0131866],[-0.15330815  0.25329664]
34,0.53125,"[-1.9509032e-01 -9.8078525e-01  9.7274780e-03 -1.2016296e-02
  2.1982193e-04  4.1758539e-03 -6.1323261e-01  1.0131866e+00]",[-1.1461751  0.8506652],[-1.1461751  0.8506652],[-0.2865438  0.2126663]
35,0.546875,"[-0.29028466 -0.95694035  0.01010895 -0.01049042  0.00241756  0.0054945
 -1.1461751   0.8506652 ]",[-1.7070566   0.87085074],[-1.7070566   0.87085074],[-0.42676416  0.21771269]
