step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00  4.6349525e-02  5.8556557e-02
 -2.1982193e-04  2.1982193e-04  0.0000000e+00  0.0000000e+00]",[ 0.14122942 -0.2181896 ],[ 0.14122942 -0.2181896 ],[ 0.03530736 -0.0545474 ]
1,0.015625,"[ 9.8017141e-02  9.9518472e-01  4.6349525e-02  5.8556557e-02
 -2.1982193e-04 -2.1982193e-04  1.4122942e-01 -2.1818960e-01]",[ 0.04190826 -0.33304536],[ 0.04190826 -0.33304536],[ 0.01047707 -0.08326134]
2,0.03125,"[ 1.9509032e-01  9.8078525e-01  4.6349525e-02  5.8556557e-02
 -2.1982193e-04  2.1982193e-04  4.1908264e-02 -3.3304536e-01]",[-0.08758105 -0.4766549 ],[-0.08758105 -0.4766549 ],[-0.02189526 -0.11916372]
3,0.046875,"[ 2.9028466e-01  9.5694035e-01  4.6349525e-02  5.8556557e-02
 -2.1982193e-04 -6.5937045e-04 -8.7581046e-02 -4.7665489e-01]",[-0.13860835 -0.5937446 ],[-0.13860835 -0.5937446 ],[-0.03465209 -0.14843614]
4,0.0625,"[ 3.8268343e-01  9.2387950e-01  4.6349525e-02  5.8556557e-02
 -6.5937045e-04 -6.5937045e-04 -1.3860835e-01 -5.9374458e-01]",[-0.24086912 -0.6695718 ],[-0.24086912 -0.6695718 ],[-0.06021728 -0.16739295]
5,0.078125,"[ 4.7139674e-01  8.8192129e-01  4.6349525e-02  5.8556557e-02
  2.1982193e-04  2.1982193e-04 -2.4086912e-01 -6.6957182e-01]",[-0.4253263 -0.7697731],[-0.4253263 -0.7697731],[-0.10633157 -0.19244328]
6,0.09375,"[ 5.5557024e-01  8.3146960e-01  4.6349525e-02  5.8556557e-02
 -2.1982193e-04 -6.5937045e-04 -4.2532629e-01 -7.6977313e-01]",[-0.57662296 -0.89432895],[-0.57662296 -0.89432895],[-0.14415574 -0.22358224]
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01  4.6349525e-02  5.8556557e-02
 -2.1982193e-04 -6.5937045e-04 -5.7662296e-01 -8.9432895e-01]",[-0.48051852 -1.0116755 ],[-0.48051852 -1.0116755 ],[-0.12012963 -0.25291887]
8,0.125,"[ 7.0710677e-01  7.0710677e-01  4.6349525e-02  5.8556557e-02
 -2.1982193e-04 -6.5937045e-04 -4.8051852e-01 -1.0116755e+00]",[-0.21175848 -1.1042744 ],[-0.21175848 -1.1042744 ],[-0.05293962 -0.2760686 ]
9,0.140625,"[ 7.7301043e-01  6.3439327e-01  4.6349525e-02  5.8556557e-02
 -2.1982193e-04 -6.5937045e-04 -2.1175848e-01 -1.1042744e+00]",[-0.45874512 -1.1828947 ],[-0.45874512 -1.1828947 ],[-0.11468628 -0.29572368]
10,0.15625,"[ 8.3146960e-01  5.5557024e-01  4.6349525e-02  5.8556557e-02
  2.1982193e-04 -2.1982193e-04 -4.5874512e-01 -1.1828947e+00]",[-0.47520435 -1.3436501 ],[-0.47520435 -1.3436501 ],[-0.11880109 -0.33591253]
11,0.171875,"[ 8.8192129e-01  4.7139674e-01  4.6349525e-02  5.8556557e-02
 -6.5937045e-04  2.1982193e-04 -4.7520435e-01 -1.3436501e+00]",[-0.18613255 -1.4168489 ],[-0.18613255 -1.4168489 ],[-0.04653314 -0.35421222]
12,0.1875,"[ 9.2387950e-01  3.8268343e-01  4.6349525e-02  5.8556557e-02
 -2.1982193e-04 -6.5937045e-04 -1.8613255e-01 -1.4168489e+00]",[ 0.16650507 -1.5214696 ],[ 0.16650507 -1.5214696 ],[ 0.04162627 -0.3803674 ]
13,0.203125,"[ 9.5694035e-01  2.9028466e-01  4.6349525e-02  5.8556557e-02
 -2.1982193e-04 -6.5937045e-04  1.6650507e-01 -1.5214696e+00]",[-0.31653273 -1.7036607 ],[-0.31653273 -1.7036607 ],[-0.07913318 -0.42591518]
14,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01  4.6349525e-02  5.8556557e-02
 -2.1982193e-04 -6.5937045e-04 -3.1653273e-01 -1.7036607e+00]",[-0.51761824 -1.869967  ],[-0.51761824 -1.869967  ],[-0.12940456 -0.46749175]
15,0.234375,"[ 9.9518472e-01  9.8017141e-02  4.6349525e-02  5.8556557e-02
 -2.1982193e-04  2.1982193e-04 -5.1761824e-01 -1.8699670e+00]",[-0.5326995 -1.8179437],[-0.5326995 -1.8179437],[-0.13317488 -0.45448592]
16,0.25,"[ 1.0000000e+00  6.1232343e-17  4.6349525e-02  5.8556557e-02
 -2.1982193e-04 -6.5937045e-04 -5.3269953e-01 -1.8179437e+00]",[-0.43491268 -1.8614695 ],[-0.43491268 -1.8614695 ],[-0.10872817 -0.46536738]
17,0.265625,"[ 9.9518472e-01 -9.8017141e-02  4.6349525e-02  5.8556557e-02
 -2.1982193e-04  2.1982193e-04 -4.3491268e-01 -1.8614695e+00]",[-0.37979788 -1.7994303 ],[-0.37979788 -1.7994303 ],[-0.09494947 -0.44985756]
18,0.28125,"[ 9.8078525e-01 -1.9509032e-01  4.6349525e-02  5.8556557e-02
 -2.1982193e-04 -2.1982193e-04 -3.7979788e-01 -1.7994303e+00]",[-0.4193052 -1.6760473],[-0.4193052 -1.6760473],[-0.1048263  -0.41901183]
