step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0]"
10,"tensor([[0.6494, 0.7604]], device='cuda:0')","[-4.1524872e-05 -1.1946082e-04 -1.4663559e-04 -9.2759743e-02
  1.8223507e-02 -9.9552178e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.1171570e-02 -7.0571899e-03 -1.6345978e-02
 -8.2269073e-02  2.8232962e-02 -1.9073486e-04 -4.3869019e-03
  2.6264191e-02  7.4639678e-02  3.0521780e-02 -2.1982193e-04
 -6.5937045e-04  2.1982193e-04  6.5937045e-04 -6.5937045e-04
 -2.1982193e-04 -1.0989190e-03 -2.1982193e-04  2.1982193e-04
  1.0989190e-03  4.6127546e-01  7.8583695e-03  2.1263118e-01
 -4.3364024e-01  8.9367026e-01  2.0528555e-01  7.4818945e-03
 -1.1539578e-02  1.5193948e+00  1.7823169e+00  6.4944804e-01
  7.6040596e-01]","[ 0.1311623   0.00351837  0.06751665 -0.1335537   0.23070298  0.04630005
  0.00098354 -0.0230549   0.42094606  0.4772412 ]","[0.095611073076725, 0.0010070117423310876, 0.28480473160743713, 0.6775556206703186, 0.5615824460983276, 0.06096433848142624, 0.003657642053440213, -0.2283444106578827, -0.9313367009162903, -0.7508095502853394]"
20,"tensor([[0.9969, 0.0785]], device='cuda:0')","[ 1.75723238e-04 -2.80125358e-04 -2.80125358e-04 -9.28149223e-02
  1.81883145e-02 -9.95517254e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -2.11715698e-02 -7.05718994e-03 -1.63459778e-02
 -8.22690725e-02  2.82329619e-02 -1.90734863e-04 -4.38690186e-03
  2.62641907e-02  7.46396780e-02  3.05217803e-02 -2.19821930e-04
 -2.19821930e-04 -6.59370446e-04  2.19821930e-04 -2.19821930e-04
 -2.19821930e-04  6.59370446e-04 -6.59370446e-04  2.19821930e-04
 -2.19821930e-04  1.20505512e+00 -9.68152434e-02  6.46008849e-01
 -9.91968632e-01  1.07241285e+00  1.19987324e-01  1.03484644e-02
 -5.87370217e-01  2.69612169e+00  2.23306942e+00  9.96917307e-01
  7.84590840e-02]","[ 0.32368085 -0.02896713  0.1718305  -0.25101876  0.2736087   0.02685221
  0.00313894 -0.15626207  0.6912352   0.54889274]","[0.27956926822662354, -0.018947577103972435, 0.40185973048210144, 0.8416920900344849, 0.6142061352729797, 0.03246069326996803, 0.001975719351321459, -0.3860211670398712, -1.2520596981048584, -0.9108940362930298]"
30,"tensor([[ 0.7604, -0.6494]], device='cuda:0')","[ 3.9173564e-04 -5.9703522e-04  5.3932768e-04 -9.2909940e-02
  1.8133027e-02 -9.9550939e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.1171570e-02 -7.0571899e-03 -1.6345978e-02
 -8.2269073e-02  2.8232962e-02 -1.9073486e-04 -4.3869019e-03
  2.6264191e-02  7.4639678e-02  3.0521780e-02 -2.1982193e-04
  2.1982193e-04 -2.1982193e-04  6.5937045e-04 -1.9780160e-03
 -6.5937045e-04 -6.5937045e-04  2.1982193e-04  2.1982193e-04
  6.5937045e-04  2.0171833e+00 -2.7602097e-01  9.9158037e-01
 -8.3076167e-01  1.2573645e+00 -1.9000102e-02  1.5335894e-02
 -8.6201209e-01  2.8761840e+00  1.4200282e+00  7.6040596e-01
 -6.4944804e-01]","[ 0.511927   -0.06983884  0.25260955 -0.19880626  0.31721735 -0.00402046
  0.00136738 -0.21549888  0.69754946  0.3310585 ]","[0.48914435505867004, -0.06558024138212204, 0.49130257964134216, 0.8166914582252502, 0.6614786982536316, -0.0014610800426453352, 0.004845965187996626, -0.46102747321128845, -1.326512336730957, -0.7307117581367493]"
40,"tensor([[ 0.0785, -0.9969]], device='cuda:0')","[-2.3960087e-01  1.4850819e-01 -2.7342698e-02 -6.1680607e-02
  6.1956272e-02 -9.9617124e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  4.2534828e-02 -5.3978920e-02  5.0793648e-02
 -1.9022691e-01  2.2736302e-01  1.9073486e-04 -3.2424927e-03
 -5.2700996e-02  2.2913682e-01  3.2158795e-01  9.2087939e-02
 -1.1098900e-01  1.1494503e-01 -2.2307692e-01  2.9956046e-01
  2.4175644e-03  1.5384675e-03 -1.4087911e-01  2.6615387e-01
  5.5890113e-01 -1.2389488e+00  3.8396144e-01 -6.7130673e-01
  1.9778022e-01 -2.4663424e+00  1.9954360e-01 -3.7016749e-01
  5.6925207e-01 -3.9862245e-03 -1.0946124e+00  7.8459039e-02
 -9.9691731e-01]","[-0.34567845  0.15952885 -0.16605382 -0.06520325 -0.86105776  0.01430934
 -0.10790942  0.17934094  0.00222218 -0.35734984]","[-0.14661474525928497, 0.05029023438692093, 0.19125336408615112, 0.5832438468933105, 0.02110748365521431, 0.061945103108882904, -0.058781515806913376, -0.1910383254289627, -0.7223066091537476, -0.19681842625141144]"
50,"tensor([[-0.6494, -0.7604]], device='cuda:0')","[ 0.7947862  -0.2715846   0.29322526 -0.05821825  0.00474951 -0.99829257
  0.2         0.          0.          0.10547829 -0.01239777  0.17210293
 -0.27148092 -0.16517505  0.07724857 -0.03490543 -0.19804287  0.54347265
 -0.03738078 -0.09340658  0.16373625 -0.09604397  0.11274724 -0.67098904
 -0.00945053 -0.0476923   0.12285719 -0.18879119  0.75010985 -0.6264003
  0.33099338  0.8031573  -2.4518847   1.7094585  -0.3591344   0.46989787
 -1.4636315   0.12224527 -0.12331096 -0.649448   -0.760406  ]","[-0.31817818  0.01357608  0.09638129 -0.61816883  0.5518877  -0.02858158
  0.17477944 -0.34604192 -0.11085947 -0.15009318]","[-0.33923596143722534, 0.10876338928937912, 0.47010156512260437, 1.3520452976226807, 0.685529887676239, -0.18235306441783905, 0.0855538621544838, -0.5268726944923401, -0.7980046272277832, -0.33240512013435364]"
60,"tensor([[-0.9969, -0.0785]], device='cuda:0')","[ 2.50066310e-01  1.83024645e-01 -3.96866277e-02 -1.41892761e-01
 -1.48935556e-01 -9.78613615e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -8.90741348e-02  1.06622696e-01  1.45530701e-02
 -1.93278670e-01  1.92267805e-01 -1.88639641e-01  4.25348282e-02
  1.25066757e-01  1.57801032e-01  4.58183885e-03 -7.67032653e-02
 -6.59370446e-04  8.15384910e-02 -1.21978000e-01 -8.52087915e-01
 -1.22857146e-01  1.20219804e-01 -4.15384285e-02 -3.09889801e-02
  6.08571470e-01 -5.86451709e-01 -6.31002188e-01  1.26649529e-01
 -9.84284699e-01  4.12167728e-01  3.79867649e+00 -2.79564202e-01
  1.40435100e+00  4.22296166e-01 -1.27056098e+00 -9.96917307e-01
 -7.84591138e-02]","[-0.15851285 -0.1407691   0.05698436 -0.19498523 -0.18318957  0.97952914
 -0.19666578  0.48133436  0.12874275 -0.46671575]","[0.01158767007291317, -0.15953977406024933, 0.27962616086006165, 0.979836642742157, 0.5902488827705383, 0.6248641014099121, -0.013208163902163506, -0.08564212173223495, -0.6965614557266235, -0.2661283314228058]"
70,"tensor([[-0.7604,  0.6494]], device='cuda:0')","[-0.80587184 -0.14666733 -0.06436443 -0.07866382  0.00280905 -0.9968972
  0.2         0.          0.         -0.03681278 -0.09250736  0.22741699
 -0.5728468   0.29602852 -0.03490543  0.02498627 -0.108778    0.23905504
 -0.05416545  0.28109893 -0.3778022  -0.05340662 -0.04901094 -0.6107692
  0.24593411 -0.14000002  0.01736259  0.02879124 -0.27670327 -0.09730555
  0.5662738   0.92039156 -2.7707691  -1.6753796  -2.1611292  -0.04066215
  0.8213841   1.5713475   0.03891791 -0.7604061   0.6494479 ]","[-0.02897479  0.20769957  0.21689531 -0.7124329  -0.09376127 -0.57738906
  0.08604199  0.07425186  0.49126324  0.19071166]","[-0.05165284499526024, 0.06728658080101013, 0.3511737883090973, 1.2321312427520752, -0.5443964004516602, -0.45030829310417175, -0.11222384124994278, 0.07163143157958984, -0.8096706867218018, -0.09608495980501175]"
80,"tensor([[-0.0785,  0.9969]], device='cuda:0')","[ 0.73201686 -0.5599378   0.23773256 -0.20240049  0.01386313 -0.9792048
  0.2         0.          0.          0.06008244 -0.02651215  0.04736042
 -0.5060886  -0.2704626  -0.06923771 -0.05626774  0.14070702  0.10477579
 -0.18386707 -0.21384616  0.45560437 -0.02967033 -0.12945051 -0.69648355
 -0.3408791  -0.01868134  0.24505492 -0.01999998 -0.11670332 -0.7398794
  0.4944317   0.53196347 -0.8279871   0.3495808   2.8844905   0.43520927
 -0.5416259  -0.8401763   0.5990308  -0.07845895  0.99691737]","[ 0.03721441 -0.01420632  0.18118657 -0.18212262  0.24434207  0.76354533
  0.10542881 -0.14486146 -0.08138686  0.2476924 ]","[-0.1591884046792984, 0.1397080421447754, 0.3404335379600525, 0.9621436595916748, 0.6254081726074219, 0.39141300320625305, 0.12520954012870789, -0.4648735523223877, -0.49220284819602966, -0.6189755201339722]"
90,"tensor([[0.6494, 0.7604]], device='cuda:0')","[-0.18379258  0.47412285 -0.21114191 -0.2754532  -0.11579274 -0.9543154
  0.2         0.          0.         -0.05893803  0.18444347  0.08588886
 -0.5278324  -0.40970096 -0.3114748  -0.04596806  0.3131342   0.10286844
  0.1564087   0.27406597 -0.01384611  0.08681317  0.17032968 -0.10571428
  0.11978026  0.03626375 -0.1931868  -0.06219778  0.78307694  3.1829236
 -0.73463476  1.7697313  -0.81517994  1.4172877   2.8697882  -0.04328749
  0.9079629   4.163878   -1.0124726   0.64944804  0.76040596]","[ 0.82577515 -0.24676295  0.37856787 -0.15104248  0.20571065  0.6850684
  0.00273225  0.25873998  1.0326533  -0.20796695]","[0.9324438571929932, -0.18305833637714386, 0.7079402208328247, 0.7965788841247559, 0.770283043384552, 0.580030083656311, -0.027542075142264366, -0.059941358864307404, -1.5860329866409302, -0.1438031941652298]"
