step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -8.9645386e-03  9.3460083e-03
  6.5937045e-04  2.1982193e-04  0.0000000e+00  0.0000000e+00]",[-0.428592    0.31787616],[-0.428592    0.31787616],[-0.107148    0.07946904]
1,0.015625,"[ 9.8017141e-02  9.9518472e-01 -8.9645386e-03  9.3460083e-03
 -2.1982193e-04 -2.1982193e-04 -4.2859200e-01  3.1787616e-01]",[-0.26175258  0.2541316 ],[-0.26175258  0.2541316 ],[-0.06543814  0.0635329 ]
2,0.03125,"[ 1.9509032e-01  9.8078525e-01 -8.9645386e-03  9.3460083e-03
 -2.1982193e-04  2.1982193e-04 -2.6175258e-01  2.5413159e-01]",[-0.18136132  0.2359587 ],[-0.18136132  0.2359587 ],[-0.04534033  0.05898967]
3,0.046875,"[ 2.9028466e-01  9.5694035e-01 -8.9645386e-03  9.3460083e-03
 -2.1982193e-04 -1.0989190e-03 -1.8136132e-01  2.3595870e-01]",[-0.09994785  0.2131226 ],[-0.09994785  0.2131226 ],[-0.02498696  0.05328065]
4,0.0625,"[ 3.8268343e-01  9.2387950e-01 -8.9645386e-03  9.3460083e-03
 -2.1982193e-04 -2.1982193e-04 -9.9947855e-02  2.1312261e-01]",[-0.04475951  0.22314608],[-0.04475951  0.22314608],[-0.01118988  0.05578652]
5,0.078125,"[ 4.7139674e-01  8.8192129e-01 -8.9645386e-03  9.3460083e-03
 -2.1982193e-04 -2.1982193e-04 -4.4759512e-02  2.2314608e-01]",[-0.00598644  0.23755565],[-0.00598644  0.23755565],[-0.00149661  0.05938891]
6,0.09375,"[ 5.5557024e-01  8.3146960e-01 -8.9645386e-03  9.3460083e-03
 -1.5384675e-03 -6.5937045e-04 -5.9864372e-03  2.3755565e-01]",[-0.00228681  0.27967972],[-0.00228681  0.27967972],[-0.0005717   0.06991993]
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01 -8.9645386e-03  9.3460083e-03
 -2.1982193e-04 -6.5937045e-04 -2.2868067e-03  2.7967972e-01]",[0.0658145 0.3031872],[0.0658145 0.3031872],[0.01645363 0.0757968 ]
8,0.125,"[ 7.0710677e-01  7.0710677e-01 -8.9645386e-03  9.3460083e-03
 -6.5937045e-04 -2.1982193e-04  6.5814503e-02  3.0318719e-01]",[0.08135351 0.3206531 ],[0.08135351 0.3206531 ],[0.02033838 0.08016328]
9,0.140625,"[ 7.7301043e-01  6.3439327e-01 -8.9645386e-03  9.3460083e-03
 -6.5937045e-04 -6.5937045e-04  8.1353508e-02  3.2065311e-01]",[0.05678352 0.3674476 ],[0.05678352 0.3674476 ],[0.01419588 0.0918619 ]
10,0.15625,"[ 8.3146960e-01  5.5557024e-01 -8.9645386e-03  9.3460083e-03
 -1.0989190e-03  2.1982193e-04  5.6783520e-02  3.6744761e-01]",[0.05388626 0.38934276],[0.05388626 0.38934276],[0.01347156 0.09733569]
11,0.171875,"[ 8.8192129e-01  4.7139674e-01 -8.9645386e-03  9.3460083e-03
  2.1982193e-04  2.1982193e-04  5.3886257e-02  3.8934276e-01]",[0.02235433 0.43241888],[0.02235433 0.43241888],[0.00558858 0.10810472]
12,0.1875,"[ 9.2387950e-01  3.8268343e-01 -8.9645386e-03  9.3460083e-03
 -6.5937045e-04  6.5937045e-04  2.2354327e-02  4.3241888e-01]",[-0.02337172  0.47412032],[-0.02337172  0.47412032],[-0.00584293  0.11853008]
13,0.203125,"[ 9.5694035e-01  2.9028466e-01 -8.9645386e-03  9.3460083e-03
  2.1982193e-04 -6.5937045e-04 -2.3371719e-02  4.7412032e-01]",[-0.03424031  0.49246237],[-0.03424031  0.49246237],[-0.00856008  0.12311559]
14,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01 -8.9645386e-03  9.3460083e-03
  2.1982193e-04  2.1982193e-04 -3.4240305e-02  4.9246237e-01]",[-0.04536863  0.50728154],[-0.04536863  0.50728154],[-0.01134216  0.12682039]
15,0.234375,"[ 9.9518472e-01  9.8017141e-02 -8.9645386e-03  9.3460083e-03
 -2.1982193e-04 -2.1982193e-04 -4.5368627e-02  5.0728154e-01]",[-0.08274926  0.46556172],[-0.08274926  0.46556172],[-0.02068732  0.11639043]
16,0.25,"[ 1.0000000e+00  6.1232343e-17 -8.9645386e-03  9.3460083e-03
  2.1982193e-04 -1.0989190e-03 -8.2749262e-02  4.6556172e-01]",[-0.14236745  0.4797947 ],[-0.14236745  0.4797947 ],[-0.03559186  0.11994868]
17,0.265625,"[ 9.9518472e-01 -9.8017141e-02 -8.9645386e-03  9.3460083e-03
  6.5937045e-04  2.1982193e-04 -1.4236745e-01  4.7979471e-01]",[-0.18066946  0.46159872],[-0.18066946  0.46159872],[-0.04516736  0.11539968]
18,0.28125,"[ 9.8078525e-01 -1.9509032e-01 -8.9645386e-03  9.3460083e-03
 -2.1982193e-04 -6.5937045e-04 -1.8066946e-01  4.6159872e-01]",[-0.24115252  0.44756863],[-0.24115252  0.44756863],[-0.06028813  0.11189216]
19,0.296875,"[ 9.5694035e-01 -2.9028466e-01 -8.9645386e-03  9.3460083e-03
 -6.5937045e-04 -2.1982193e-04 -2.4115252e-01  4.4756863e-01]",[-0.2623144   0.41674063],[-0.2623144   0.41674063],[-0.0655786   0.10418516]
20,0.3125,"[ 9.2387950e-01 -3.8268343e-01 -8.9645386e-03  9.3460083e-03
  2.1982193e-04 -2.1982193e-04 -2.6231441e-01  4.1674063e-01]",[-0.29480177  0.3800058 ],[-0.29480177  0.3800058 ],[-0.07370044  0.09500145]
21,0.328125,"[ 8.8192129e-01 -4.7139674e-01 -8.9645386e-03  9.3460083e-03
 -6.5937045e-04  2.1982193e-04 -2.9480177e-01  3.8000581e-01]",[-0.29024097  0.31168783],[-0.29024097  0.31168783],[-0.07256024  0.07792196]
22,0.34375,"[ 8.3146960e-01 -5.5557024e-01 -8.9645386e-03  9.3460083e-03
 -1.0989190e-03 -6.5937045e-04 -2.9024097e-01  3.1168783e-01]",[-0.3395801   0.26385322],[-0.3395801   0.26385322],[-0.08489502  0.06596331]
23,0.359375,"[ 7.7301043e-01 -6.3439327e-01 -8.9645386e-03  9.3460083e-03
 -1.5384675e-03 -2.1982193e-04 -3.3958009e-01  2.6385322e-01]",[-0.33804265  0.21560815],[-0.33804265  0.21560815],[-0.08451066  0.05390204]
24,0.375,"[ 7.0710677e-01 -7.0710677e-01 -8.9645386e-03  9.3460083e-03
  2.1982193e-04 -6.5937045e-04 -3.3804265e-01  2.1560815e-01]",[-0.3481743   0.16850984],[-0.3481743   0.16850984],[-0.08704358  0.04212746]
25,0.390625,"[ 6.3439327e-01 -7.7301043e-01 -8.9645386e-03  9.3460083e-03
 -2.1982193e-04 -2.1982193e-04 -3.4817430e-01  1.6850984e-01]",[-0.34111473  0.1433701 ],[-0.34111473  0.1433701 ],[-0.08527868  0.03584253]
26,0.40625,"[ 0.55557024 -0.8314696  -0.01125336  0.0120163  -0.02219782  0.03010988
 -0.34111473  0.1433701 ]",[-0.30198437  0.08252791],[-0.30198437  0.08252791],[-0.07549609  0.02063198]
27,0.421875,"[ 0.47139674 -0.8819213  -0.0169754   0.0169754  -0.04505491  0.02263737
 -0.30198437  0.08252791]",[-0.23145658  0.04065474],[-0.23145658  0.04065474],[-0.05786414  0.01016369]
28,0.43750000000000006,"[ 0.38268343 -0.9238795  -0.02613068  0.02384186 -0.04241762  0.04021978
 -0.23145658  0.04065474]",[-0.11913051 -0.02807309],[-0.11913051 -0.02807309],[-0.02978263 -0.00701827]
29,0.45312499999999994,"[ 0.29028466 -0.95694035 -0.03643131  0.02918243 -0.03934069  0.01736259
 -0.11913051 -0.02807309]",[ 0.08484755 -0.08445432],[ 0.08484755 -0.08445432],[ 0.02121189 -0.02111358]
30,0.46875,"[ 0.19509032 -0.98078525 -0.04749393  0.03223515 -0.05604391  0.01384611
  0.08484755 -0.08445432]",[ 0.03877871 -0.07508812],[ 0.03877871 -0.07508812],[ 0.00969468 -0.01877203]
31,0.484375,"[ 0.09801714 -0.9951847  -0.05741215  0.03452396 -0.05384617  0.00813189
  0.03877871 -0.07508812]",[-0.0051605  -0.08769106],[-0.0051605  -0.08769106],[-0.00129013 -0.02192277]
32,0.5,"[ 1.2246469e-16 -1.0000000e+00 -6.4278603e-02  3.4142494e-02
 -2.4395561e-02 -7.6923370e-03 -5.1605031e-03 -8.7691061e-02]",[-0.04364581 -0.09510206],[-0.04364581 -0.09510206],[-0.01091145 -0.02377552]
33,0.515625,"[-0.09801714 -0.9951847  -0.0680933   0.03299809 -0.00681314 -0.0063736
 -0.04364581 -0.09510206]",[-0.12067642 -0.08378134],[-0.12067642 -0.08378134],[-0.03016911 -0.02094533]
34,0.53125,"[-0.19509032 -0.98078525 -0.06542301  0.03108978  0.02527475 -0.01208792
 -0.12067642 -0.08378134]",[-0.21748176 -0.07287464],[-0.21748176 -0.07287464],[-0.05437044 -0.01821866]
35,0.546875,"[-0.29028466 -0.95694035 -0.06046391  0.02803802  0.0274725  -0.01868134
 -0.21748176 -0.07287464]",[-0.29666045 -0.07494391],[-0.29666045 -0.07494391],[-0.07416511 -0.01873598]
36,0.5625,"[-0.38268343 -0.9238795  -0.05245304  0.02422333  0.04153843 -0.02175827
 -0.29666045 -0.07494391]",[-0.33542386 -0.07147307],[-0.33542386 -0.07147307],[-0.08385596 -0.01786827]
