step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -2.5367737e-02  2.4604797e-02
 -6.5937045e-04 -2.1982193e-04  0.0000000e+00  0.0000000e+00]",[-1.1089879  1.1710695],[-1.1089879  1.1710695],[-0.27724698  0.29276738]
1,0.0078125,"[ 4.9067676e-02  9.9879545e-01 -2.5367737e-02  2.4604797e-02
 -6.5937045e-04  2.1982193e-04 -1.1089879e+00  1.1710695e+00]",[-0.650806   1.2199206],[-0.650806   1.2199206],[-0.1627015   0.30498016]
2,0.015625,"[ 9.8017141e-02  9.9518472e-01 -2.5367737e-02  2.4604797e-02
  2.1982193e-04 -2.1982193e-04 -6.5080601e-01  1.2199206e+00]",[-0.4496915  1.3824006],[-0.4496915  1.3824006],[-0.11242288  0.34560016]
3,0.0234375,"[ 1.4673047e-01  9.8917651e-01 -2.5367737e-02  2.4604797e-02
 -2.1982193e-04 -6.5937045e-04 -4.4969150e-01  1.3824006e+00]",[-0.2488923  1.5598873],[-0.2488923  1.5598873],[-0.06222308  0.38997182]
4,0.03125,"[ 1.9509032e-01  9.8078525e-01 -2.5367737e-02  2.4604797e-02
 -2.1982193e-04 -6.5937045e-04 -2.4889231e-01  1.5598873e+00]",[-0.18312895  1.7145497 ],[-0.18312895  1.7145497 ],[-0.04578224  0.42863742]
5,0.0390625,"[ 2.4298018e-01  9.7003126e-01 -2.5367737e-02  2.4604797e-02
 -2.1982193e-04  2.1982193e-04 -1.8312895e-01  1.7145497e+00]",[-0.21759549  2.0031803 ],[-0.21759549  2.0031803 ],[-0.05439887  0.50079507]
6,0.046875,"[ 2.9028466e-01  9.5694035e-01 -2.5367737e-02  2.4604797e-02
  2.1982193e-04 -6.5937045e-04 -2.1759549e-01  2.0031803e+00]",[-0.12921546  1.9563102 ],[-0.12921546  1.9563102 ],[-0.03230387  0.48907754]
7,0.05468750000000001,"[ 3.3688986e-01  9.4154406e-01 -2.5367737e-02  2.4604797e-02
  2.1982193e-04  2.1982193e-04 -1.2921546e-01  1.9563102e+00]",[0.02434447 1.9708142 ],[0.02434447 1.9708142 ],[0.00608612 0.49270356]
8,0.0625,"[ 3.8268343e-01  9.2387950e-01 -2.5367737e-02  2.4604797e-02
 -2.1982193e-04 -6.5937045e-04  2.4344467e-02  1.9708142e+00]",[0.02818815 1.8884423 ],[0.02818815 1.8884423 ],[0.00704704 0.47211057]
9,0.0703125,"[ 4.2755508e-01  9.0398932e-01 -2.5367737e-02  2.4604797e-02
 -6.5937045e-04 -1.0989190e-03  2.8188147e-02  1.8884423e+00]",[-0.03628431  1.9164562 ],[-0.03628431  1.9164562 ],[-0.00907108  0.47911406]
10,0.078125,"[ 4.7139674e-01  8.8192129e-01 -2.5367737e-02  2.4604797e-02
 -6.5937045e-04 -6.5937045e-04 -3.6284309e-02  1.9164562e+00]",[0.06158667 1.8690964 ],[0.06158667 1.8690964 ],[0.01539667 0.4672741 ]
11,0.0859375,"[ 5.1410276e-01  8.5772860e-01 -2.5367737e-02  2.4604797e-02
 -6.5937045e-04  2.1982193e-04  6.1586671e-02  1.8690964e+00]",[0.10295702 1.6548316 ],[0.10295702 1.6548316 ],[0.02573925 0.4137079 ]
12,0.09375,"[ 5.5557024e-01  8.3146960e-01 -2.5367737e-02  2.4604797e-02
 -6.5937045e-04 -2.1982193e-04  1.0295702e-01  1.6548316e+00]",[0.07592774 1.2358534 ],[0.07592774 1.2358534 ],[0.01898194 0.30896336]
13,0.1015625,"[ 5.9569931e-01  8.0320752e-01 -2.5367737e-02  2.4604797e-02
 -2.1982193e-04 -2.1982193e-04  7.5927742e-02  1.2358534e+00]",[0.14973941 0.9427159 ],[0.14973941 0.9427159 ],[0.03743485 0.23567897]
14,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01 -2.5367737e-02  2.4604797e-02
 -2.1982193e-04  2.1982193e-04  1.4973941e-01  9.4271588e-01]",[-0.27381557  0.65875745],[-0.27381557  0.65875745],[-0.06845389  0.16468936]
15,0.1171875,"[ 6.7155898e-01  7.4095112e-01 -2.5367737e-02  2.4604797e-02
 -2.1982193e-04 -6.5937045e-04 -2.7381557e-01  6.5875745e-01]",[-0.22688878  0.6747962 ],[-0.22688878  0.6747962 ],[-0.05672219  0.16869906]
16,0.125,"[ 7.0710677e-01  7.0710677e-01 -2.5367737e-02  2.4604797e-02
 -2.1982193e-04 -2.1982193e-04 -2.2688878e-01  6.7479622e-01]",[-0.22942936  0.72345716],[-0.22942936  0.72345716],[-0.05735734  0.18086429]
