step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -8.9645386e-03 -6.5937045e-04
  0.0000000e+00]",-0.11205125,-0.11205125,-0.028012812
1,0.015625,"[ 9.8017141e-02  9.9518472e-01 -8.9645386e-03  2.1982193e-04
 -1.1205125e-01]",0.30994156,0.30994156,0.07748539
2,0.03125,"[ 1.9509032e-01  9.8078525e-01 -8.9645386e-03 -2.1982193e-04
  3.0994156e-01]",0.52851516,0.52851516,0.13212879
3,0.046875,"[ 2.9028466e-01  9.5694035e-01 -8.9645386e-03 -6.5937045e-04
  5.2851516e-01]",0.7116049,0.7116049,0.17790122
4,0.0625,[ 0.38268343  0.9238795  -0.00896454 -0.00109892  0.7116049 ],0.7719414,0.7719414,0.19298536
5,0.078125,"[ 4.7139674e-01  8.8192129e-01 -8.9645386e-03  2.1982193e-04
  7.7194142e-01]",0.8861579,0.8861579,0.22153947
6,0.09375,"[ 5.5557024e-01  8.3146960e-01 -8.9645386e-03 -2.1982193e-04
  8.8615787e-01]",0.8668854,0.8668854,0.21672136
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01 -8.9645386e-03  6.5937045e-04
  8.6688542e-01]",1.1720402,1.1720402,0.29301006
8,0.125,"[ 7.0710677e-01  7.0710677e-01 -8.9645386e-03 -6.5937045e-04
  1.1720402e+00]",1.2692649,1.2692649,0.31731623
9,0.140625,"[ 7.7301043e-01  6.3439327e-01 -8.9645386e-03 -2.1982193e-04
  1.2692649e+00]",1.5386744,1.5386744,0.3846686
10,0.15625,"[ 8.3146960e-01  5.5557024e-01 -8.9645386e-03 -6.5937045e-04
  1.5386744e+00]",1.9447395,1.9447395,0.48618487
11,0.171875,[ 0.8819213   0.47139674 -0.00896454 -0.00197802  1.9447395 ],2.3955932,2.3955932,0.5988983
12,0.1875,"[ 9.2387950e-01  3.8268343e-01 -8.9645386e-03  6.5937045e-04
  2.3955932e+00]",2.9839866,2.9839866,0.74599665
13,0.203125,"[ 9.5694035e-01  2.9028466e-01 -8.9645386e-03  2.1982193e-04
  2.9839866e+00]",3.776078,3.776078,0.9440195
14,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01 -8.9645386e-03 -2.1982193e-04
  3.7760780e+00]",4.6665044,4.6665044,1.1666261
15,0.234375,"[ 9.9518472e-01  9.8017141e-02 -8.9645386e-03 -2.1982193e-04
  4.6665044e+00]",4.1787534,4.1787534,1.0446883
16,0.25,"[ 1.0000000e+00  6.1232343e-17 -8.9645386e-03 -2.1982193e-04
  4.1787534e+00]",3.7949593,3.7949593,0.9487398
17,0.265625,"[ 9.9518472e-01 -9.8017141e-02 -8.9645386e-03 -2.1982193e-04
  3.7949593e+00]",2.9986727,2.9986727,0.7496682
18,0.28125,"[ 9.8078525e-01 -1.9509032e-01 -8.9645386e-03 -6.5937045e-04
  2.9986727e+00]",2.5070121,2.5070121,0.62675303
19,0.296875,"[ 9.5694035e-01 -2.9028466e-01 -8.9645386e-03 -2.1982193e-04
  2.5070121e+00]",1.9776275,1.9776275,0.49440688
20,0.3125,"[ 9.2387950e-01 -3.8268343e-01 -8.9645386e-03 -2.1982193e-04
  1.9776275e+00]",1.4625576,1.4625576,0.3656394
21,0.328125,"[ 8.8192129e-01 -4.7139674e-01 -8.9645386e-03 -2.1982193e-04
  1.4625576e+00]",1.1269289,1.1269289,0.28173223
22,0.34375,"[ 8.3146960e-01 -5.5557024e-01 -8.9645386e-03  2.1982193e-04
  1.1269289e+00]",0.76890516,0.76890516,0.19222629
23,0.359375,[ 0.77301043 -0.6343933  -0.01163483 -0.02307692  0.76890516],0.6052601,0.6052601,0.15131502
24,0.375,[ 0.70710677 -0.70710677 -0.01888275 -0.02967033  0.6052601 ],0.3051037,0.3051037,0.07627592
25,0.390625,[ 0.6343933  -0.77301043 -0.02613068 -0.03142853  0.3051037 ],-0.071714066,-0.071714066,-0.017928516
26,0.40625,[ 0.55557024 -0.8314696  -0.03414249 -0.03538465 -0.07171407],-0.36625215,-0.36625215,-0.09156304
27,0.421875,[ 0.47139674 -0.8819213  -0.04253483 -0.03054943 -0.36625215],-0.79541504,-0.79541504,-0.19885376
28,0.43750000000000006,[ 0.38268343 -0.9238795  -0.05321598 -0.04417581 -0.79541504],-1.316154,-1.316154,-0.3290385
29,0.45312499999999994,[ 0.29028466 -0.95694035 -0.06275272 -0.03230772 -1.316154  ],-1.4981645,-1.4981645,-0.37454113
30,0.46875,[ 0.19509032 -0.98078525 -0.07152653 -0.03714285 -1.4981645 ],-1.255378,-1.255378,-0.3138445
31,0.484375,[ 0.09801714 -0.9951847  -0.07877445 -0.0257143  -1.255378  ],-0.95634264,-0.95634264,-0.23908566
32,0.5,"[ 1.2246469e-16 -1.0000000e+00 -8.2970619e-02 -8.5714338e-03
 -9.5634264e-01]",-0.85292715,-0.85292715,-0.21323179
33,0.515625,[-0.09801714 -0.9951847  -0.08335209  0.00373631 -0.85292715],-0.9200954,-0.9200954,-0.23002385
34,0.53125,[-0.19509032 -0.98078525 -0.08030033  0.01956043 -0.9200954 ],-0.9671326,-0.9671326,-0.24178316
35,0.546875,[-0.29028466 -0.95694035 -0.07457829  0.02923079 -0.9671326 ],-1.075566,-1.075566,-0.2688915
36,0.5625,[-0.38268343 -0.9238795  -0.06618595  0.02967033 -1.075566  ],-1.1639183,-1.1639183,-0.29097956
37,0.578125,[-0.47139674 -0.8819213  -0.05817509  0.03714285 -1.1639183 ],-1.290382,-1.290382,-0.3225955
38,0.59375,[-0.55557024 -0.8314696  -0.04863834  0.04329672 -1.290382  ],-1.415396,-1.415396,-0.353849
39,0.609375,[-0.6343933  -0.77301043 -0.0391016   0.03626375 -1.415396  ],-1.5143018,-1.5143018,-0.37857544
40,0.625,[-0.70710677 -0.70710677 -0.02880096  0.04549446 -1.5143018 ],-1.587574,-1.587574,-0.3968935
41,0.640625,[-0.77301043 -0.6343933  -0.01659393  0.04153843 -1.587574  ],-1.6502265,-1.6502265,-0.41255662
42,0.65625,[-0.8314696  -0.55557024 -0.00476837  0.05824175 -1.6502265 ],-1.6854688,-1.6854688,-0.4213672
43,0.671875,[-0.8819213  -0.47139674  0.00858307  0.04945059 -1.6854688 ],-1.6779664,-1.6779664,-0.4194916
