step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -1.8882751e-02 -2.1982193e-04
  0.0000000e+00]",[-2.387275],[-2.387275],[-0.59681875]
1,0.015625,"[ 9.8017141e-02  9.9518472e-01 -1.8882751e-02 -6.5937045e-04
 -2.3872750e+00]",[-2.394879],[-2.394879],[-0.5987198]
2,0.03125,"[ 1.9509032e-01  9.8078525e-01 -1.8882751e-02 -2.1982193e-04
 -2.3948791e+00]",[-1.5991044],[-1.5991044],[-0.3997761]
3,0.046875,"[ 2.9028466e-01  9.5694035e-01 -1.8882751e-02 -2.1982193e-04
 -1.5991044e+00]",[-1.8730874],[-1.8730874],[-0.46827185]
4,0.0625,"[ 3.8268343e-01  9.2387950e-01 -1.8882751e-02  2.1982193e-04
 -1.8730874e+00]",[-1.4168795],[-1.4168795],[-0.35421988]
5,0.078125,"[ 4.7139674e-01  8.8192129e-01 -1.8882751e-02  2.1982193e-04
 -1.4168795e+00]",[-1.4937965],[-1.4937965],[-0.37344912]
6,0.09375,"[ 5.5557024e-01  8.3146960e-01 -1.8882751e-02 -1.0989190e-03
 -1.4937965e+00]",[-1.562287],[-1.562287],[-0.39057174]
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01 -1.8882751e-02 -2.1982193e-04
 -1.5622870e+00]",[-1.4145269],[-1.4145269],[-0.35363173]
8,0.125,"[ 7.0710677e-01  7.0710677e-01 -1.8882751e-02 -2.1982193e-04
 -1.4145269e+00]",[-1.2343538],[-1.2343538],[-0.30858845]
9,0.140625,"[ 7.7301043e-01  6.3439327e-01 -1.8882751e-02 -2.1982193e-04
 -1.2343538e+00]",[-1.4301064],[-1.4301064],[-0.3575266]
10,0.15625,"[ 8.3146960e-01  5.5557024e-01 -1.8882751e-02 -2.1982193e-04
 -1.4301064e+00]",[-1.1850584],[-1.1850584],[-0.2962646]
11,0.171875,"[ 8.8192129e-01  4.7139674e-01 -1.8882751e-02  6.5937045e-04
 -1.1850584e+00]",[-1.3109596],[-1.3109596],[-0.3277399]
12,0.1875,"[ 9.2387950e-01  3.8268343e-01 -1.8882751e-02 -2.1982193e-04
 -1.3109596e+00]",[-1.335275],[-1.335275],[-0.33381876]
13,0.203125,"[ 9.5694035e-01  2.9028466e-01 -1.8882751e-02 -1.0989190e-03
 -1.3352751e+00]",[-1.8128228],[-1.8128228],[-0.4532057]
14,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01 -1.8882751e-02  2.1982193e-04
 -1.8128228e+00]",[-3.5810864],[-3.5810864],[-0.8952716]
15,0.234375,"[ 9.9518472e-01  9.8017141e-02 -1.8882751e-02 -6.5937045e-04
 -3.5810864e+00]",[-3.503176],[-3.503176],[-0.875794]
16,0.25,"[ 1.0000000e+00  6.1232343e-17 -1.8882751e-02  2.1982193e-04
 -3.5031760e+00]",[-3.46368],[-3.46368],[-0.86592]
17,0.265625,"[ 9.9518472e-01 -9.8017141e-02 -1.8882751e-02  2.1982193e-04
 -3.4636800e+00]",[-3.3692257],[-3.3692257],[-0.84230644]
18,0.28125,"[ 9.8078525e-01 -1.9509032e-01 -1.8882751e-02 -1.0989190e-03
 -3.3692257e+00]",[-3.3966632],[-3.3966632],[-0.8491658]
19,0.296875,"[ 9.5694035e-01 -2.9028466e-01 -1.8882751e-02 -2.1982193e-04
 -3.3966632e+00]",[-3.2287726],[-3.2287726],[-0.80719316]
20,0.3125,"[ 9.2387950e-01 -3.8268343e-01 -1.8882751e-02 -6.5937045e-04
 -3.2287726e+00]",[-3.0071247],[-3.0071247],[-0.75178117]
21,0.328125,"[ 8.8192129e-01 -4.7139674e-01 -1.8882751e-02 -2.1982193e-04
 -3.0071247e+00]",[-2.7967877],[-2.7967877],[-0.69919693]
22,0.34375,"[ 8.3146960e-01 -5.5557024e-01 -1.8882751e-02 -2.1982193e-04
 -2.7967877e+00]",[-2.0781152],[-2.0781152],[-0.5195288]
