step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00  4.0054321e-03  4.0054321e-03
  5.9127808e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -2.1982193e-04 -6.5937045e-04  2.1982193e-04  2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04
  2.1982193e-04 -2.1982193e-04  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00]","[ 0.24977458 -0.0486806   0.9146845  -0.57971984  0.64276904 -0.3847498
  0.12225121 -0.4346639   0.50262785  0.16383979]","[ 0.24977458 -0.0486806   0.9146845  -0.57971984  0.64276904 -0.3847498
  0.12225121 -0.4346639   0.50262785  0.16383979]","[ 0.06244364 -0.01217015  0.22867112 -0.14492996  0.16069226 -0.09618745
  0.0305628  -0.10866597  0.12565696  0.04095995]"
1,0.015625,"[ 9.8017141e-02  9.9518472e-01  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
  2.1982193e-04 -6.5937045e-04 -2.1982193e-04  6.5937045e-04
 -2.1982193e-04  2.1982193e-04 -2.1982193e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04  2.4977458e-01 -4.8680596e-02
  9.1468447e-01 -5.7971984e-01  6.4276904e-01 -3.8474980e-01
  1.2225121e-01 -4.3466389e-01  5.0262785e-01  1.6383979e-01]","[ 0.24570307 -0.11571971  0.9498083  -0.5374828   0.5263607  -0.41778767
  0.16826941 -0.5328813   0.4538891   0.15289332]","[ 0.24570307 -0.11571971  0.9498083  -0.5374828   0.5263607  -0.41778767
  0.16826941 -0.5328813   0.4538891   0.15289332]","[ 0.06142577 -0.02892993  0.23745207 -0.1343707   0.13159017 -0.10444692
  0.04206735 -0.13322033  0.11347228  0.03822333]"
2,0.03125,"[ 1.9509032e-01  9.8078525e-01  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
  2.1982193e-04 -2.1982193e-04 -6.5937045e-04  1.5384675e-03
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -6.5937045e-04
  2.1982193e-04  2.1982193e-04  2.4570307e-01 -1.1571971e-01
  9.4980830e-01 -5.3748280e-01  5.2636069e-01 -4.1778767e-01
  1.6826941e-01 -5.3288132e-01  4.5388910e-01  1.5289332e-01]","[ 0.2577188  -0.14718366  1.0172466  -0.4864823   0.49055672 -0.449206
  0.17605875 -0.48022527  0.40374905  0.15075074]","[ 0.2577188  -0.14718366  1.0172466  -0.4864823   0.49055672 -0.449206
  0.17605875 -0.48022527  0.40374905  0.15075074]","[ 0.0644297  -0.03679591  0.25431165 -0.12162057  0.12263918 -0.1123015
  0.04401469 -0.12005632  0.10093726  0.03768769]"
3,0.046875,"[ 2.9028466e-01  9.5694035e-01  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
  6.5937045e-04 -1.0989190e-03 -2.1982193e-04 -1.0989190e-03
  2.1982193e-04 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04
  2.1982193e-04 -1.0989190e-03  2.5771880e-01 -1.4718366e-01
  1.0172466e+00 -4.8648229e-01  4.9055672e-01 -4.4920599e-01
  1.7605875e-01 -4.8022527e-01  4.0374905e-01  1.5075074e-01]","[ 0.26737857 -0.17039281  0.9736572  -0.48027632  0.44502473 -0.48830175
  0.16447562 -0.49230647  0.38854712  0.22433674]","[ 0.26737857 -0.17039281  0.9736572  -0.48027632  0.44502473 -0.48830175
  0.16447562 -0.49230647  0.38854712  0.22433674]","[ 0.06684464 -0.0425982   0.2434143  -0.12006908  0.11125618 -0.12207544
  0.0411189  -0.12307662  0.09713678  0.05608419]"
4,0.0625,"[ 3.8268343e-01  9.2387950e-01  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -6.5937045e-04 -2.1982193e-04 -6.5937045e-04 -1.0989190e-03
  2.1982193e-04 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04
  2.1982193e-04 -6.5937045e-04  2.6737857e-01 -1.7039281e-01
  9.7365719e-01 -4.8027632e-01  4.4502473e-01 -4.8830175e-01
  1.6447562e-01 -4.9230647e-01  3.8854712e-01  2.2433674e-01]","[ 0.27338144 -0.21837832  0.92822516 -0.48674032  0.3218683  -0.49803612
  0.18550302 -0.33641776  0.4091614   0.23264596]","[ 0.27338144 -0.21837832  0.92822516 -0.48674032  0.3218683  -0.49803612
  0.18550302 -0.33641776  0.4091614   0.23264596]","[ 0.06834536 -0.05459458  0.23205629 -0.12168508  0.08046708 -0.12450903
  0.04637576 -0.08410444  0.10229035  0.05816149]"
5,0.078125,"[ 4.7139674e-01  8.8192129e-01  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -2.1982193e-04 -6.5937045e-04 -6.5937045e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
 -6.5937045e-04 -1.5384675e-03  2.7338144e-01 -2.1837832e-01
  9.2822516e-01 -4.8674032e-01  3.2186830e-01 -4.9803612e-01
  1.8550302e-01 -3.3641776e-01  4.0916139e-01  2.3264596e-01]","[ 0.283451   -0.24260923  0.9207359  -0.50668263  0.31621808 -0.53137785
  0.18188971 -0.37366065  0.41935644  0.24429804]","[ 0.283451   -0.24260923  0.9207359  -0.50668263  0.31621808 -0.53137785
  0.18188971 -0.37366065  0.41935644  0.24429804]","[ 0.07086275 -0.06065231  0.23018397 -0.12667066  0.07905452 -0.13284446
  0.04547243 -0.09341516  0.10483911  0.06107451]"
6,0.09375,"[ 5.5557024e-01  8.3146960e-01  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
  6.5937045e-04 -1.0989190e-03 -1.5384675e-03 -1.0989190e-03
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -2.1982193e-04  2.8345099e-01 -2.4260923e-01
  9.2073590e-01 -5.0668263e-01  3.1621808e-01 -5.3137785e-01
  1.8188971e-01 -3.7366065e-01  4.1935644e-01  2.4429804e-01]","[ 0.27756217 -0.195458    0.90149087 -0.49325615  0.36974427 -0.56958157
  0.12500882 -0.341391    0.39940402  0.41686094]","[ 0.27756217 -0.195458    0.90149087 -0.49325615  0.36974427 -0.56958157
  0.12500882 -0.341391    0.39940402  0.41686094]","[ 0.06939054 -0.0488645   0.22537272 -0.12331404  0.09243607 -0.14239539
  0.03125221 -0.08534775  0.099851    0.10421523]"
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01  4.0054321e-03  4.0054321e-03
  5.9127808e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04 -6.5937045e-04
  2.1982193e-04 -2.1982193e-04 -6.5937045e-04  2.1982193e-04
 -6.5937045e-04 -1.0989190e-03  2.7756217e-01 -1.9545799e-01
  9.0149087e-01 -4.9325615e-01  3.6974427e-01 -5.6958157e-01
  1.2500882e-01 -3.4139100e-01  3.9940402e-01  4.1686094e-01]","[ 0.28175247 -0.16756606  0.8860644  -0.51297945  0.4114884  -0.5953486
  0.09746909 -0.38735172  0.41211495  0.5193385 ]","[ 0.28175247 -0.16756606  0.8860644  -0.51297945  0.4114884  -0.5953486
  0.09746909 -0.38735172  0.41211495  0.5193385 ]","[ 0.07043812 -0.04189152  0.2215161  -0.12824486  0.1028721  -0.14883715
  0.02436727 -0.09683793  0.10302874  0.12983462]"
8,0.125,"[ 7.0710677e-01  7.0710677e-01  4.0054321e-03  4.0054321e-03
  5.9127808e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04  2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
  2.1982193e-04 -6.5937045e-04  2.8175247e-01 -1.6756606e-01
  8.8606441e-01 -5.1297945e-01  4.1148841e-01 -5.9534860e-01
  9.7469091e-02 -3.8735172e-01  4.1211495e-01  5.1933849e-01]","[ 0.29706728 -0.17578612  0.8507526  -0.50129545  0.4627488  -0.63443303
  0.08318549 -0.30085707  0.4041321   0.52383447]","[ 0.29706728 -0.17578612  0.8507526  -0.50129545  0.4627488  -0.63443303
  0.08318549 -0.30085707  0.4041321   0.52383447]","[ 0.07426682 -0.04394653  0.21268815 -0.12532386  0.1156872  -0.15860826
  0.02079637 -0.07521427  0.10103302  0.13095862]"
9,0.140625,"[ 7.7301043e-01  6.3439327e-01  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
  2.1982193e-04 -6.5937045e-04 -2.1982193e-04  2.1982193e-04
 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
 -1.0989190e-03 -6.5937045e-04  2.9706728e-01 -1.7578612e-01
  8.5075259e-01 -5.0129545e-01  4.6274880e-01 -6.3443303e-01
  8.3185494e-02 -3.0085707e-01  4.0413210e-01  5.2383447e-01]","[ 0.31110612 -0.16502845  0.85625917 -0.49163648  0.4592724  -0.6434685
  0.07169926 -0.31772235  0.3796082   0.56471556]","[ 0.31110612 -0.16502845  0.85625917 -0.49163648  0.4592724  -0.6434685
  0.07169926 -0.31772235  0.3796082   0.56471556]","[ 0.07777653 -0.04125711  0.21406479 -0.12290912  0.1148181  -0.16086712
  0.01792482 -0.07943059  0.09490205  0.14117889]"
