step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04  2.1982193e-04
 -6.5937045e-04  6.5937045e-04  2.1982193e-04 -2.1982193e-04
  6.5937045e-04  2.1982193e-04  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00]","[-0.282631   -0.18592621  0.6880461  -0.5173186   0.19418202  2.5480366
  0.1652785  -0.07091726  1.117627   -0.9033548 ]","[-0.282631   -0.18592621  0.6880461  -0.5173186   0.19418202  2.5480366
  0.1652785  -0.07091726  1.117627   -0.9033548 ]","[-0.07065775 -0.04648155  0.17201152 -0.12932965  0.04854551  0.63700914
  0.04131962 -0.01772932  0.27940676 -0.2258387 ]"
1,0.0078125,"[ 4.9067676e-02  9.9879545e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -2.1982193e-04  2.1982193e-04  2.1982193e-04  1.0989190e-03
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04  2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -2.8263101e-01 -1.8592621e-01
  6.8804610e-01 -5.1731861e-01  1.9418202e-01  2.5480366e+00
  1.6527849e-01 -7.0917264e-02  1.1176270e+00 -9.0335482e-01]","[ 6.8458009e-01 -3.8524717e-01  5.5411220e-01  2.7033901e-02
  8.8377781e-02  2.3153210e+00  1.7715594e-01 -3.0242279e-04
  1.2825205e+00 -1.0496869e+00]","[ 6.8458009e-01 -3.8524717e-01  5.5411220e-01  2.7033901e-02
  8.8377781e-02  2.3153210e+00  1.7715594e-01 -3.0242279e-04
  1.2825205e+00 -1.0496869e+00]","[ 1.7114502e-01 -9.6311793e-02  1.3852805e-01  6.7584752e-03
  2.2094445e-02  5.7883024e-01  4.4288985e-02 -7.5605698e-05
  3.2063013e-01 -2.6242173e-01]"
2,0.015625,"[ 9.8017141e-02  9.9518472e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04  2.1982193e-04
 -6.5937045e-04 -2.1982193e-04 -6.5937045e-04  6.5937045e-04
 -2.1982193e-04 -2.1982193e-04  6.8458009e-01 -3.8524717e-01
  5.5411220e-01  2.7033901e-02  8.8377781e-02  2.3153210e+00
  1.7715594e-01 -3.0242279e-04  1.2825205e+00 -1.0496869e+00]","[ 1.0183368  -0.30485132  0.32038116  0.27235246 -0.10328015  2.5510256
  0.03477387  0.04143524  1.619355   -1.1851275 ]","[ 1.0183368  -0.30485132  0.32038116  0.27235246 -0.10328015  2.5510256
  0.03477387  0.04143524  1.619355   -1.1851275 ]","[ 0.2545842  -0.07621283  0.08009529  0.06808811 -0.02582004  0.6377564
  0.00869347  0.01035881  0.40483874 -0.29628187]"
3,0.0234375,"[ 1.4673047e-01  9.8917651e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -2.1982193e-04 -2.1982193e-04  2.1982193e-04 -2.1982193e-04
 -6.5937045e-04 -6.5937045e-04 -2.1982193e-04  6.5937045e-04
 -2.1982193e-04 -2.1982193e-04  1.0183368e+00 -3.0485132e-01
  3.2038116e-01  2.7235246e-01 -1.0328015e-01  2.5510256e+00
  3.4773871e-02  4.1435242e-02  1.6193550e+00 -1.1851275e+00]","[ 1.0897132  -0.12713619  0.08985087  0.46876884 -0.20397002  2.5296102
  0.04280836  0.08062158  1.9577302  -1.2248838 ]","[ 1.0897132  -0.12713619  0.08985087  0.46876884 -0.20397002  2.5296102
  0.04280836  0.08062158  1.9577302  -1.2248838 ]","[ 0.2724283  -0.03178405  0.02246272  0.11719221 -0.0509925   0.63240254
  0.01070209  0.02015539  0.48943254 -0.30622095]"
4,0.03125,"[ 1.9509032e-01  9.8078525e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
 -6.5937045e-04 -6.5937045e-04  2.1982193e-04  6.5937045e-04
  2.1982193e-04 -2.1982193e-04  1.0897132e+00 -1.2713619e-01
  8.9850873e-02  4.6876884e-01 -2.0397002e-01  2.5296102e+00
  4.2808361e-02  8.0621578e-02  1.9577302e+00 -1.2248838e+00]","[ 0.8693685   0.00713033 -0.0961698   0.5322481  -0.21841383  2.3412263
 -0.10888242  0.1577863   2.218505   -1.1038485 ]","[ 0.8693685   0.00713033 -0.0961698   0.5322481  -0.21841383  2.3412263
 -0.10888242  0.1577863   2.218505   -1.1038485 ]","[ 0.21734212  0.00178258 -0.02404245  0.13306202 -0.05460346  0.5853066
 -0.0272206   0.03944657  0.5546262  -0.2759621 ]"
5,0.0390625,"[ 2.4298018e-01  9.7003126e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04  2.1982193e-04
  2.1982193e-04  2.1982193e-04 -2.1982193e-04  6.5937045e-04
 -2.1982193e-04 -2.1982193e-04  8.6936849e-01  7.1303323e-03
 -9.6169800e-02  5.3224808e-01 -2.1841383e-01  2.3412263e+00
 -1.0888242e-01  1.5778629e-01  2.2185049e+00 -1.1038485e+00]","[ 0.80558693  0.15072614 -0.01786991  0.53699446 -0.16825192  2.3966608
 -0.11297413  0.16541879  2.4772017  -1.0887457 ]","[ 0.80558693  0.15072614 -0.01786991  0.53699446 -0.16825192  2.3966608
 -0.11297413  0.16541879  2.4772017  -1.0887457 ]","[ 0.20139673  0.03768153 -0.00446748  0.13424861 -0.04206298  0.5991652
 -0.02824353  0.0413547   0.6193004  -0.27218643]"
6,0.046875,"[ 2.9028466e-01  9.5694035e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -6.5937045e-04  2.1982193e-04 -2.1982193e-04  2.1982193e-04
 -6.5937045e-04 -1.0989190e-03 -2.1982193e-04  2.1982193e-04
  2.1982193e-04 -2.1982193e-04  8.0558693e-01  1.5072614e-01
 -1.7869908e-02  5.3699446e-01 -1.6825192e-01  2.3966608e+00
 -1.1297413e-01  1.6541879e-01  2.4772017e+00 -1.0887457e+00]","[ 3.7557387e-01 -6.6722184e-04 -4.2041648e-02  4.3708280e-01
 -9.8436587e-02  2.4660385e+00 -1.5129927e-01 -1.4609024e-01
  2.8405089e+00 -1.0424103e+00]","[ 3.7557387e-01 -6.6722184e-04 -4.2041648e-02  4.3708280e-01
 -9.8436587e-02  2.4660385e+00 -1.5129927e-01 -1.4609024e-01
  2.8405089e+00 -1.0424103e+00]","[ 9.3893468e-02 -1.6680546e-04 -1.0510412e-02  1.0927070e-01
 -2.4609147e-02  6.1650962e-01 -3.7824817e-02 -3.6522560e-02
  7.1012723e-01 -2.6060256e-01]"
7,0.05468750000000001,"[ 3.3688986e-01  9.4154406e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -6.5937045e-04 -6.5937045e-04 -6.5937045e-04 -2.1982193e-04
 -2.1982193e-04  2.1982193e-04  2.1982193e-04 -2.1982193e-04
  2.1982193e-04  2.1982193e-04  3.7557387e-01 -6.6722184e-04
 -4.2041648e-02  4.3708280e-01 -9.8436587e-02  2.4660385e+00
 -1.5129927e-01 -1.4609024e-01  2.8405089e+00 -1.0424103e+00]","[ 0.10788076 -0.01669352 -0.15506443  0.32475033 -0.0137991   2.3799293
 -0.08538441 -0.24595036  3.0862722  -0.9612298 ]","[ 0.10788076 -0.01669352 -0.15506443  0.32475033 -0.0137991   2.3799293
 -0.08538441 -0.24595036  3.0862722  -0.9612298 ]","[ 0.02697019 -0.00417338 -0.03876611  0.08118758 -0.00344978  0.5949823
 -0.0213461  -0.06148759  0.77156806 -0.24030745]"
8,0.0625,"[ 3.82683426e-01  9.23879504e-01 -3.24249268e-03  1.20162964e-02
  1.81198120e-02 -3.60498428e-02 -2.04086304e-02  2.47955322e-03
  8.58306885e-03 -3.24249268e-03  3.71942520e-02  1.01089478e-02
  2.19821930e-04  2.19821930e-04 -2.19821930e-04 -2.19821930e-04
 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04  6.59370446e-04
 -6.59370446e-04 -6.59370446e-04  1.07880756e-01 -1.66935176e-02
 -1.55064434e-01  3.24750334e-01 -1.37991011e-02  2.37992930e+00
 -8.53844061e-02 -2.45950356e-01  3.08627224e+00 -9.61229801e-01]","[-0.04446312  0.07295445 -0.21603292  0.22154059  0.17251365  2.233534
  0.14501053  0.1747967   3.2654052  -0.96501786]","[-0.04446312  0.07295445 -0.21603292  0.22154059  0.17251365  2.233534
  0.14501053  0.1747967   3.2654052  -0.96501786]","[-0.01111578  0.01823861 -0.05400823  0.05538515  0.04312841  0.5583835
  0.03625263  0.04369918  0.8163513  -0.24125446]"
9,0.0703125,"[ 4.2755508e-01  9.0398932e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.5668373e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -1.0989190e-03 -2.1982193e-04 -2.1982193e-04  1.0989190e-03
  2.1982193e-04 -2.1982193e-04  2.1982193e-04 -6.5937045e-04
 -6.5937045e-04  2.1982193e-04 -4.4463124e-02  7.2954454e-02
 -2.1603292e-01  2.2154059e-01  1.7251365e-01  2.2335341e+00
  1.4501053e-01  1.7479670e-01  3.2654052e+00 -9.6501786e-01]","[-2.4926613e-01 -1.7439647e-01  6.9766119e-04  1.3163336e-01
  2.2378154e-01  2.1770787e+00  1.0502725e-01  1.0430381e-01
  3.4633930e+00 -1.0617242e+00]","[-2.4926613e-01 -1.7439647e-01  6.9766119e-04  1.3163336e-01
  2.2378154e-01  2.1770787e+00  1.0502725e-01  1.0430381e-01
  3.4633930e+00 -1.0617242e+00]","[-6.2316533e-02 -4.3599118e-02  1.7441530e-04  3.2908339e-02
  5.5945385e-02  5.4426968e-01  2.6256813e-02  2.6075952e-02
  8.6584824e-01 -2.6543105e-01]"
