step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,0.0625,"[-1.30075903e-03  1.83151360e-03 -4.01078397e-03  9.24250856e-02
  1.47896055e-02 -9.95609760e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -1.42728806e-01  3.74386609e-02 -1.04086306e-02
 -8.65182877e-02  7.66211301e-02  1.80495262e-01 -3.59127820e-02
 -1.43869016e-02  6.74448013e-02 -6.17131740e-02 -6.59370446e-04
  2.19821930e-04 -2.19821930e-04 -2.19821930e-04  1.15619179e-04
 -6.59370446e-04  6.59370446e-04 -6.59370446e-04 -6.59370446e-04
  1.16079522e-04 -1.88602969e-01 -4.68141623e-02 -3.01850796e-01
  1.11817276e+00  2.61565328e-01 -9.57031488e-01 -2.08484352e-01
 -8.29644203e-02 -3.43407094e-01  1.02673120e+01  3.82683426e-01
  9.23879504e-01]","[ 0.16391817 -0.53503746  0.12184453  0.27527142 -0.28747392 -0.29096267
 -0.33744028  0.00214801 -0.07583461  1.8944801 ]","[-0.20842429995536804, 0.07640334218740463, -0.02484697662293911, -0.16517673432826996, 0.03371552377939224, 0.0015694439643993974, -0.0017571039497852325, -0.05213964357972145, 0.31312522292137146, 1.8086204528808594]"
20,0.140625,"[ 8.67882394e-04  4.51289787e-04 -2.22178665e-03  9.24170688e-02
  1.47816418e-02 -9.95610714e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -1.42728806e-01  3.74386609e-02 -1.04086306e-02
 -8.65182877e-02  7.66211301e-02  1.80495262e-01 -3.59127820e-02
 -1.43869016e-02  6.74448013e-02 -6.17131740e-02  6.59370446e-04
 -1.09891896e-03 -2.19821930e-04 -1.09891896e-03 -1.13435955e-04
 -2.19821930e-04  6.59370446e-04 -2.19821930e-04 -6.59370446e-04
  1.14320603e-04  4.73732710e-01 -3.01097655e+00  1.35603726e+00
  7.14187145e-01 -4.21167517e+00  3.11246693e-01 -1.07731330e+00
  1.53214335e-01 -2.73577273e-01  1.01073349e+00  7.73010433e-01
  6.34393275e-01]","[ 0.24639581 -0.73768616  0.34181663  0.17816067 -0.9824215   0.13490167
 -0.2194806   0.02533283 -0.05178049 -0.12136   ]","[-0.1121213287115097, -0.6928152441978455, 0.2558332681655884, -0.30126243829727173, -0.7191479206085205, 0.16804927587509155, -0.3096347749233246, 0.046446193009614944, 0.43522486090660095, 0.6598910689353943]"
30,0.21875000000000003,"[ 1.21508073e-03  1.53136940e-03  1.59732532e-04  9.24453214e-02
  1.47818280e-02 -9.95607972e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -1.42728806e-01  3.74386609e-02 -1.04086306e-02
 -8.65182877e-02  7.66211301e-02  1.80495262e-01 -3.59127820e-02
 -1.43869016e-02  6.74448013e-02 -6.17131740e-02 -6.59370446e-04
 -6.59370446e-04 -2.19821930e-04 -2.19821930e-04  1.13435955e-04
 -6.59370446e-04 -6.59370446e-04  2.19821930e-04  2.19821930e-04
  8.91954812e-07  6.45776510e-01 -1.54990971e+00  8.09231102e-01
  6.82614267e-01 -3.61976814e+00  5.08035123e-01 -7.58521438e-01
  1.13562286e-01 -2.21062988e-01 -3.23554784e-01  9.80785251e-01
  1.95090324e-01]","[ 0.14278199 -0.37423566  0.1898088   0.1708148  -0.8898389   0.11747803
 -0.21882036  0.02979692 -0.06606432 -0.07614588]","[-0.06658970564603806, -0.5204474925994873, 0.23580776154994965, -0.32848063111305237, -0.7745040059089661, 0.37730684876441956, -0.15106730163097382, 0.03530319780111313, 0.4447574317455292, -0.24156776070594788]"
40,0.296875,"[ 5.6890753e-04  2.0938541e-03  8.4234821e-04  9.2381753e-02
  1.4819641e-02 -9.9561346e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -1.4272881e-01  3.7438661e-02 -1.0408631e-02
 -8.6136818e-02  7.6621130e-02  1.8049526e-01 -3.5912782e-02
 -1.4386902e-02  6.7444801e-02 -6.1713174e-02  2.1982193e-04
  2.1982193e-04 -2.1982193e-04  2.1982193e-04  2.2795110e-04
 -6.5937045e-04 -6.5937045e-04  2.1982193e-04  2.1982193e-04
  1.1607952e-04  4.8280686e-01 -1.0252401e+00  5.4578120e-01
  6.9866776e-01 -3.6267574e+00  3.6014944e-01 -1.1102723e+00
  1.3588300e-01 -3.8951540e-01 -1.7920843e-01  9.5694035e-01
 -2.9028466e-01]","[ 0.12585329 -0.22553408  0.1264086   0.17536281 -0.926596    0.08067349
 -0.28170684  0.03284445 -0.1096658  -0.03210237]","[-0.1204538345336914, -0.3244696855545044, 0.14459529519081116, -0.32667550444602966, -0.7522626519203186, 0.3503158390522003, -0.229483962059021, 0.04287882149219513, 0.4136461913585663, -0.20620973408222198]"
50,0.375,"[-1.69267273e-03  2.60420586e-03 -1.70874712e-03  9.24111232e-02
  1.47832995e-02 -9.95611072e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -1.42728806e-01  3.74386609e-02 -1.04086306e-02
 -8.65182877e-02  7.66211301e-02  1.80495262e-01 -3.59127820e-02
 -1.43869016e-02  6.74448013e-02 -6.17131740e-02 -6.59370446e-04
 -1.09891896e-03 -2.19821930e-04 -2.19821930e-04  1.10403857e-06
 -2.19821930e-04 -2.19821930e-04  2.19821930e-04  2.19821930e-04
 -1.14320603e-04  5.92930734e-01 -5.68681538e-01  4.45088506e-01
  7.06669390e-01 -4.03840256e+00  1.96321130e-01 -1.12586057e+00
  1.14019841e-01 -5.26978731e-01 -4.65343893e-02  7.07106769e-01
 -7.07106769e-01]","[ 0.15542997 -0.12417684  0.11120561  0.17711216 -1.0268182   0.04261741
 -0.27975777  0.02626973 -0.13214019 -0.0077777 ]","[-0.10965403914451599, -0.1993059366941452, 0.10575849562883377, -0.32343560457229614, -0.8308271765708923, 0.3099897503852844, -0.2525477409362793, 0.040034692734479904, 0.37581777572631836, -0.16852346062660217]"
60,0.45312499999999994,"[ 4.3905225e-02  5.8228023e-02  1.3263649e-01  9.2803009e-02
  1.6330844e-02 -9.9555075e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -1.4272881e-01  3.3623964e-02 -1.0894798e-04
 -8.5373878e-02  6.2800020e-02  1.7782497e-01 -4.5449525e-02
 -1.5912781e-02  6.1341286e-02 -6.3692883e-02 -1.5384675e-03
  5.0549507e-03  1.8681336e-02  3.2966614e-03 -2.4940280e-02
 -1.1208820e-02  6.5937045e-04 -1.9780160e-03 -1.6043950e-02
 -5.9310100e-03  8.3615965e-01 -2.3704663e-01 -2.3917869e-02
  7.1846449e-01 -3.8889830e+00  3.0058622e-01 -1.0673981e+00
  6.8508774e-02 -5.0042880e-01  5.4051548e-02  2.9028466e-01
 -9.5694035e-01]","[ 0.24567273 -0.05547052 -0.02710855  0.18289596 -0.97071207  0.07728336
 -0.24792635  0.01064052 -0.13517238  0.06167127]","[-0.06089291721582413, -0.10092516988515854, 0.02989662066102028, -0.32190781831741333, -0.8517488837242126, 0.31442657113075256, -0.232106551527977, 0.029569070786237717, 0.3720572888851166, -0.14217844605445862]"
70,0.53125,"[ 8.0336407e-02  5.3503521e-02  2.2759096e-01  9.8024108e-02
  1.5111890e-02 -9.9506915e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -1.4158440e-01  3.9346009e-02  1.6675720e-02
 -6.6300392e-02  5.5560768e-02  1.7248440e-01 -4.6593934e-02
 -1.0190735e-02  5.1041603e-02 -5.8518022e-02 -1.5384675e-03
  6.5937045e-04  1.5604401e-02  2.1318723e-02 -1.3171943e-02
  1.0989190e-03  2.1982193e-04  1.0769272e-02 -8.1318859e-03
  1.0600104e-06  1.4278526e+00  3.3271092e-01 -4.8913348e-01
  6.7238897e-01 -4.6720667e+00  1.6465817e-01 -5.0688487e-01
 -7.3525041e-02 -6.8129009e-01  1.2350116e+00 -1.9509032e-01
 -9.8078525e-01]","[ 0.37536442  0.12308079 -0.1561497   0.16715664 -1.2111168  -0.01758309
 -0.03435069 -0.03358979 -0.18844458  0.5119168 ]","[0.07203173637390137, 0.014822729863226414, -0.10275278985500336, -0.3268239498138428, -0.9453087449073792, 0.2989429831504822, -0.12371768802404404, 0.0016235727816820145, 0.34116607904434204, 0.09143394231796265]"
80,0.609375,"[ 5.7005700e-02  7.7434048e-02  1.2902266e-01  1.0198553e-01
  9.8468438e-03 -9.9473703e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -1.4043999e-01  4.3160707e-02  2.2779236e-02
 -4.7226906e-02  3.6387011e-02  1.7286587e-01 -4.5068055e-02
 -3.3242796e-03  3.9978981e-02 -5.0536543e-02  4.6154023e-03
  2.1982193e-04 -6.5937045e-04  2.1318723e-02 -1.5495784e-02
  1.0989190e-03 -1.0989190e-03 -6.5937045e-04 -9.4505316e-03
  6.2262765e-03  1.0262680e+00  9.7181755e-01 -5.2577555e-01
  4.1871032e-01 -3.4054451e+00 -6.4624184e-01  2.1294823e+00
 -1.2397399e+00 -6.2841403e-01  6.8683949e+00 -6.3439327e-01
 -7.7301043e-01]","[ 0.04840998  0.16337307 -0.05522915  0.0689493  -0.5294751  -0.31975335
  0.79587436 -0.43816283 -0.12723133  2.0144117 ]","[0.044207438826560974, 0.17247308790683746, -0.15685725212097168, -0.37036988139152527, -0.8500410318374634, 0.11625490337610245, 0.37182900309562683, -0.18075524270534515, 0.3269040286540985, 1.1200501918792725]"
90,0.6875,"[ 6.1716974e-02  9.6794881e-02 -1.1899732e-01  1.0893103e-01
  1.2184635e-02 -9.9397469e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -1.2594414e-01  4.0871888e-02 -4.3051150e-03
 -6.7901611e-03  1.4313176e-02  1.8278408e-01 -5.7656556e-02
 -6.7575071e-03  2.5482178e-02  2.5832653e-03  2.0879079e-02
 -2.1318723e-02 -3.1868171e-02  6.1318684e-02 -3.0452196e-02
  1.9120885e-02 -3.1868171e-02 -4.6154023e-03 -3.5824206e-02
  4.4758774e-02 -4.7943071e-01  4.0124133e-01  1.3076805e-02
  1.7126954e-01  5.6995445e-01 -1.3246225e+00  3.6897969e+00
 -1.0992925e+00 -4.7173601e-01  5.6500874e+00 -9.2387950e-01
 -3.8268343e-01]","[-0.09714438 -0.01150558  0.0092126   0.05523349  0.14377111 -0.2986272
  0.79941845 -0.18154067 -0.12708023  1.2707403 ]","[-0.3534386456012726, 0.08785497397184372, -0.01933601312339306, -0.44238990545272827, 0.11860470473766327, -0.12990717589855194, 0.9088331460952759, -0.31894367933273315, 0.37999194860458374, 1.533154845237732]"
