step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,0.0703125,"[ 6.1771565e-04 -1.2697269e-04 -2.7481953e-04  1.0180191e-02
  1.2768310e-02 -9.9986672e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.1800995e-02  1.3406066e-02  4.8501585e-03
 -1.8646526e-01  2.0225662e-01  5.8804512e-02 -3.3623964e-02
 -1.9346008e-02  1.7273235e-01 -2.0396873e-01  2.1982193e-04
 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04 -1.0323514e-04
  6.5937045e-04 -2.1982193e-04  2.1982193e-04  2.1982193e-04
  2.0584777e-04  1.2116019e+00  2.6946017e-01  1.0376152e-01
  2.8042948e-01 -3.2432842e+00  1.7973098e+00 -7.1898389e-01
  4.0866354e-01  1.0408165e+00  2.7628165e-01  4.2755508e-01
  9.0398932e-01]","[ 0.29239053  0.03591412 -0.05041283  0.09853313 -0.8409791   0.44447425
 -0.14125535  0.04682935  0.25642866  0.05186119]","[-0.02333253249526024, -0.1749802529811859, 0.08043554425239563, -0.42242929339408875, -0.7225674390792847, 0.8703733682632446, -0.1539682000875473, 0.11524465680122375, 0.9272444248199463, 0.12578290700912476]"
20,0.1484375,"[ 2.2864249e-04  8.0362812e-04 -1.4422092e-04  1.0121742e-02
  1.2738876e-02 -9.9986768e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.1800995e-02  1.3406066e-02  4.8501585e-03
 -1.8646526e-01  2.0225662e-01  5.8804512e-02 -3.3623964e-02
 -1.9346008e-02  1.7273235e-01 -2.0396873e-01 -1.5384675e-03
 -1.0989190e-03 -6.5937045e-04  2.1982193e-04 -1.0189726e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04  2.1982193e-04
 -1.0251931e-04  1.2931715e+00  4.2879626e-02  4.3349880e-01
  4.4414285e-01 -3.4168282e+00  1.9023156e+00 -6.2380081e-01
  2.8813344e-01  1.1328185e+00  6.3144326e-02  8.0320752e-01
  5.9569931e-01]","[ 0.33345768 -0.03844351  0.11806447  0.10324542 -0.8396932   0.47903383
 -0.20471807  0.08540029  0.29326773  0.02628069]","[0.07354293763637543, -0.044500283896923065, 0.09309720993041992, -0.3988030254840851, -0.6966263651847839, 0.7300402522087097, -0.15462538599967957, 0.09375015646219254, 0.7890640497207642, -0.12649475038051605]"
30,0.22656249999999997,"[ 7.7667153e-07 -2.6186046e-04  3.2220958e-04  1.0084743e-02
  1.2771829e-02 -9.9986768e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.1800995e-02  1.3406066e-02  4.8501585e-03
 -1.8646526e-01  2.0225662e-01  5.8804512e-02 -3.3623964e-02
 -1.9346008e-02  1.7273235e-01 -2.0396873e-01 -2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -6.5937045e-04  1.9731701e-06
 -2.1982193e-04  1.0989190e-03 -2.1982193e-04  2.1982193e-04
  7.8671513e-07  1.3618042e+00 -2.2655372e-01  6.0093093e-01
  4.2943662e-01 -3.3676019e+00  1.9500225e+00 -8.9923328e-01
  3.4305879e-01  1.2468364e+00  1.0729301e-01  9.8917651e-01
  1.4673047e-01]","[ 0.31543615  0.04606181  0.13860942  0.11638982 -0.8755481   0.49528065
 -0.11988316  0.06032277  0.2990597   0.00519162]","[0.07748370617628098, -0.030191734433174133, 0.13191960752010345, -0.3878381848335266, -0.7105039358139038, 0.7407112717628479, -0.1361633986234665, 0.08177940547466278, 0.801818311214447, -0.13502690196037292]"
40,0.3046875,"[ 9.67767672e-04  6.69988280e-04 -3.65677028e-04  1.00724744e-02
  1.27418321e-02 -9.99868155e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -2.18009949e-02  1.34060662e-02  4.85015847e-03
 -1.86465263e-01  2.02256620e-01  5.88045120e-02 -3.36239636e-02
 -1.93460081e-02  1.72732353e-01 -2.03968734e-01 -1.09891896e-03
 -6.59370446e-04 -2.19821930e-04 -1.53846748e-03 -2.07105564e-04
  6.59370446e-04 -6.59370446e-04 -6.59370446e-04 -1.09891896e-03
 -1.01994876e-04  1.18473709e+00  3.05525541e-01  6.09327197e-01
  4.73970085e-01 -3.65312529e+00  2.05055666e+00 -3.87985110e-01
  2.60270327e-01  1.24137259e+00 -3.10018957e-02  9.41544056e-01
 -3.36889863e-01]","[ 0.34888014 -0.05954603  0.17286295  0.10345364 -0.8702086   0.51363325
 -0.24689297  0.0982678   0.33194494  0.02421784]","[0.07715003192424774, -0.03698918968439102, 0.15113765001296997, -0.39021557569503784, -0.7298697829246521, 0.7589675188064575, -0.1555766612291336, 0.09272900968790054, 0.8204689621925354, -0.13749459385871887]"
50,0.3828125,"[-8.1506878e-06  4.5250714e-04 -7.4827066e-04  9.9958926e-03
  1.2830231e-02 -9.9986768e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.1800995e-02  1.3406066e-02  4.8501585e-03
 -1.8646526e-01  2.0225662e-01  5.8804512e-02 -3.3623964e-02
 -1.9346008e-02  1.7273235e-01 -2.0396873e-01 -2.1982193e-04
 -2.1982193e-04 -6.5937045e-04  2.1982193e-04  2.0839868e-04
 -6.5937045e-04 -6.5937045e-04 -2.1982193e-04 -6.5937045e-04
 -2.0530091e-04  1.4695942e+00 -1.4559999e-01  7.6557970e-01
  4.0164691e-01 -3.7181315e+00  2.1462295e+00 -1.0448292e+00
  4.8118141e-01  1.3703413e+00  8.0296695e-02  6.7155898e-01
 -7.4095112e-01]","[ 0.26940796  0.10604535  0.18630812  0.12190165 -1.0000396   0.54428256
 -0.08087832  0.08857953  0.3233593  -0.02234855]","[0.060521941632032394, 0.014948000200092793, 0.17250439524650574, -0.386961966753006, -0.8075034618377686, 0.7859523296356201, -0.12357620894908905, 0.10690883547067642, 0.8292133808135986, -0.15370458364486694]"
60,0.46093749999999994,"[-7.50413048e-04  2.95021717e-04 -4.65383317e-04  9.99034289e-03
  1.27832880e-02 -9.99868393e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -2.18009949e-02  1.34060662e-02  4.85015847e-03
 -1.86465263e-01  2.02256620e-01  5.88045120e-02 -3.36239636e-02
 -1.93460081e-02  1.72732353e-01 -2.03968734e-01 -2.19821930e-04
  2.19821930e-04 -6.59370446e-04 -6.59370446e-04 -1.04528248e-04
  2.19821930e-04  2.19821930e-04 -2.19821930e-04 -6.59370446e-04
  2.06372220e-04  9.92241085e-01  4.97228742e-01  9.05605912e-01
  5.06544471e-01 -4.28263235e+00  2.28077459e+00 -2.50917852e-01
  4.27650601e-01  1.31261253e+00 -1.05113804e-01  2.42980182e-01
 -9.70031261e-01]","[ 0.40706718 -0.01653204  0.21540186  0.09630138 -0.9977858   0.5596198
 -0.29512316  0.15286091  0.35503888  0.02259813]","[0.08986735343933105, 0.007295730523765087, 0.20548923313617706, -0.39159855246543884, -0.86647629737854, 0.8104991912841797, -0.1689337193965912, 0.14014914631843567, 0.8424842953681946, -0.1473565548658371]"
70,0.5390625,"[-5.1579718e-04  4.3919901e-04 -3.8090936e-04  1.0015231e-02
  1.2756585e-02 -9.9986839e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.1800995e-02  1.3406066e-02  4.8501585e-03
 -1.8646526e-01  2.0225662e-01  5.8804512e-02 -3.3623964e-02
 -1.9346008e-02  1.7273235e-01 -2.0396873e-01 -2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -3.0834528e-04
 -6.5937045e-04  2.1982193e-04  2.1982193e-04 -6.5937045e-04
  2.0637222e-04  1.7199208e+00 -2.3422768e-02  9.2201912e-01
  3.6655307e-01 -4.1971636e+00  2.3079360e+00 -1.2786239e+00
  7.0445126e-01  1.4385049e+00  9.4942808e-02 -2.4298018e-01
 -9.7003126e-01]","[ 0.2337725   0.1403896   0.2671552   0.13139604 -1.1256312   0.586504
 -0.04826524  0.12735574  0.32672268 -0.02613229]","[0.062296312302351, 0.04945608228445053, 0.2378561943769455, -0.3845314681529999, -0.937326967716217, 0.8303827047348022, -0.12719814479351044, 0.15344059467315674, 0.8397859334945679, -0.1561654955148697]"
80,0.6171875,"[ 3.7545522e-04 -3.0367853e-04 -6.4665760e-04  1.0019104e-02
  1.2726256e-02 -9.9986887e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.1800995e-02  1.3406066e-02  4.8501585e-03
 -1.8646526e-01  2.0225662e-01  5.8804512e-02 -3.3623964e-02
 -1.9346008e-02  1.7273235e-01 -2.0396873e-01  6.5937045e-04
 -1.0989190e-03 -2.1982193e-04  2.1982193e-04  2.0710556e-04
 -2.1982193e-04 -2.1982193e-04  2.1982193e-04 -6.5937045e-04
 -3.0703362e-04  9.3427879e-01  6.2163234e-01  1.1534637e+00
  5.2419198e-01 -4.6320677e+00  2.3899918e+00 -1.6927291e-01
  5.7780290e-01  1.3092473e+00 -1.1265677e-01 -6.7155898e-01
 -7.4095112e-01]","[ 0.4447468   0.00585444  0.24769607  0.08164985 -1.1225923   0.603678
 -0.3384171   0.19678819  0.36408806  0.02433029]","[0.10896670818328857, 0.033596038818359375, 0.2516564428806305, -0.3970864415168762, -0.9773543477058411, 0.8472208380699158, -0.18851587176322937, 0.1830703765153885, 0.8485241532325745, -0.14668139815330505]"
90,0.6953125,"[-2.1892101e-04  2.9493883e-04  3.8370627e-04  1.0025022e-02
  1.2743218e-02 -9.9986863e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.1800995e-02  1.3406066e-02  4.8501585e-03
 -1.8646526e-01  2.0225662e-01  5.8804512e-02 -3.3623964e-02
 -1.9346008e-02  1.7273235e-01 -2.0396873e-01 -2.1982193e-04
 -6.5937045e-04 -6.5937045e-04 -2.1982193e-04 -2.0579023e-04
 -2.1982193e-04  2.1982193e-04 -2.1982193e-04 -2.1982193e-04
  1.0356831e-04  1.7984273e+00  6.4193942e-02  1.0206319e+00
  2.7759981e-01 -4.7204905e+00  2.5149846e+00 -1.3920671e+00
  8.3642006e-01  1.4698009e+00  1.0126972e-01 -9.4154406e-01
 -3.3688986e-01]","[ 0.23772775  0.17811453  0.29882354  0.12621272 -1.1954594   0.61465967
 -0.03822336  0.16198826  0.33416277 -0.02996005]","[0.07207325845956802, 0.07986392080783844, 0.27119940519332886, -0.39492878317832947, -1.0322846174240112, 0.8661147356033325, -0.13186945021152496, 0.18869902193546295, 0.8457587957382202, -0.15789520740509033]"
