step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,0.0703125,"[-2.7224081e-04  4.8134872e-04  9.4392645e-04 -1.7516851e-02
  1.5688313e-02 -9.9972343e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.9430389e-02  1.1990350e-03 -5.8309939e-03
 -2.0973492e-01  1.9858816e-01  5.3463936e-02 -3.7438661e-02
 -2.6975403e-02  1.9752789e-01 -2.0635414e-01  2.1982193e-04
 -2.1982193e-04  2.1982193e-04  2.1982193e-04 -1.0364006e-04
 -2.1982193e-04 -2.1982193e-04 -1.0989190e-03  2.1982193e-04
  1.0278835e-04  1.7436827e+00 -1.2784597e+00  4.3038595e-01
  4.4161725e-01 -3.1110499e+00  2.9368494e+00 -6.8960810e-01
  2.8053251e-01  4.6476200e-01 -3.6101305e-01  4.2755508e-01
  9.0398932e-01]","[ 0.32343018 -0.24243917  0.1736251   0.0657538  -0.76467186  0.7661975
 -0.19897926  0.11514052  0.05436527 -0.05728238]","[0.12734249234199524, -0.3259464204311371, 0.10084767639636993, -0.364126056432724, -0.505232572555542, 0.8111542463302612, -0.2032536119222641, 0.15351636707782745, 0.75925213098526, 0.1829487532377243]"
20,0.1484375,"[-1.5900822e-04  2.9910580e-05  1.8623100e-04 -1.7475896e-02
  1.5737005e-02 -9.9972332e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.9430389e-02  1.1990350e-03 -5.8309939e-03
 -2.0973492e-01  1.9858816e-01  5.3463936e-02 -3.7438661e-02
 -2.6975403e-02  1.9752789e-01 -2.0635414e-01 -1.0989190e-03
  6.5937045e-04 -6.5937045e-04 -6.5937045e-04  2.5084964e-07
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -6.5937045e-04
  2.0651196e-04 -1.3107191e+00  6.3017398e-02  2.3948576e-01
 -4.9960464e-01  2.9486623e-01 -1.8487886e-01  8.0179441e-01
 -7.4587452e-01 -3.4090221e-01  9.0520459e-01  8.0320752e-01
  5.9569931e-01]","[-0.26728407  0.09151767  0.03124476 -0.07161011  0.07945693 -0.04164191
  0.16103941 -0.1350194  -0.0792848   0.2708406 ]","[-0.6980827450752258, 0.3512979745864868, -0.0981820598244667, -0.7317513227462769, -0.16946376860141754, 0.01920212246477604, 0.36980968713760376, -0.3617507815361023, 0.3705822229385376, 0.15470357239246368]"
30,0.22656249999999997,"[ 5.2614663e-02  1.9185301e-02  1.7495003e-02 -1.5306498e-02
  9.7895572e-03 -9.9983490e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -4.1638374e-02  9.5913690e-03 -4.6865847e-03
 -2.1469402e-01  1.9209325e-01  4.9267769e-02 -2.8664855e-02
 -4.5286901e-02  1.9562054e-01 -2.0233473e-01 -2.6593400e-02
  1.3406563e-02 -2.8571130e-03 -3.0549431e-02 -2.7947336e-02
  2.8571130e-03 -2.2637367e-02 -3.9340686e-02 -5.0549507e-03
  9.7716730e-03  1.0687243e+00 -9.6276611e-01  6.0675299e-01
  3.5030830e-01 -1.5009136e+00 -1.4805367e+00 -1.5523994e+00
  1.2690680e+00  2.1890596e-01  4.6458778e+00  9.8917651e-01
  1.4673047e-01]","[ 0.4491929  -0.3707484   0.19452293  0.16064402 -0.54446703  0.27169937
 -0.257051    0.24835037  0.49068204  1.3098351 ]","[-0.13526974618434906, -0.00928774755448103, -0.015031980350613594, -0.42822811007499695, 0.024814004078507423, 0.08990361541509628, -0.052857182919979095, 0.0993950366973877, 0.6394827961921692, 0.6800562739372253]"
40,0.3046875,"[-4.09472138e-02 -5.46759106e-02  2.88442671e-02 -2.62661055e-02
 -6.07845234e-03 -9.99636412e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -5.15565872e-02  3.28610241e-02 -1.95639040e-02
 -2.26902008e-01  1.22869730e-01  4.85048294e-02 -2.72491388e-03
 -3.57492045e-02  1.92187309e-01 -1.89350754e-01  3.71428505e-02
 -4.17585392e-03  3.73630528e-03  6.70330077e-02  1.07045891e-02
 -2.13187225e-02  2.30769161e-02  7.05494881e-02  2.19821930e-04
  1.45767035e-03  2.43989855e-01  1.47859961e-01  1.35837466e-01
  3.91090333e-01 -1.20990276e+00  9.33921158e-01 -5.21353602e-01
  5.53564727e-01 -3.33463252e-02  1.05624154e-01  9.41544056e-01
 -3.36889863e-01]","[ 0.06515254  0.03181449  0.04419542  0.09852539 -0.3223376   0.23193417
 -0.12526304  0.13834018 -0.00837722  0.03620878]","[-0.1685875505208969, -0.031007135286927223, 0.07272971421480179, -0.39381250739097595, -0.1928834766149521, 0.5376052260398865, -0.13815993070602417, 0.15386845171451569, 0.5104990601539612, -0.16190694272518158]"
50,0.3828125,"[ 0.04159331  0.03242144  0.00517708 -0.03101075  0.00353388 -0.9995129
  0.2         0.          0.         -0.01302719  0.04926422  0.0182016
 -0.16624737  0.14644456  0.0401125   0.01406071  0.07678532  0.18036175
 -0.19118479 -0.00989008  0.01604395  0.01736259  0.0046154  -0.0190412
  0.01208792  0.00813189  0.04593411 -0.01999998  0.01187541  0.47569045
 -0.0520246   0.7722267   0.0479244  -2.32203     1.1799784  -1.0139992
  0.58407104 -0.05144817  0.07594539  0.671559   -0.7409511 ]","[ 0.1195948   0.01449293  0.17158173  0.01319566 -0.5479454   0.23962346
 -0.22715807  0.13248757 -0.01728646  0.03743135]","[-0.12755274772644043, -0.04780410975217819, 0.18776966631412506, -0.4954751133918762, -0.465191513299942, 0.5776907801628113, -0.22090914845466614, 0.17035053670406342, 0.4946080148220062, -0.1377120167016983]"
60,0.46093749999999994,"[ 0.00874661  0.04319713  0.0313342  -0.0170483  -0.00165452 -0.99985325
  0.2         0.          0.         -0.0412569   0.07329777  0.05062748
 -0.15327644  0.10803577  0.0740633   0.0293195   0.08098149  0.17998028
 -0.17383337 -0.0164835   0.00857143  0.04285717  0.00901098 -0.01510177
  0.0147253   0.00373631  0.00241756 -0.0063736   0.01144518 -0.41819876
  0.3986044   0.00654937  0.07651958  0.16149345 -0.13292992  0.49548152
 -0.09939215 -0.2662058   0.46443245  0.24298018 -0.97003126]","[-0.07131161  0.11707473 -0.01454834  0.03693993  0.02536496 -0.06190374
  0.09025449 -0.02975494 -0.05360926  0.12469545]","[-0.4412800073623657, 0.011434967629611492, 0.009670917876064777, -0.5308308005332947, 0.2241946905851364, 0.20478305220603943, 0.219589501619339, -0.054698750376701355, 0.42693108320236206, -0.015714131295681]"
70,0.5390625,"[ 4.0729299e-02 -5.0659414e-02  6.0485783e-03 -1.2902548e-02
 -1.0742116e-02 -9.9985909e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -8.8940620e-02  8.1308633e-02  6.9700964e-02
 -1.4717293e-01  9.9297240e-02  9.8478317e-02  4.7248572e-02
  7.9074137e-02  1.7425823e-01 -1.4825445e-01 -2.1758271e-02
 -8.1318859e-03 -1.1648369e-02 -1.9120885e-02  1.1349198e-02
  1.3406563e-02  6.5937045e-04 -6.5937045e-04 -2.4175644e-03
  9.0898760e-03  5.0154513e-01 -7.6037335e-01  1.2534726e+00
  7.5690603e-01 -9.9089444e-01  7.4785423e-01 -9.3998468e-01
  2.2436300e-01  8.3352530e-01  2.2758203e+00 -2.4298018e-01
 -9.7003126e-01]","[ 0.12543891 -0.15256076  0.27796465  0.1949358  -0.27678874  0.23401593
 -0.25236797 -0.00291019  0.17393151  0.23113531]","[-0.13578565418720245, -0.20295335352420807, 0.1727934628725052, -0.3341694474220276, -0.011382414028048515, 0.29666727781295776, -0.16119997203350067, 0.09177670627832413, 0.5976309180259705, 0.29651427268981934]"
80,0.6171875,"[-4.99487855e-02 -6.13833629e-02 -1.15952387e-01 -3.63480896e-02
 -1.29095074e-02 -9.99255896e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -8.16926956e-02  6.45239651e-02  6.20715693e-02
 -1.57092094e-01  1.12782091e-01  1.03055954e-01  2.93194968e-02
  5.77118322e-02  1.67773247e-01 -1.01216972e-01  1.29670147e-02
 -1.78022385e-02  3.29666142e-03  9.89007950e-03  5.68610663e-03
 -1.53846748e-03 -3.23077217e-02 -1.38461115e-02 -1.16483690e-02
  3.49287428e-02 -1.45470589e-01  4.27059829e-01  4.35348988e-01
  6.27012968e-01 -6.55511498e-01  4.17766035e-01 -5.67205071e-01
  1.66207328e-02  3.17245722e-04  1.88870803e-01 -6.71558976e-01
 -7.40951121e-01]","[-0.04022726  0.10540484  0.12606966  0.16893019 -0.14504439  0.09062362
 -0.14118871  0.00263746  0.00335386  0.04590571]","[-0.2897028923034668, 0.07948475331068039, 0.08536988496780396, -0.3437911868095398, -0.006160247139632702, 0.3513026833534241, -0.09880539029836655, 0.015227601863443851, 0.5056197047233582, -0.11596221476793289]"
90,0.6953125,"[ 8.58523399e-02  5.99585697e-02 -1.21754318e-01 -4.60978560e-02
 -5.58023807e-03 -9.98921275e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -7.25374222e-02  1.83651727e-02  4.79571894e-02
 -1.53276443e-01  1.07818663e-01  9.08479691e-02 -3.24795544e-02
  3.21533605e-02  1.16655350e-01 -4.50405627e-02 -1.38461115e-02
 -7.25278864e-03 -7.25278864e-03 -2.19821930e-04 -4.91142180e-03
 -6.81314478e-03 -1.34065626e-02 -3.05494312e-02 -3.40659134e-02
  2.90766102e-03  1.91848785e-01  7.75183678e-01  3.75352681e-01
  8.55965614e-01 -6.45059466e-01 -1.47092044e-01 -2.29570657e-01
  4.25942913e-02 -3.62580031e-01  2.78445661e-01 -9.41544056e-01
 -3.36889863e-01]","[ 0.05236341  0.28929642 -0.01722494  0.17793071 -0.3842354  -0.06165129
  0.07829572 -0.05986827 -0.11749064  0.05666959]","[-0.24852551519870758, 0.13869090378284454, 0.07860240340232849, -0.30601954460144043, -0.014485709369182587, 0.24199433624744415, -0.034513991326093674, 0.01822277158498764, 0.4399554133415222, -0.11853127181529999]"
