step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,0.0703125,"[ 4.27555084e-01  9.03989315e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -4.20198441e-02  2.63760369e-02  2.56134011e-03
 -1.33821487e-01  1.13339275e-01  8.06808472e-03 -1.68392938e-02
 -1.70571897e-02  7.58371353e-02 -1.57184780e-01 -2.19821930e-04
 -6.59370446e-04 -2.19821930e-04  2.19821930e-04  1.10939342e-04
 -2.19821930e-04 -2.19821930e-04  2.19821930e-04 -6.59370446e-04
  1.04890998e-04 -9.65337098e-01 -5.59227653e-02  1.07591480e-01
  6.26189351e-01  2.28833985e+00  8.99539411e-01  1.08848572e-01
 -2.34644160e-01 -7.27498055e-01 -1.50965393e+00  2.07442860e-03
  1.05330619e-04 -9.83632635e-04 -2.47436892e-02  1.76315233e-02
 -7.72632658e-02]","[-0.24014519 -0.00965387  0.02428254  0.15370959  0.5735809   0.22544108
  0.03282183 -0.06212437 -0.18565908 -0.37519726]","[-0.49232217669487, -0.04809604585170746, 0.019400006160140038, -0.3408660590648651, 0.7205052375793457, 0.4743957221508026, 0.05184749886393547, -0.04534164443612099, 0.32183921337127686, -0.5294414758682251]"
20,0.1484375,"[ 8.03207517e-01  5.95699310e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -4.20198441e-02  2.63760369e-02  2.56134011e-03
 -1.33821487e-01  1.13339275e-01  8.06808472e-03 -1.68392938e-02
 -1.70571897e-02  7.58371353e-02 -1.57184780e-01 -6.59370446e-04
  2.19821930e-04 -2.19821930e-04 -2.19821930e-04  1.10939342e-04
 -2.19821930e-04  2.19821930e-04  6.59370446e-04  1.09891896e-03
  1.32651701e-06 -9.23394263e-01  1.06188864e-01  5.71450591e-03
  5.05501211e-01  2.35158324e+00  9.15111363e-01  3.22365761e-01
 -3.67768109e-01 -8.73090446e-01 -1.41169465e+00 -1.78948612e-04
 -1.71443695e-04  3.32157104e-03 -2.47286092e-02  1.75752565e-02
 -7.72584900e-02]","[-0.22996992  0.03028209 -0.00103604  0.12313841  0.58926827  0.22893393
  0.0854108  -0.09503579 -0.22148208 -0.35041416]","[-0.4818442761898041, -0.007498802617192268, -0.0060234759002923965, -0.37041810154914856, 0.7362209558486938, 0.4784408211708069, 0.10524863749742508, -0.07861251384019852, 0.2853725254535675, -0.5056149363517761]"
30,0.22656249999999997,"[ 9.89176512e-01  1.46730468e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -4.20198441e-02  2.63760369e-02  2.56134011e-03
 -1.33821487e-01  1.13339275e-01  8.06808472e-03 -1.68392938e-02
 -1.70571897e-02  7.58371353e-02 -1.57184780e-01 -2.19821930e-04
 -2.19821930e-04  2.19821930e-04 -6.59370446e-04 -1.06879001e-04
 -6.59370446e-04  2.19821930e-04  2.19821930e-04 -2.19821930e-04
 -1.32651701e-06 -8.94942164e-01  2.41906911e-01 -8.08640644e-02
  3.83267999e-01  2.40743780e+00  9.18133736e-01  4.99556273e-01
 -4.76736128e-01 -9.90105629e-01 -1.31178129e+00 -2.09530280e-03
  3.21159768e-03 -1.04178704e-04 -2.46717669e-02  1.75950844e-02
 -7.72544071e-02]","[-0.2231275   0.06307123 -0.02185279  0.09300137  0.6029413   0.22944164
  0.12809083 -0.12126192 -0.24987772 -0.32562163]","[-0.4742491841316223, 0.02744082175195217, -0.02827490121126175, -0.401350200176239, 0.7506229877471924, 0.47954392433166504, 0.15087825059890747, -0.10685177147388458, 0.2550213932991028, -0.480156809091568]"
40,0.3046875,"[ 9.41544056e-01 -3.36889863e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -4.96492386e-02  2.71389764e-02  2.56134011e-03
 -1.31151199e-01  1.24954939e-01  1.68418884e-02 -1.60763543e-02
 -2.54495237e-02  7.20224380e-02 -1.67783171e-01 -1.03296284e-02
  1.09891896e-03 -2.19821930e-04 -1.53846748e-03  2.87346523e-02
  6.81314478e-03 -2.19821930e-04 -4.41758148e-02  3.73630528e-03
 -1.85457151e-02 -8.64176989e-01  3.10986489e-01 -1.18363656e-01
  2.84570754e-01  2.43682766e+00  8.97500813e-01  5.79051733e-01
 -5.35473883e-01 -1.06687069e+00 -1.22509933e+00  2.88731558e-03
  3.15549701e-01 -8.17432851e-02 -2.43869256e-02  2.54425351e-02
 -7.81576037e-02]","[-0.21435174  0.07890061 -0.02955971  0.06901953  0.60954237  0.22185911
  0.14510652 -0.1346014  -0.26678875 -0.3006754 ]","[-0.46798720955848694, 0.048009537160396576, -0.04015631601214409, -0.4264170825481415, 0.7592415809631348, 0.47590696811676025, 0.17574509978294373, -0.12302554398775101, 0.23510797321796417, -0.45894381403923035]"
50,0.3828125,"[ 6.7155898e-01 -7.4095112e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -8.1692696e-02  3.7057191e-02 -8.8827517e-03
 -1.2809944e-01  1.5004879e-01  6.1093330e-02 -1.7602233e-02
 -5.0627477e-02  7.8507423e-02 -1.7092454e-01 -1.5164852e-02
  2.4175644e-03 -6.8131448e-03  6.5937045e-04 -3.1973628e-04
  2.3076916e-02 -6.5937045e-04 -1.5164852e-02  1.0989190e-03
  2.2587464e-03 -8.2966638e-01  3.2669011e-01 -1.2663066e-01
  2.4884613e-01  2.4409475e+00  8.4477717e-01  5.8147395e-01
 -5.6550640e-01 -1.0769265e+00 -1.1401494e+00 -8.2058227e-03
  2.9986924e-01 -1.6818942e-01 -2.3068540e-02  5.6687035e-02
 -9.1796853e-02]","[-0.2071733   0.07996219 -0.03083838  0.06291759  0.6098477   0.21057497
  0.14347816 -0.14055075 -0.26875988 -0.28549278]","[-0.4578245282173157, 0.05229313671588898, -0.04200208932161331, -0.43790656328201294, 0.7609398365020752, 0.46217110753059387, 0.17683330178260803, -0.13141483068466187, 0.23052899539470673, -0.4355880618095398]"
60,0.46093749999999994,"[ 2.4298018e-01 -9.7003126e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -9.8478317e-02  4.3542176e-02 -1.8800965e-02
 -1.2542915e-01  1.5654528e-01  8.7796211e-02 -1.5313415e-02
 -7.2371252e-02  7.8125954e-02 -1.7172015e-01 -2.4175644e-03
  3.7363053e-03 -6.8131448e-03  2.8571130e-03  6.5986998e-03
  1.0769272e-02  6.3735964e-03 -1.2527466e-02 -1.9780160e-03
 -2.5085928e-03 -8.2239777e-01  2.7801746e-01 -9.5031537e-02
  2.7721483e-01  2.4074914e+00  8.1759727e-01  5.0521541e-01
 -5.3733176e-01 -1.0465226e+00 -1.1698635e+00  1.1200807e-02
  2.2931282e-01 -1.6593930e-01 -2.3503510e-02  8.3085380e-02
 -1.0716723e-01]","[-0.2051512   0.06646086 -0.02182372  0.07083035  0.600328    0.20363836
  0.12142149 -0.13248655 -0.25987688 -0.29287362]","[-0.4553670287132263, 0.04098065197467804, -0.03482183441519737, -0.43214794993400574, 0.7525337338447571, 0.45502689480781555, 0.15832096338272095, -0.12529850006103516, 0.23720313608646393, -0.4410845935344696]"
70,0.5390625,"[-2.4298018e-01 -9.7003126e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -9.5808029e-02  5.6130677e-02 -2.2616616e-02
 -1.1589241e-01  1.6779533e-01  9.4282150e-02 -6.1581414e-03
 -8.8774450e-02  7.0496559e-02 -1.7856386e-01  4.1758539e-03
  5.0549507e-03 -1.0989190e-03  5.4944991e-03  4.8617586e-03
 -1.0989190e-03  5.0549507e-03 -2.8571130e-03 -5.4944991e-03
 -2.8841747e-03 -8.3077478e-01  1.6419405e-01 -1.9252434e-02
  3.6161882e-01  2.3381872e+00  7.9772502e-01  3.4138900e-01
 -4.5871753e-01 -9.6459568e-01 -1.2634460e+00 -2.9172306e-03
  1.5138385e-01 -6.8616644e-02 -2.4170978e-02  1.0245736e-01
 -1.2004504e-01]","[-0.20806631  0.03780548 -0.00272288  0.09273249  0.58239126  0.19898531
  0.08092863 -0.1121963  -0.23850389 -0.31897748]","[-0.4572134017944336, 0.013968740589916706, -0.016992969438433647, -0.41216427087783813, 0.7365262508392334, 0.44981077313423157, 0.11982335895299911, -0.10693443566560745, 0.25630319118499756, -0.4629444181919098]"
80,0.6171875,"[-6.7155898e-01 -7.4095112e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -8.5888863e-02  5.9182435e-02 -2.2235146e-02
 -1.0177803e-01  1.7106548e-01  8.9703560e-02  2.2351462e-03
 -9.4496496e-02  5.6000710e-02 -1.8291056e-01  3.7363053e-03
  4.1758539e-03 -6.5937045e-04  8.1318859e-03  7.2271866e-04
 -4.1758539e-03  1.0989190e-03  2.1982193e-04 -8.5714338e-03
 -2.9526325e-04 -8.5441005e-01  2.0213645e-02  7.9286769e-02
  4.7614425e-01  2.2504251e+00  7.8526068e-01  1.3759042e-01
 -3.4298688e-01 -8.3740085e-01 -1.3850472e+00 -1.9674398e-02
  4.9581122e-02 -9.3429396e-03 -2.5031200e-02  1.1427355e-01
 -1.2354159e-01]","[-2.1486427e-01  4.9796980e-04  2.2529148e-02  1.2304461e-01
  5.6147969e-01  1.9625813e-01  3.0017328e-02 -8.2370579e-02
 -2.0594636e-01 -3.5002750e-01]","[-0.4627414345741272, -0.02008337900042534, 0.006896550767123699, -0.3841094672679901, 0.714971661567688, 0.446615070104599, 0.0710463896393776, -0.07937971502542496, 0.2869858145713806, -0.4930490553379059]"
90,0.6953125,"[-9.4154406e-01 -3.3688986e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -7.7115059e-02  6.1472207e-02 -2.1853676e-02
 -9.2240334e-02  1.7224124e-01  8.0548286e-02  3.3795554e-03
 -9.4115026e-02  4.4938087e-02 -1.8242189e-01  1.9780160e-03
 -2.1982193e-04  2.1982193e-04  1.9780160e-03 -1.0599578e-04
 -2.4175644e-03 -6.5937045e-04  1.0989190e-03 -6.5937045e-04
  2.1376938e-04 -8.8977015e-01 -1.1758594e-01  1.6669607e-01
  5.8924961e-01  2.1836178e+00  7.8022760e-01 -3.6849596e-02
 -2.2602914e-01 -6.9654232e-01 -1.4838221e+00  1.6573576e-02
 -3.6796898e-02  3.4916359e-03 -2.6621750e-02  1.1595743e-01
 -1.2504010e-01]","[-0.2231383  -0.03295509  0.04371743  0.1496547   0.54410076  0.19496444
 -0.0137819  -0.0537107  -0.1705724  -0.37307915]","[-0.47160056233406067, -0.05711871758103371, 0.030128350481390953, -0.3549063503742218, 0.6973352432250977, 0.44500985741615295, 0.023828811943531036, -0.04884734004735947, 0.32269567251205444, -0.5189489126205444]"
