step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02 -1.0989190e-03 -6.5937045e-04
 -2.1982193e-04  2.1982193e-04  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",[-0.40573114  0.2917498  -0.6657504   0.40534297],[-0.40573114  0.2917498  -0.6657504   0.40534297],[-0.10143279  0.07293745 -0.1664376   0.10133574]
1,0.015625,"[ 9.8017141e-02  9.9518472e-01  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02 -6.5937045e-04 -6.5937045e-04
 -2.1982193e-04  2.1982193e-04 -4.0573114e-01  2.9174981e-01
 -6.6575038e-01  4.0534297e-01]",[-0.6264006   0.23578538 -0.5515348   0.27279556],[-0.6264006   0.23578538 -0.5515348   0.27279556],[-0.15660015  0.05894635 -0.1378837   0.06819889]
2,0.03125,"[ 1.9509032e-01  9.8078525e-01  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02 -2.1982193e-04 -6.5937045e-04
 -1.0989190e-03 -6.5937045e-04 -6.2640059e-01  2.3578538e-01
 -5.5153477e-01  2.7279556e-01]",[-0.7650287   0.20566651 -0.5187132   0.19790885],[-0.7650287   0.20566651 -0.5187132   0.19790885],[-0.19125718  0.05141663 -0.1296783   0.04947721]
3,0.046875,"[ 2.9028466e-01  9.5694035e-01  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02 -6.5937045e-04  2.1982193e-04
 -1.0989190e-03 -2.1982193e-04 -7.6502872e-01  2.0566651e-01
 -5.1871318e-01  1.9790885e-01]",[-0.8591926   0.17512687 -0.37784547  0.15315501],[-0.8591926   0.17512687 -0.37784547  0.15315501],[-0.21479815  0.04378172 -0.09446137  0.03828875]
4,0.0625,"[ 3.8268343e-01  9.2387950e-01  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02 -2.1982193e-04 -2.1982193e-04
  2.1982193e-04  2.1982193e-04 -8.5919261e-01  1.7512687e-01
 -3.7784547e-01  1.5315501e-01]",[-0.91033053  0.15393524 -0.39977163  0.11397481],[-0.91033053  0.15393524 -0.39977163  0.11397481],[-0.22758263  0.03848381 -0.09994291  0.0284937 ]
5,0.078125,"[ 4.7139674e-01  8.8192129e-01  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02 -6.5937045e-04 -6.5937045e-04
 -1.5384675e-03 -2.1982193e-04 -9.1033053e-01  1.5393524e-01
 -3.9977163e-01  1.1397481e-01]",[-0.98623085  0.10172164 -0.27424222  0.10509329],[-0.98623085  0.10172164 -0.27424222  0.10509329],[-0.24655771  0.02543041 -0.06856056  0.02627332]
6,0.09375,"[ 5.55570245e-01  8.31469595e-01  2.99453735e-02  2.91824341e-02
 -1.31607056e-02  1.12533569e-02 -2.19821930e-04 -2.19821930e-04
 -6.59370446e-04 -2.19821930e-04 -9.86230850e-01  1.01721644e-01
 -2.74242222e-01  1.05093293e-01]",[-1.0233829   0.05489681 -0.09717193  0.08626939],[-1.0233829   0.05489681 -0.09717193  0.08626939],[-0.25584573  0.0137242  -0.02429298  0.02156735]
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02 -6.5937045e-04 -2.1982193e-04
 -1.0989190e-03  2.1982193e-04 -1.0233829e+00  5.4896805e-02
 -9.7171925e-02  8.6269394e-02]",[-1.0727214  -0.02835461  0.0884054   0.07276839],[-1.0727214  -0.02835461  0.0884054   0.07276839],[-0.26818034 -0.00708865  0.02210135  0.0181921 ]
8,0.125,"[ 7.0710677e-01  7.0710677e-01  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02 -6.5937045e-04  2.1982193e-04
 -6.5937045e-04  2.1982193e-04 -1.0727214e+00 -2.8354611e-02
  8.8405401e-02  7.2768390e-02]",[-1.0817947  -0.16534783  0.2916773   0.05925491],[-1.0817947  -0.16534783  0.2916773   0.05925491],[-0.27044868 -0.04133696  0.07291932  0.01481373]
9,0.140625,"[ 7.7301043e-01  6.3439327e-01  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02  2.1982193e-04 -2.1982193e-04
  2.1982193e-04  2.1982193e-04 -1.0817947e+00 -1.6534783e-01
  2.9167730e-01  5.9254915e-02]",[-1.137712   -0.11054994  0.21385442  0.05059848],[-1.137712   -0.11054994  0.21385442  0.05059848],[-0.284428   -0.02763749  0.0534636   0.01264962]
10,0.15625,"[ 8.3146960e-01  5.5557024e-01  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02 -6.5937045e-04  2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -1.1377120e+00 -1.1054994e-01
  2.1385442e-01  5.0598480e-02]",[-1.1295071  -0.22989115  0.22093345  0.0416243 ],[-1.1295071  -0.22989115  0.22093345  0.0416243 ],[-0.28237677 -0.05747279  0.05523336  0.01040608]
11,0.171875,"[ 8.8192129e-01  4.7139674e-01  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02 -2.1982193e-04 -6.5937045e-04
  2.1982193e-04 -2.1982193e-04 -1.1295071e+00 -2.2989115e-01
  2.2093345e-01  4.1624300e-02]",[-1.1434586  -0.16783401  0.35324043  0.034264  ],[-1.1434586  -0.16783401  0.35324043  0.034264  ],[-0.28586465 -0.0419585   0.08831011  0.008566  ]
12,0.1875,"[ 9.2387950e-01  3.8268343e-01  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02  2.1982193e-04  2.1982193e-04
 -6.5937045e-04  2.1982193e-04 -1.1434586e+00 -1.6783401e-01
  3.5324043e-01  3.4263998e-02]",[-1.1271077  -0.18890545  0.75823516  0.02728849],[-1.1271077  -0.18890545  0.75823516  0.02728849],[-0.28177693 -0.04722636  0.18955879  0.00682212]
13,0.203125,"[ 9.5694035e-01  2.9028466e-01  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02 -6.5937045e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04 -1.1271077e+00 -1.8890545e-01
  7.5823516e-01  2.7288491e-02]",[-1.086948   -0.1087788   0.67149043  0.0256833 ],[-1.086948   -0.1087788   0.67149043  0.0256833 ],[-0.271737   -0.0271947   0.16787261  0.00642083]
14,0.21875000000000003,"[ 9.80785251e-01  1.95090324e-01  2.99453735e-02  2.91824341e-02
 -1.31607056e-02  1.12533569e-02  1.09891896e-03  2.19821930e-04
 -6.59370446e-04  2.19821930e-04 -1.08694804e+00 -1.08778805e-01
  6.71490431e-01  2.56833006e-02]",[-1.0952115   0.16332407  0.87339675  0.02540174],[-1.0952115   0.16332407  0.87339675  0.02540174],[-0.27380288  0.04083102  0.21834919  0.00635044]
15,0.234375,"[ 9.9518472e-01  9.8017141e-02  2.9945374e-02  2.9182434e-02
 -1.3160706e-02  1.1253357e-02 -2.1982193e-04  2.1982193e-04
 -2.1982193e-04  2.1982193e-04 -1.0952115e+00  1.6332407e-01
  8.7339675e-01  2.5401743e-02]",[-0.9456675   0.11908542  0.5394426   0.03012236],[-0.9456675   0.11908542  0.5394426   0.03012236],[-0.23641688  0.02977135  0.13486065  0.00753059]
