step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,[ 0.          1.          0.0951786  -0.00109892  0.        ],0.4105084,0.4105084,0.1026271
10,0.015625,"[ 9.8017141e-02  9.9518472e-01  9.5178604e-02 -2.1982193e-04
  4.1050839e-01]",0.044981457,0.044981457,0.011245364
20,0.03125,"[ 1.9509032e-01  9.8078525e-01  9.5178604e-02 -2.1982193e-04
  4.4981457e-02]",-0.013216421,-0.013216421,-0.0033041053
30,0.046875,"[ 2.9028466e-01  9.5694035e-01  9.5178604e-02  2.1982193e-04
 -1.3216421e-02]",-0.050842486,-0.050842486,-0.012710622
40,0.0625,"[ 3.8268343e-01  9.2387950e-01  9.5178604e-02 -6.5937045e-04
 -5.0842486e-02]",-0.06365103,-0.06365103,-0.015912758
50,0.078125,"[ 4.7139674e-01  8.8192129e-01  9.5178604e-02 -2.1982193e-04
 -6.3651033e-02]",-0.071188435,-0.071188435,-0.017797109
60,0.09375,"[ 5.5557024e-01  8.3146960e-01  9.5178604e-02  6.5937045e-04
 -7.1188435e-02]",-0.067317404,-0.067317404,-0.016829351
70,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01  9.5178604e-02 -2.1982193e-04
 -6.7317404e-02]",-0.07231968,-0.07231968,-0.01807992
80,0.125,"[ 7.0710677e-01  7.0710677e-01  9.5178604e-02 -6.5937045e-04
 -7.2319679e-02]",-0.054117486,-0.054117486,-0.0135293715
90,0.140625,"[ 7.7301043e-01  6.3439327e-01  9.5178604e-02 -2.1982193e-04
 -5.4117486e-02]",-0.057662793,-0.057662793,-0.014415698
100,0.15625,"[ 8.3146960e-01  5.5557024e-01  9.5178604e-02  2.1982193e-04
 -5.7662793e-02]",-0.07903856,-0.07903856,-0.01975964
110,0.171875,"[ 8.8192129e-01  4.7139674e-01  9.5178604e-02 -6.5937045e-04
 -7.9038560e-02]",-0.11643813,-0.11643813,-0.029109532
120,0.1875,"[ 9.2387950e-01  3.8268343e-01  9.5178604e-02  2.1982193e-04
 -1.1643813e-01]",-0.121204555,-0.121204555,-0.030301139
130,0.203125,"[ 9.56940353e-01  2.90284663e-01  9.51786041e-02 -2.19821930e-04
 -1.21204555e-01]",-0.12492938,-0.12492938,-0.031232346
140,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01  9.5178604e-02 -2.1982193e-04
 -1.2492938e-01]",-0.1296027,-0.1296027,-0.032400675
150,0.234375,"[ 9.9518472e-01  9.8017141e-02  9.5178604e-02  2.1982193e-04
 -1.2960270e-01]",-0.16328967,-0.16328967,-0.040822417
160,0.25,"[ 1.0000000e+00  6.1232343e-17  9.5560074e-02 -2.1982193e-04
 -1.6328967e-01]",-0.19234833,-0.19234833,-0.048087083
170,0.265625,"[ 9.9518472e-01 -9.8017141e-02  9.5560074e-02  6.5937045e-04
 -1.9234833e-01]",-0.24656627,-0.24656627,-0.061641566
180,0.28125,[ 0.98078525 -0.19509032  0.09594154  0.00153847 -0.24656627],-0.2868193,-0.2868193,-0.07170483
190,0.296875,"[ 9.5694035e-01 -2.9028466e-01  9.8230362e-02 -2.1982193e-04
 -2.8681931e-01]",-0.30869746,-0.30869746,-0.077174366
200,0.3125,"[ 9.2387950e-01 -3.8268343e-01  9.8230362e-02 -2.1982193e-04
 -3.0869746e-01]",-0.32020357,-0.32020357,-0.08005089
210,0.328125,"[ 8.8192129e-01 -4.7139674e-01  9.8230362e-02 -2.1982193e-04
 -3.2020357e-01]",-0.35277176,-0.35277176,-0.08819294
220,0.34375,"[ 8.3146960e-01 -5.5557024e-01  9.8230362e-02 -6.5937045e-04
 -3.5277176e-01]",-0.35200772,-0.35200772,-0.08800193
230,0.359375,"[ 7.7301043e-01 -6.3439327e-01  9.8230362e-02 -2.1982193e-04
 -3.5200772e-01]",-0.46736205,-0.46736205,-0.11684051
240,0.375,[ 0.70710677 -0.70710677  0.0989933   0.00241756 -0.46736205],-0.4958482,-0.4958482,-0.12396205
250,0.390625,"[ 6.3439327e-01 -7.7301043e-01  9.9756241e-02  2.1982193e-04
 -4.9584821e-01]",-0.35028136,-0.35028136,-0.08757034
260,0.40625,"[ 5.5557024e-01 -8.3146960e-01  9.9374771e-02 -2.1982193e-04
 -3.5028136e-01]",-0.14395265,-0.14395265,-0.035988163
270,0.421875,"[ 4.7139674e-01 -8.8192129e-01  9.9374771e-02 -2.1982193e-04
 -1.4395265e-01]",-0.113238916,-0.113238916,-0.028309729
280,0.43750000000000006,"[ 3.82683426e-01 -9.23879504e-01  9.93747711e-02 -2.19821930e-04
 -1.13238916e-01]",-0.056661926,-0.056661926,-0.014165482
290,0.45312499999999994,"[ 2.9028466e-01 -9.5694035e-01  9.8993301e-02 -2.1982193e-04
 -5.6661926e-02]",-0.10822189,-0.10822189,-0.027055472
300,0.46875,"[ 1.9509032e-01 -9.8078525e-01  9.8993301e-02  2.1982193e-04
 -1.0822189e-01]",-0.20680797,-0.20680797,-0.051701993
310,0.484375,"[ 9.8017141e-02 -9.9518472e-01  9.9374771e-02 -2.1982193e-04
 -2.0680797e-01]",-0.36374712,-0.36374712,-0.09093678
320,0.5,"[ 1.2246469e-16 -1.0000000e+00  9.9374771e-02  2.1982193e-04
 -3.6374712e-01]",-0.5244946,-0.5244946,-0.13112365
330,0.515625,"[-9.8017141e-02 -9.9518472e-01  9.9756241e-02  2.1982193e-04
 -5.2449459e-01]",-0.62718666,-0.62718666,-0.15679666
340,0.53125,"[-1.9509032e-01 -9.8078525e-01  1.0013771e-01 -2.1982193e-04
 -6.2718666e-01]",-1.0302374,-1.0302374,-0.25755936
350,0.546875,[-0.29028466 -0.95694035  0.10814857  0.00593405 -1.0302374 ],-1.8205882,-1.8205882,-0.45514706
360,0.5625,[-0.38268343 -0.9238795   0.17299938  0.06087914 -1.8205882 ],-2.666343,-2.666343,-0.66658574
370,0.578125,[-0.47139674 -0.8819213   0.34695244  0.09868135 -2.666343  ],-3.1715434,-3.1715434,-0.79288584
380,0.59375,[-0.55557024 -0.8314696   0.5624857   0.08329668 -3.1715434 ],-3.0656753,-3.0656753,-0.7664188
390,0.609375,[-0.6343933  -0.77301043  0.70286846  0.0248352  -3.0656753 ],-2.618367,-2.618367,-0.65459174
400,0.625,[-0.70710677 -0.70710677  0.6860838  -0.03098898 -2.618367  ],-3.742835,-3.742835,-0.93570876
410,0.640625,"[-7.7301043e-01 -6.3439327e-01  6.2695503e-01  1.0989190e-03
 -3.7428350e+00]",-4.3146987,-4.3146987,-1.0786747
420,0.65625,[-0.8314696  -0.55557024  0.6769285   0.06175823 -4.3146987 ],-5.540908,-5.540908,-1.385227
430,0.671875,[-0.8819213  -0.47139674  0.8607998   0.1641758  -5.540908  ],-5.838617,-5.838617,-1.4596542
440,0.6875,[-0.9238795  -0.38268343  1.126688    0.12417584 -5.838617  ],-6.5040774,-6.5040774,-1.6260194
450,0.703125,[-0.95694035 -0.29028466  1.3048372   0.05384617 -6.5040774 ],-5.6837373,-5.6837373,-1.4209343
460,0.71875,[-0.98078525 -0.19509032  1.333066   -0.01296701 -5.6837373 ],-4.7165504,-4.7165504,-1.1791376
470,0.734375,[-0.9951847  -0.09801714  1.2449455  -0.07318678 -4.7165504 ],-4.2511663,-4.2511663,-1.0627916
480,0.75,"[-1.0000000e+00 -1.8369701e-16  1.0420008e+00 -1.1098900e-01
 -4.2511663e+00]",-3.8369427,-3.8369427,-0.95923567
490,0.765625,[-0.9951847   0.09801714  0.83943653 -0.09824171 -3.8369427 ],-3.3525808,-3.3525808,-0.8381452
500,0.78125,[-0.98078525  0.19509032  0.71545696 -0.05604391 -3.3525808 ],-3.114256,-3.114256,-0.778564
510,0.796875,[-0.95694035  0.29028466  0.6486988  -0.01604395 -3.114256  ],-2.8761194,-2.8761194,-0.71902984
520,0.8125,"[-9.2387950e-01  3.8268343e-01  6.3229561e-01  2.1982193e-04
 -2.8761194e+00]",-2.6118894,-2.6118894,-0.65297234
530,0.828125,[-0.8819213   0.47139674  0.6296253  -0.00857143 -2.6118894 ],-2.352955,-2.352955,-0.5882388
540,0.84375,[-0.8314696   0.55557024  0.5800333  -0.03142853 -2.352955  ],-2.2600017,-2.2600017,-0.5650004
550,0.859375,[-0.77301043  0.6343933   0.50679016 -0.0248352  -2.2600017 ],-2.253459,-2.253459,-0.56336474
560,0.8750000000000001,[-0.70710677  0.70710677  0.45605373 -0.01164837 -2.253459  ],-2.2565522,-2.2565522,-0.56413805
570,0.8906250000000001,[-0.6343933   0.77301043  0.45986843  0.0054945  -2.2565522 ],-2.16124,-2.16124,-0.54031
580,0.9062499999999999,"[-5.5557024e-01  8.3146960e-01  4.5910549e-01 -1.0989190e-03
 -2.1612401e+00]",-1.8020468,-1.8020468,-0.4505117
590,0.9218749999999999,"[-4.7139674e-01  8.8192129e-01  4.5681667e-01 -1.0989190e-03
 -1.8020468e+00]",-0.78985894,-0.78985894,-0.19746473
600,0.9375,[-0.38268343  0.9238795   0.41905117 -0.05736265 -0.78985894],-0.7307334,-0.7307334,-0.18268335
610,0.953125,[-0.29028466  0.95694035  0.25730515 -0.07406598 -0.7307334 ],-0.7027361,-0.7027361,-0.17568402
620,0.96875,[-0.19509032  0.98078525  0.12035561 -0.05076924 -0.7027361 ],-0.53710157,-0.53710157,-0.13427539
630,0.984375,[-0.09801714  0.9951847   0.08030033 -0.00109892 -0.53710157],-0.36280203,-0.36280203,-0.09070051
640,1.0,"[-2.4492937e-16  1.0000000e+00  8.2970619e-02 -2.1982193e-04
 -3.6280203e-01]",-0.24382159,-0.24382159,-0.060955398
650,1.015625,"[ 9.8017141e-02  9.9518472e-01  8.2589149e-02 -6.5937045e-04
 -2.4382159e-01]",-0.07292746,-0.07292746,-0.018231865
660,1.03125,[ 0.19509032  0.98078525  0.07991886  0.00109892 -0.07292746],0.103065215,0.103065215,0.025766304
670,1.046875,"[2.90284663e-01 9.56940353e-01 7.99188614e-02 6.59370446e-04
 1.03065215e-01]",0.43654516,0.43654516,0.10913629
680,1.0625,[ 0.38268343  0.9238795   0.06694889 -0.02615385  0.43654516],1.0561724,1.0561724,0.2640431
690,1.078125,[ 0.47139674  0.8819213  -0.02765656 -0.06835165  1.0561724 ],1.2755343,1.2755343,0.31888357
700,1.09375,[ 0.55557024  0.8314696  -0.17833996 -0.0696703   1.2755343 ],1.2939217,1.2939217,0.32348043
710,1.109375,[ 0.6343933   0.77301043 -0.28286457 -0.01999998  1.2939217 ],1.4390613,1.4390613,0.35976532
720,1.125,[ 0.70710677  0.70710677 -0.29163837  0.0063736   1.4390613 ],1.1136532,1.1136532,0.2784133
730,1.140625,"[ 7.7301043e-01  6.3439327e-01 -2.9011250e-01  6.5937045e-04
  1.1136532e+00]",-0.19696397,-0.19696397,-0.04924099
740,1.15625,[ 0.8314696   0.55557024 -0.24204636  0.07406598 -0.19696397],-0.22425973,-0.22425973,-0.056064934
750,1.171875,[ 0.8819213   0.47139674 -0.05283451  0.08637362 -0.22425973],-0.21505019,-0.21505019,-0.053762548
760,1.1875,[ 0.9238795   0.38268343  0.05283451  0.04197798 -0.21505019],-0.21741104,-0.21741104,-0.05435276
770,1.203125,[ 0.95694035  0.29028466  0.102808    0.01692305 -0.21741104],-0.22904783,-0.22904783,-0.05726196
780,1.21875,"[ 9.80785251e-01  1.95090324e-01  1.09292984e-01 -2.19821930e-04
 -2.29047835e-01]",-0.2520783,-0.2520783,-0.06301957
790,1.234375,"[ 9.95184720e-01  9.80171412e-02  1.08911514e-01 -6.59370446e-04
 -2.52078295e-01]",-0.26831013,-0.26831013,-0.06707753
800,1.25,"[ 1.00000000e+00  3.06161700e-16  1.08911514e-01 -1.09891896e-03
 -2.68310130e-01]",-0.2758091,-0.2758091,-0.06895228
810,1.265625,"[ 9.95184720e-01 -9.80171412e-02  1.09292984e-01 -2.19821930e-04
 -2.75809109e-01]",-0.29766765,-0.29766765,-0.07441691
820,1.28125,"[ 9.80785251e-01 -1.95090324e-01  1.09292984e-01 -2.19821930e-04
 -2.97667652e-01]",-0.288736,-0.288736,-0.072184
830,1.296875,"[ 9.56940353e-01 -2.90284663e-01  1.08911514e-01 -6.59370446e-04
 -2.88735986e-01]",-0.35732436,-0.35732436,-0.08933109
840,1.3125,"[ 9.23879504e-01 -3.82683426e-01  1.08530045e-01 -6.59370446e-04
 -3.57324362e-01]",-0.40303025,-0.40303025,-0.10075756
850,1.328125,"[ 8.8192129e-01 -4.7139674e-01  9.8993301e-02  2.1982193e-04
 -4.0303025e-01]",-0.2609728,-0.2609728,-0.0652432
860,1.34375,"[ 8.3146960e-01 -5.5557024e-01  9.9374771e-02 -2.1982193e-04
 -2.6097280e-01]",-0.15045765,-0.15045765,-0.037614413
870,1.359375,"[ 7.7301043e-01 -6.3439327e-01  9.9374771e-02  2.1982193e-04
 -1.5045765e-01]",-0.06012149,-0.06012149,-0.015030373
880,1.375,"[ 7.0710677e-01 -7.0710677e-01  9.8993301e-02  2.1982193e-04
 -6.0121492e-02]",0.025917567,0.025917567,0.006479392
890,1.390625,[ 0.6343933  -0.77301043  0.09708595 -0.00241756  0.02591757],-0.0988035,-0.0988035,-0.024700874
900,1.40625,"[ 5.5557024e-01 -8.3146960e-01  9.6704483e-02 -2.1982193e-04
 -9.8803498e-02]",-0.15557656,-0.15557656,-0.03889414
910,1.421875,"[ 4.7139674e-01 -8.8192129e-01  9.6704483e-02 -6.5937045e-04
 -1.5557656e-01]",-0.2581047,-0.2581047,-0.06452618
920,1.4375,"[ 3.8268343e-01 -9.2387950e-01  9.6704483e-02  2.1982193e-04
 -2.5810471e-01]",-0.37724385,-0.37724385,-0.09431096
930,1.453125,[ 0.29028466 -0.95694035  0.10013771  0.00241756 -0.37724385],-0.4718144,-0.4718144,-0.1179536
940,1.46875,"[ 1.9509032e-01 -9.8078525e-01  1.0090065e-01 -6.5937045e-04
 -4.7181439e-01]",-0.5376666,-0.5376666,-0.13441665
950,1.484375,"[ 9.8017141e-02 -9.9518472e-01  1.0090065e-01 -2.1982193e-04
 -5.3766662e-01]",-0.5963373,-0.5963373,-0.14908433
960,1.5,"[ 3.6739403e-16 -1.0000000e+00  1.0090065e-01  2.1982193e-04
 -5.9633732e-01]",-0.67632115,-0.67632115,-0.16908029
970,1.515625,"[-9.8017141e-02 -9.9518472e-01  1.0090065e-01 -6.5937045e-04
 -6.7632115e-01]",-0.7671411,-0.7671411,-0.19178528
980,1.53125,"[-1.9509032e-01 -9.8078525e-01  1.0090065e-01  2.1982193e-04
 -7.6714110e-01]",-1.0831608,-1.0831608,-0.2707902
990,1.546875,[-0.29028466 -0.95694035  0.10814857  0.00769234 -1.0831608 ],-1.804141,-1.804141,-0.45103526
1000,1.5625,[-0.38268343 -0.9238795   0.17719555  0.08329668 -1.804141  ],-3.321244,-3.321244,-0.830311
1010,1.578125,[-0.47139674 -0.8819213   0.3702221   0.1312088  -3.321244  ],-4.3899136,-4.3899136,-1.0974784
1020,1.59375,[-0.55557024 -0.8314696   0.6898985   0.16021977 -4.3899136 ],-5.3273206,-5.3273206,-1.3318301
1030,1.609375,[-0.6343933  -0.77301043  1.0030899   0.15934066 -5.3273206 ],-5.2373233,-5.2373233,-1.3093308
1040,1.625,[-0.70710677 -0.70710677  1.2026014   0.05560436 -5.2373233 ],-6.0228243,-6.0228243,-1.5057061
1050,1.640625,"[-7.7301043e-01 -6.3439327e-01  1.2243462e+00  1.0989190e-03
 -6.0228243e+00]",-5.4556923,-5.4556923,-1.3639231
1060,1.65625,"[-8.3146960e-01 -5.5557024e-01  1.2270164e+00 -6.5937045e-04
 -5.4556923e+00]",-4.65213,-4.65213,-1.1630325
1070,1.671875,[-0.8819213  -0.47139674  1.1953535  -0.05120878 -4.65213   ],-4.3518825,-4.3518825,-1.0879706
1080,1.6875,[-0.9238795  -0.38268343  1.0507746  -0.0898901  -4.3518825 ],-4.079429,-4.079429,-1.0198573
1090,1.703125,[-0.95694035 -0.29028466  0.88941    -0.06395607 -4.079429  ],-3.7027707,-3.7027707,-0.9256927
1100,1.71875,[-0.98078525 -0.19509032  0.78603077 -0.04637365 -3.7027707 ],-3.5929353,-3.5929353,-0.89823383
1110,1.7343750000000002,[-0.9951847  -0.09801714  0.73758316 -0.00769234 -3.5929353 ],-3.486756,-3.486756,-0.871689
1120,1.7500000000000002,"[-1.0000000e+00  1.3477304e-15  7.2842789e-01  3.2966614e-03
 -3.4867561e+00]",-3.2521527,-3.2521527,-0.8130382
1130,1.7656250000000002,"[-9.9518472e-01  9.8017141e-02  7.2804642e-01 -2.1982193e-04
 -3.2521527e+00]",-3.1177156,-3.1177156,-0.7794289
