step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -5.5313110e-03  2.1982193e-04
  0.0000000e+00]",0.63035446,0.63035446,0.15758862
10,0.15625,"[ 8.3146960e-01  5.5557024e-01 -5.5313110e-03 -2.1982193e-04
  6.3035446e-01]",0.033152856,0.033152856,0.008288214
20,0.3125,"[ 9.2387950e-01 -3.8268343e-01 -5.5313110e-03 -2.1982193e-04
  3.3152856e-02]",-0.061460476,-0.061460476,-0.015365119
30,0.46875,"[ 1.9509032e-01 -9.8078525e-01 -5.5313110e-03 -6.5937045e-04
 -6.1460476e-02]",-0.116253406,-0.116253406,-0.029063351
40,0.625,"[-7.07106769e-01 -7.07106769e-01 -5.53131104e-03  2.19821930e-04
 -1.16253406e-01]",-0.51727074,-0.51727074,-0.12931769
50,0.78125,[-0.98078525  0.19509032  0.00400543  0.00945053 -0.51727074],-0.7325364,-0.7325364,-0.1831341
60,0.9375,[-0.38268343  0.9238795   0.05664921  0.0375824  -0.7325364 ],-0.019965418,-0.019965418,-0.0049913544
70,1.09375,[ 0.55557024  0.8314696   0.10433388 -0.00769234 -0.01996542],-0.08291659,-0.08291659,-0.020729147
80,1.25,"[ 1.0000000e+00  3.0616170e-16  7.9918861e-02 -1.2967015e-02
 -8.2916588e-02]",-0.15549606,-0.15549606,-0.038874015
90,1.40625,[ 0.55557024 -0.8314696   0.06313419 -0.00505495 -0.15549606],-0.15247658,-0.15247658,-0.038119145
100,1.5625,[-0.38268343 -0.9238795   0.06466007 -0.00241756 -0.15247658],-0.030782022,-0.030782022,-0.0076955054
110,1.71875,"[-9.8078525e-01 -1.9509032e-01  6.4278603e-02 -2.1982193e-04
 -3.0782022e-02]",0.04382664,0.04382664,0.01095666
120,1.875,"[-7.0710677e-01  7.0710677e-01  6.4278603e-02 -2.1982193e-04
  4.3826640e-02]",-0.042823732,-0.042823732,-0.010705933
130,2.03125,"[ 1.9509032e-01  9.8078525e-01  6.4278603e-02 -6.5937045e-04
 -4.2823732e-02]",-0.13196582,-0.13196582,-0.032991454
140,2.1875,"[ 9.2387950e-01  3.8268343e-01  6.4278603e-02 -2.1982193e-04
 -1.3196582e-01]",-0.13646853,-0.13646853,-0.034117132
150,2.34375,"[ 8.3146960e-01 -5.5557024e-01  6.4278603e-02 -2.1982193e-04
 -1.3646853e-01]",-0.27253672,-0.27253672,-0.06813418
160,2.5,"[ 6.1232340e-16 -1.0000000e+00  6.4660072e-02 -6.5937045e-04
 -2.7253672e-01]",-0.45228255,-0.45228255,-0.11307064
170,2.65625,[-0.8314696  -0.55557024  0.06618595 -0.00109892 -0.45228255],-0.72875243,-0.72875243,-0.18218811
180,2.8125,"[-9.2387950e-01  3.8268343e-01  6.7711830e-02 -2.1982193e-04
 -7.2875243e-01]",-0.3414014,-0.3414014,-0.08535035
190,2.96875,"[-1.9509032e-01  9.8078525e-01  6.6185951e-02 -2.1982193e-04
 -3.4140140e-01]",-0.2394034,-0.2394034,-0.05985085
200,3.125,[ 0.70710677  0.70710677  0.06580448 -0.00109892 -0.2394034 ],-0.22805715,-0.22805715,-0.057014287
210,3.28125,"[ 9.8078525e-01 -1.9509032e-01  6.5804482e-02 -2.1982193e-04
 -2.2805715e-01]",-0.27826166,-0.27826166,-0.069565415
220,3.4375,"[ 3.8268343e-01 -9.2387950e-01  6.5804482e-02  2.1982193e-04
 -2.7826166e-01]",-0.308039,-0.308039,-0.07700975
230,3.5937500000000004,"[-5.5557024e-01 -8.3146960e-01  6.5804482e-02 -2.1982193e-04
 -3.0803901e-01]",-0.47869596,-0.47869596,-0.11967399
240,3.75,"[-1.0000000e+00 -2.6948419e-15  6.6185951e-02 -1.0989190e-03
 -4.7869596e-01]",-0.58281785,-0.58281785,-0.14570446
250,3.90625,"[-5.5557024e-01  8.3146960e-01  6.6185951e-02 -2.1982193e-04
 -5.8281785e-01]",-0.7546834,-0.7546834,-0.18867084
260,4.0625,[ 0.38268343  0.9238795   0.07000065  0.00241756 -0.7546834 ],-0.80508506,-0.80508506,-0.20127127
270,4.21875,"[ 9.8078525e-01  1.9509032e-01  7.0763588e-02 -2.1982193e-04
 -8.0508506e-01]",-0.68002856,-0.68002856,-0.17000714
