step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00  2.0980835e-03 -6.5937045e-04
  0.0000000e+00]",-0.45682552,-0.45682552,-0.11420638
4,0.015625,"[ 9.8017141e-02  9.9518472e-01  2.0980835e-03 -2.1982193e-04
 -4.5682552e-01]",-0.4806229,-0.4806229,-0.12015572
8,0.03125,"[ 1.9509032e-01  9.8078525e-01  2.0980835e-03 -2.1982193e-04
 -4.8062289e-01]",-0.5437934,-0.5437934,-0.13594835
12,0.046875,"[ 2.9028466e-01  9.5694035e-01  2.0980835e-03 -6.5937045e-04
 -5.4379338e-01]",-0.6390306,-0.6390306,-0.15975764
16,0.0625,"[ 3.8268343e-01  9.2387950e-01  2.0980835e-03 -2.1982193e-04
 -6.3903058e-01]",-0.77769554,-0.77769554,-0.19442388
20,0.078125,[ 0.47139674  0.8819213  -0.01430511 -0.05164833 -0.77769554],-0.9485744,-0.9485744,-0.2371436
24,0.09375,[ 0.55557024  0.8314696  -0.07801151 -0.09648352 -0.9485744 ],-1.0936453,-1.0936453,-0.27341133
28,0.10937500000000001,[ 0.6343933   0.77301043 -0.15659618 -0.09780216 -1.0936453 ],-1.2475237,-1.2475237,-0.31188092
32,0.125,[ 0.70710677  0.70710677 -0.22793198 -0.08681317 -1.2475237 ],-1.3790872,-1.3790872,-0.3447718
36,0.140625,[ 0.77301043  0.6343933  -0.2805748  -0.06043959 -1.3790872 ],-1.573941,-1.573941,-0.39348525
40,0.15625,[ 0.8314696   0.55557024 -0.31681538 -0.03494501 -1.573941  ],-1.8516786,-1.8516786,-0.46291965
44,0.171875,[ 0.8819213   0.47139674 -0.3473339  -0.03230772 -1.8516786 ],-2.035895,-2.035895,-0.5089738
48,0.1875,[ 0.9238795   0.38268343 -0.38700676 -0.0569231  -2.035895  ],-2.10868,-2.10868,-0.52717
52,0.203125,[ 0.95694035  0.29028466 -0.4377432  -0.06000004 -2.10868   ],-2.1568022,-2.1568022,-0.53920054
56,0.21875000000000003,[ 0.98078525  0.19509032 -0.4873352  -0.05428572 -2.1568022 ],-2.1801965,-2.1801965,-0.54504913
60,0.234375,[ 0.9951847   0.09801714 -0.5205231  -0.03802195 -2.1801965 ],-2.0378091,-2.0378091,-0.5094523
64,0.25,"[ 1.0000000e+00  6.1232343e-17 -5.3730869e-01 -9.8900795e-03
 -2.0378091e+00]",-1.995214,-1.995214,-0.4988035
68,0.265625,[ 0.9951847  -0.09801714 -0.533494    0.01252747 -1.995214  ],-1.9416147,-1.9416147,-0.4854037
72,0.28125,[ 0.98078525 -0.19509032 -0.52204895  0.01384611 -1.9416147 ],-1.9635853,-1.9635853,-0.4908963
76,0.296875,[ 0.95694035 -0.29028466 -0.509079    0.01340656 -1.9635853 ],-1.896507,-1.896507,-0.47412676
80,0.3125,[ 0.9238795  -0.38268343 -0.49916077  0.00813189 -1.896507  ],-1.763391,-1.763391,-0.44084775
84,0.328125,[ 0.8819213  -0.47139674 -0.49076843  0.00681314 -1.763391  ],-1.691888,-1.691888,-0.422972
88,0.34375,[ 0.8314696  -0.55557024 -0.47932434  0.0248352  -1.691888  ],-1.5519133,-1.5519133,-0.38797832
92,0.359375,[ 0.77301043 -0.6343933  -0.45948696  0.02175827 -1.5519133 ],-1.3382248,-1.3382248,-0.3345562
96,0.375,[ 0.70710677 -0.70710677 -0.43316555  0.0367033  -1.3382248 ],-1.0616071,-1.0616071,-0.26540178
100,0.390625,[ 0.6343933  -0.77301043 -0.39692497  0.04461537 -1.0616071 ],-0.7764621,-0.7764621,-0.19411552
104,0.40625,[ 0.55557024 -0.8314696  -0.34657097  0.0595604  -0.7764621 ],-0.5453177,-0.5453177,-0.13632943
108,0.421875,[ 0.47139674 -0.8819213  -0.2813387   0.09648352 -0.5453177 ],-0.40015844,-0.40015844,-0.10003961
112,0.43750000000000006,[ 0.38268343 -0.9238795  -0.21000195  0.07934065 -0.40015844],-0.24813937,-0.24813937,-0.06203484
116,0.45312499999999994,[ 0.29028466 -0.95694035 -0.14591408  0.07142859 -0.24813937],-0.14164741,-0.14164741,-0.035411853
120,0.46875,[ 0.19509032 -0.98078525 -0.09670448  0.05032969 -0.14164741],-0.1756192,-0.1756192,-0.0439048
124,0.484375,[ 0.09801714 -0.9951847  -0.06160831  0.03406591 -0.1756192 ],-0.18831675,-0.18831675,-0.047079187
128,0.5,"[ 1.2246469e-16 -1.0000000e+00 -4.2534828e-02  1.1208820e-02
 -1.8831675e-01]",-0.18175687,-0.18175687,-0.045439217
132,0.515625,"[-9.8017141e-02 -9.9518472e-01 -4.1008949e-02 -6.5937045e-04
 -1.8175687e-01]",-0.15768011,-0.15768011,-0.039420027
136,0.53125,"[-1.9509032e-01 -9.8078525e-01 -4.1008949e-02 -6.5937045e-04
 -1.5768011e-01]",-0.13235433,-0.13235433,-0.033088583
140,0.546875,"[-2.9028466e-01 -9.5694035e-01 -4.1008949e-02 -2.1982193e-04
 -1.3235433e-01]",-0.11227534,-0.11227534,-0.028068835
