step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -1.4305115e-02 -2.1982193e-04
  0.0000000e+00]",[2.2941384],[2.2941384],[0.5735346]
1,0.015625,"[ 9.8017141e-02  9.9518472e-01 -1.4305115e-02  2.1982193e-04
  2.2941384e+00]",[2.4532337],[2.4532337],[0.6133084]
2,0.03125,"[ 1.9509032e-01  9.8078525e-01 -1.4305115e-02 -6.5937045e-04
  2.4532337e+00]",[2.5345964],[2.5345964],[0.6336491]
3,0.046875,"[ 2.9028466e-01  9.5694035e-01 -1.4305115e-02  2.1982193e-04
  2.5345964e+00]",[2.7130203],[2.7130203],[0.6782551]
4,0.0625,"[ 3.8268343e-01  9.2387950e-01 -1.4305115e-02  2.1982193e-04
  2.7130203e+00]",[2.9483395],[2.9483395],[0.73708487]
5,0.078125,"[ 4.7139674e-01  8.8192129e-01 -1.4305115e-02 -1.0989190e-03
  2.9483395e+00]",[3.0712614],[3.0712614],[0.76781535]
6,0.09375,"[ 5.5557024e-01  8.3146960e-01 -1.4305115e-02 -6.5937045e-04
  3.0712614e+00]",[3.2050114],[3.2050114],[0.80125284]
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01 -1.4305115e-02 -2.1982193e-04
  3.2050114e+00]",[3.2741838],[3.2741838],[0.81854594]
8,0.125,"[ 7.0710677e-01  7.0710677e-01 -1.4305115e-02 -6.5937045e-04
  3.2741838e+00]",[3.2962239],[3.2962239],[0.82405597]
9,0.140625,"[ 7.7301043e-01  6.3439327e-01 -1.4305115e-02 -6.5937045e-04
  3.2962239e+00]",[3.2652469],[3.2652469],[0.8163117]
10,0.15625,"[ 8.3146960e-01  5.5557024e-01 -1.4305115e-02 -6.5937045e-04
  3.2652469e+00]",[2.947007],[2.947007],[0.73675174]
11,0.171875,"[ 8.8192129e-01  4.7139674e-01 -1.4305115e-02 -1.0989190e-03
  2.9470069e+00]",[2.4023662],[2.4023662],[0.60059154]
12,0.1875,"[ 9.2387950e-01  3.8268343e-01 -1.4305115e-02 -6.5937045e-04
  2.4023662e+00]",[1.9204488],[1.9204488],[0.4801122]
13,0.203125,"[ 9.5694035e-01  2.9028466e-01 -1.4305115e-02 -2.1982193e-04
  1.9204488e+00]",[1.8931544],[1.8931544],[0.4732886]
14,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01 -1.4305115e-02 -1.0989190e-03
  1.8931544e+00]",[3.0202143],[3.0202143],[0.7550536]
15,0.234375,"[ 9.9518472e-01  9.8017141e-02 -1.4305115e-02  2.1982193e-04
  3.0202143e+00]",[3.2170463],[3.2170463],[0.80426157]
16,0.25,"[ 1.0000000e+00  6.1232343e-17 -1.4305115e-02 -2.1982193e-04
  3.2170463e+00]",[3.2810621],[3.2810621],[0.82026553]
17,0.265625,"[ 9.9518472e-01 -9.8017141e-02 -1.4305115e-02  2.1982193e-04
  3.2810621e+00]",[3.2884548],[3.2884548],[0.8221137]
18,0.28125,"[ 9.8078525e-01 -1.9509032e-01 -1.4305115e-02 -6.5937045e-04
  3.2884548e+00]",[3.3337672],[3.3337672],[0.8334418]
19,0.296875,[ 0.95694035 -0.29028466 -0.01010895  0.04021978  3.3337672 ],[3.3741176],[3.3741176],[0.8435294]
20,0.3125,[ 0.9238795  -0.38268343  0.00782013  0.13472529  3.3741176 ],[3.3979745],[3.3979745],[0.8494936]
21,0.328125,[ 0.8819213  -0.47139674  0.04215336  0.19186811  3.3979745 ],[3.4079037],[3.4079037],[0.8519759]
22,0.34375,[ 0.8314696  -0.55557024  0.0894556   0.27274725  3.4079037 ],[3.3916183],[3.3916183],[0.84790456]
23,0.359375,[ 0.77301043 -0.6343933   0.14591408  0.2991209   3.3916183 ],[3.3852506],[3.3852506],[0.84631264]
24,0.375,[ 0.70710677 -0.70710677  0.20962048  0.32329676  3.3852506 ],[3.3650863],[3.3650863],[0.8412716]
25,0.390625,[ 0.6343933  -0.77301043  0.27714157  0.33912086  3.3650863 ],[3.311527],[3.311527],[0.82788175]
26,0.40625,[ 0.55557024 -0.8314696   0.3450451   0.33999997  3.311527  ],[3.121935],[3.121935],[0.7804837]
27,0.421875,[ 0.47139674 -0.8819213   0.41332912  0.3457143   3.121935  ],[2.5550425],[2.5550425],[0.6387606]
28,0.43750000000000006,[ 0.38268343 -0.9238795   0.48046875  0.32725278  2.5550425 ],[1.7592099],[1.7592099],[0.43980247]
29,0.45312499999999994,[ 0.29028466 -0.95694035  0.54531956  0.3092308   1.7592099 ],[1.0050285],[1.0050285],[0.25125712]
30,0.46875,[ 0.19509032 -0.98078525  0.6044483   0.28681317  1.0050285 ],[0.9165994],[0.9165994],[0.22914985]
31,0.484375,[ 0.09801714 -0.9951847   0.65785503  0.2529671   0.9165994 ],[0.84386367],[0.84386367],[0.21096592]
32,0.5,"[ 1.2246469e-16 -1.0000000e+00  7.0324993e-01  1.9230767e-01
  8.4386367e-01]",[0.6673693],[0.6673693],[0.16684233]
33,0.515625,[-0.09801714 -0.9951847   0.7356758   0.1421978   0.6673693 ],[0.2952328],[0.2952328],[0.0738082]
34,0.53125,[-0.19509032 -0.98078525  0.752079    0.0375824   0.2952328 ],[-0.5010883],[-0.5010883],[-0.12527208]
35,0.546875,[-0.29028466 -0.95694035  0.7524605  -0.03318682 -0.5010883 ],[-1.3297958],[-1.3297958],[-0.33244896]
36,0.5625,[-0.38268343 -0.9238795   0.7394905  -0.10351648 -1.3297958 ],[-2.1017647],[-2.1017647],[-0.52544117]
37,0.578125,[-0.47139674 -0.8819213   0.7162199  -0.13648354 -2.1017647 ],[-3.2765803],[-3.2765803],[-0.8191451]
38,0.59375,[-0.55557024 -0.8314696   0.68303204 -0.20373626 -3.2765803 ],[-3.1475236],[-3.1475236],[-0.7868809]
39,0.609375,[-0.6343933  -0.77301043  0.6383991  -0.25384617 -3.1475236 ],[-3.7342467],[-3.7342467],[-0.9335617]
40,0.625,[-0.70710677 -0.70710677  0.58194065 -0.31846157 -3.7342467 ],[-4.0270524],[-4.0270524],[-1.0067631]
41,0.640625,[-0.77301043 -0.6343933   0.5102234  -0.39406595 -4.0270524 ],[-3.92946],[-3.92946],[-0.982365]
