step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,0.0625,"[ 3.82683426e-01  9.23879504e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  2.61306763e-03  2.75204461e-02 -5.06805442e-03
 -4.79898453e-02  3.88211310e-02  2.57676899e-01  4.85048294e-02
 -3.40054333e-02 -2.85012815e-02  6.93521500e-02 -4.88016605e-02
 -2.75697857e-01 -5.53131104e-03 -2.09808350e-03 -1.19592667e-01
  5.81750870e-02 -9.53674316e-04 -9.19342041e-03  1.00137711e-01
  6.27527237e-02  3.60498428e-02 -7.20977783e-03 -2.19821930e-04
 -6.59370446e-04 -6.59370446e-04 -1.09891896e-03 -2.06743469e-04
  5.39633853e-04 -2.19821930e-04 -2.19821930e-04 -6.59370446e-04
 -2.19821930e-04  9.56597319e-07 -1.79263559e-04 -2.19821930e-04
  2.19821930e-04 -2.19821930e-04 -6.59370446e-04 -6.59370446e-04
 -2.19821930e-04 -6.59370446e-04 -6.59370446e-04  2.19821930e-04
 -2.19821930e-04 -1.00543767e-01  2.33117223e-01 -5.77299893e-02
  2.32147127e-01  3.42291772e-01  1.17513016e-01  3.27070281e-02
  4.61607248e-01 -3.06856751e-01  4.06528078e-02 -3.24423909e-01
  4.55714107e-01 -5.36303930e-02  4.27452438e-02 -2.87420571e-01
 -1.93173945e-01 -3.60243432e-02 -7.15095580e-01 -3.82479072e-01
 -2.34858468e-02  1.35854483e-02  6.97231293e-03 -5.81194647e-04
  2.11746828e-03 -2.94960628e-05]","[-0.02629191  0.06400835 -0.02156988  0.05712768  0.08661408  0.01608414
  0.02661278  0.12327185 -0.08211888  0.01415032 -0.09144828  0.13148274
 -0.00363901  0.00215837 -0.0810298  -0.0342827  -0.00277392 -0.19081211
 -0.07016055 -0.00634314 -0.00813443  0.03556012]","[-0.21546700596809387, 0.030913157388567924, -0.029561858624219894, -0.3554215133190155, 0.2898150682449341, -0.1861845850944519, 0.20238421857357025, 0.11965985596179962, -0.059433795511722565, 0.4084598124027252, -0.29462891817092896, 0.31558555364608765, -0.004865344613790512, 0.006122432183474302, -0.05382265895605087, -0.036243047565221786, -0.0058437734842300415, -0.931850254535675, -0.05883146449923515, -0.0035363708157092333, -0.0023353928700089455, 0.8221520185470581]"
20,0.140625,"[ 7.73010433e-01  6.34393275e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  2.61306763e-03  2.75204461e-02 -5.06805442e-03
 -4.79898453e-02  3.88211310e-02  2.57676899e-01  4.85048294e-02
 -3.40054333e-02 -2.85012815e-02  6.93521500e-02 -4.88016605e-02
 -2.75697857e-01 -5.53131104e-03 -2.09808350e-03 -1.19592667e-01
  5.81750870e-02 -9.53674316e-04 -9.19342041e-03  1.00137711e-01
  6.27527237e-02  3.60498428e-02 -7.20977783e-03 -2.19821930e-04
  2.19821930e-04 -1.09891896e-03  2.19821930e-04 -1.02653903e-04
  3.60624748e-04  2.19821930e-04  2.19821930e-04  2.19821930e-04
 -2.19821930e-04  2.86937711e-06 -5.37712884e-04 -6.59370446e-04
 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04  2.19821930e-04
 -6.59370446e-04  6.59370446e-04  6.59370446e-04  2.19821930e-04
 -2.19821930e-04 -1.95336387e-01  2.64255106e-01 -6.76929355e-02
  2.23434240e-01  4.67219889e-01 -5.71647808e-02  2.34305367e-01
  5.37261784e-01 -3.33193809e-01  1.08856276e-01 -4.60606575e-01
  5.62516272e-01 -2.02933121e-02  1.80555172e-02 -3.72302592e-01
 -1.69678688e-01  1.21891499e-03 -1.15451407e+00 -4.67167735e-01
 -5.15472926e-02 -5.07074222e-03  4.56146747e-02 -3.57932120e-04
  2.85848300e-03 -2.38289795e-04]","[-0.04884688  0.06888277 -0.01647918  0.05393562  0.12051195 -0.02382885
  0.06733093  0.13635166 -0.08256915  0.02988339 -0.1243045   0.1462297
 -0.00854174 -0.00049581 -0.12445422 -0.03659552 -0.00153475 -0.28845274
 -0.11552584 -0.01657348 -0.0089018   0.02653745]","[-0.2908878028392792, 0.03585018590092659, -0.02789241261780262, -0.44374901056289673, 0.3962521255016327, -0.27680957317352295, 0.299344003200531, 0.16108179092407227, -0.07228501886129379, 0.5233557224273682, -0.3975296914577484, 0.4085955023765564, -0.006439982447773218, 0.0025778193958103657, -0.09954770654439926, -0.03873336315155029, -0.0017267304938286543, -1.2545872926712036, -0.10278834402561188, -0.011757588014006615, -0.005175678059458733, 1.0214775800704956]"
30,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  2.6130676e-03  2.7520446e-02 -5.0680544e-03
 -4.7989845e-02  3.8821131e-02  2.5767690e-01  4.8504829e-02
 -3.4005433e-02 -2.8501282e-02  6.9352150e-02 -4.8801661e-02
 -2.7569786e-01 -5.5313110e-03 -2.0980835e-03 -1.1959267e-01
  5.8175087e-02 -9.5367432e-04 -9.1934204e-03  1.0013771e-01
  6.2752724e-02  3.6049843e-02 -7.2097778e-03 -6.5937045e-04
 -2.1982193e-04  6.5937045e-04 -6.5937045e-04  1.4356667e-06
  1.8161566e-04  2.1982193e-04 -6.5937045e-04 -1.0989190e-03
 -2.1982193e-04  9.5659732e-07 -1.7926356e-04 -2.1982193e-04
 -2.1982193e-04  6.5937045e-04  2.1982193e-04 -6.5937045e-04
 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04  2.1982193e-04
 -6.5937045e-04 -2.5543311e-01  3.0195621e-01 -7.9963908e-02
  2.0460966e-01  5.1415282e-01 -1.5312302e-01  3.0944732e-01
  5.7069027e-01 -3.4469172e-01  1.4654256e-01 -5.5199343e-01
  6.2705946e-01 -3.4081463e-02 -5.4256245e-04 -4.4302228e-01
 -1.5313479e-01  3.7875772e-04 -1.3488806e+00 -5.1713049e-01
 -7.6078743e-02 -2.0728454e-02  8.0537766e-02 -9.9611178e-04
  2.3006930e-03 -9.9389511e-04]","[-0.06232408  0.07758084 -0.02003156  0.05042992  0.12628202 -0.0427376
  0.07893585  0.14237168 -0.08462501  0.03786068 -0.14188409  0.16184174
 -0.00788193 -0.00250335 -0.13002315 -0.04033456 -0.00089997 -0.3321314
 -0.13171126 -0.02044602 -0.0088159   0.02280281]","[-0.3086538314819336, 0.04357227310538292, -0.028558695688843727, -0.44794341921806335, 0.41533997654914856, -0.30475589632987976, 0.32513806223869324, 0.1707138568162918, -0.07463674992322922, 0.5348137021064758, -0.42346903681755066, 0.42426860332489014, -0.008006403222680092, -0.000808288692496717, -0.12075722962617874, -0.038775473833084106, -0.00047140996321104467, -1.3214761018753052, -0.12623079121112823, -0.01840226538479328, -0.007114982698112726, 1.0223374366760254]"
40,0.296875,"[ 9.56940353e-01 -2.90284663e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  2.61306763e-03  2.75204461e-02 -5.06805442e-03
 -4.79898453e-02  3.88211310e-02  2.57676899e-01  4.85048294e-02
 -3.40054333e-02 -2.85012815e-02  6.93521500e-02 -4.88016605e-02
 -2.75697857e-01 -5.53131104e-03 -2.09808350e-03 -1.19592667e-01
  5.81750870e-02 -9.53674316e-04 -9.19342041e-03  1.00137711e-01
  6.27527237e-02  3.60498428e-02 -7.20977783e-03 -6.59370446e-04
 -6.59370446e-04  2.19821930e-04  2.19821930e-04 -1.02653903e-04
  3.60624748e-04 -6.59370446e-04 -2.19821930e-04  6.59370446e-04
  2.19821930e-04 -1.02664453e-04 -3.56706587e-04 -2.19821930e-04
 -2.19821930e-04 -6.59370446e-04 -2.19821930e-04 -2.19821930e-04
 -2.19821930e-04 -2.19821930e-04  2.19821930e-04  2.19821930e-04
 -2.19821930e-04 -2.55150706e-01  3.34468186e-01 -1.07381225e-01
  1.96779549e-01  4.41308826e-01 -1.70010239e-01  2.52890557e-01
  5.57881892e-01 -3.40338588e-01  1.45929679e-01 -5.69162786e-01
  6.81638479e-01 -3.88730168e-02 -1.05915740e-02 -4.18331027e-01
 -1.56999424e-01 -1.48684382e-02 -1.26646423e+00 -5.03934205e-01
 -8.60581249e-02 -2.36671641e-02  7.46813491e-02  7.21012941e-04
 -8.13969178e-04 -2.54072831e-03]","[-0.06127867  0.08683907 -0.02854196  0.04909615  0.10300113 -0.04155818
  0.05677661  0.13861719 -0.08465195  0.0353654  -0.14074944  0.17336166
 -0.0092101  -0.00282196 -0.10896815 -0.04218713 -0.00448705 -0.30381778
 -0.12356406 -0.02042209 -0.00740058  0.0157858 ]","[-0.3133232593536377, 0.0521659255027771, -0.03461755812168121, -0.45046690106391907, 0.40536704659461975, -0.312940388917923, 0.3184272050857544, 0.17063264548778534, -0.07490371912717819, 0.5370142459869385, -0.4324049949645996, 0.4379729926586151, -0.00900765135884285, -0.002568328520283103, -0.11471777409315109, -0.04024998098611832, -0.0026570837944746017, -1.3219044208526611, -0.1280115395784378, -0.02086840756237507, -0.0072320993058383465, 1.019275188446045]"
50,0.375,"[ 7.0710677e-01 -7.0710677e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  2.6130676e-03  2.7520446e-02 -5.0680544e-03
 -4.7989845e-02  3.8821131e-02  2.5767690e-01  4.8504829e-02
 -3.4005433e-02 -2.8501282e-02  6.9352150e-02 -4.8801661e-02
 -2.7569786e-01 -5.5313110e-03 -2.0980835e-03 -1.1959267e-01
  5.8175087e-02 -9.5367432e-04 -9.1934204e-03  1.0013771e-01
  6.2752724e-02  3.6049843e-02 -7.2097778e-03  2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -6.5937045e-04  7.1770878e-06
  9.0792071e-04 -2.1982193e-04 -2.1982193e-04  6.5937045e-04
  2.1982193e-04  2.1013395e-04 -1.8278832e-04 -2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -6.5937045e-04 -2.1982193e-04
 -2.1982193e-04 -2.0974393e-01  3.6318213e-01 -1.5237458e-01
  1.9664466e-01  2.6536110e-01 -1.0160697e-01  7.9890221e-02
  5.0819904e-01 -3.2977372e-01  1.0749900e-01 -5.1494020e-01
  7.1586818e-01 -4.4366002e-02 -1.1388857e-02 -2.9289037e-01
 -1.7458174e-01 -4.2940926e-02 -9.2702317e-01 -4.0335843e-01
 -7.5094655e-02 -1.6584896e-02  6.3367039e-02 -3.2107075e-04
  2.0082805e-03 -2.5354226e-03]","[-0.04828363  0.09324142 -0.04050383  0.04836906  0.05630857 -0.01864669
  0.00747125  0.12500425 -0.08253013  0.02429923 -0.12297616  0.1780995
 -0.01024587 -0.00109852 -0.06621668 -0.04533044 -0.01110216 -0.2131539
 -0.09472164 -0.01524142 -0.00492139  0.01184675]","[-0.30492183566093445, 0.06010628491640091, -0.045136138796806335, -0.4511789381504059, 0.368643581867218, -0.3000960946083069, 0.28098779916763306, 0.1609732210636139, -0.07333677262067795, 0.529517650604248, -0.4232211709022522, 0.44679880142211914, -0.010219885036349297, -0.002291656332090497, -0.08419274538755417, -0.04336319491267204, -0.008454741910099983, -1.2551301717758179, -0.10814158618450165, -0.018538814038038254, -0.005549587309360504, 1.0144039392471313]"
60,0.45312499999999994,"[ 2.9028466e-01 -9.5694035e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  2.6130676e-03  2.7520446e-02 -5.0680544e-03
 -4.7989845e-02  3.8821131e-02  2.5767690e-01  4.8504829e-02
 -3.4005433e-02 -2.8501282e-02  6.9352150e-02 -4.8801661e-02
 -2.7569786e-01 -5.5313110e-03 -2.0980835e-03 -1.1959267e-01
  5.8175087e-02 -9.5367432e-04 -9.1934204e-03  1.0013771e-01
  6.2752724e-02  3.6049843e-02 -7.2097778e-03  2.1982193e-04
  2.1982193e-04  6.5937045e-04  2.1982193e-04  1.4356667e-06
  1.8161566e-04 -2.1982193e-04  2.1982193e-04 -2.1982193e-04
 -6.5937045e-04 -2.1013395e-04  1.8278832e-04  2.1982193e-04
  2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -6.5937045e-04
 -2.1982193e-04 -6.5937045e-04  2.1982193e-04 -6.5937045e-04
  2.1982193e-04 -1.5701149e-01  3.7458158e-01 -2.0430680e-01
  1.7808285e-01  4.8352867e-02  5.8522515e-02 -1.5199614e-01
  4.2757493e-01 -3.1483948e-01  5.2265033e-02 -4.3052685e-01
  6.9942248e-01 -5.0407108e-02 -3.8635172e-03 -8.9964531e-02
 -1.9774660e-01 -7.3366940e-02 -4.3377045e-01 -2.2667846e-01
 -4.7613092e-02 -8.0157593e-03  1.3992190e-01  1.3912159e-02
 -7.8827273e-03  4.7945941e-04]","[-0.04110276  0.09374559 -0.05283789  0.04221703  0.00521063  0.02507627
 -0.04716847  0.10530508 -0.07826269  0.01005486 -0.10359516  0.16887146
 -0.01156022  0.00226129 -0.00686723 -0.04762179 -0.01579638 -0.09337016
 -0.04665146 -0.00645146 -0.00293453  0.03375177]","[-0.2927233576774597, 0.06359067559242249, -0.05762893334031105, -0.4544438421726227, 0.3177146315574646, -0.2652139663696289, 0.22646860778331757, 0.14304940402507782, -0.06994108855724335, 0.5161531567573547, -0.40363386273384094, 0.4447508156299591, -0.011345879174768925, -7.46460646041669e-05, -0.03393668681383133, -0.04726569354534149, -0.015061825513839722, -1.142865538597107, -0.06824571639299393, -0.011853408068418503, -0.003283072728663683, 1.0245835781097412]"
70,0.53125,"[-1.9509032e-01 -9.8078525e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  1.4686584e-03  3.5531312e-02 -9.6456911e-03
 -4.7226906e-02  5.6532711e-02  2.2985862e-01  4.8123360e-02
 -3.0190734e-02 -3.6893614e-02  7.0115089e-02 -5.0078064e-02
 -2.7443430e-01 -5.5313110e-03 -2.0980835e-03 -1.1959267e-01
  5.8175087e-02 -9.5367432e-04 -3.8186073e-02  9.7085953e-02
  6.2752724e-02  3.6049843e-02 -7.2097778e-03  6.5937045e-04
  3.2966614e-03 -7.2527886e-03 -9.0109827e-03  1.4979146e-02
 -3.6472142e-02 -2.1982193e-04 -6.5937045e-04 -1.0329628e-02
  2.8571130e-03 -2.1037119e-03  3.0740639e-03 -2.1982193e-04
  2.1982193e-04 -6.5937045e-04  6.5937045e-04 -2.1982193e-04
 -5.7362653e-02 -4.6154023e-03 -1.0989190e-03 -6.5937045e-04
 -2.1982193e-04 -2.5503141e-01  2.9969826e-01 -1.9174778e-01
  9.6710533e-02 -2.9891443e-02  2.7379835e-01 -2.2325173e-01
  3.2667980e-01 -2.6834688e-01  3.6596835e-02 -4.6769699e-01
  5.6428564e-01 -8.0239430e-02  9.1627203e-03  1.4764300e-01
 -1.7778316e-01 -7.2898373e-02 -6.4510621e-02  1.7599788e-02
  2.4448857e-03  7.2009787e-03  4.7175831e-01  2.8736409e-02
 -2.7717749e-02 -1.1326152e-01]","[-0.07157256  0.05852822 -0.04291961  0.02095927 -0.0077002   0.08273973
 -0.05266616  0.08199712 -0.06460519  0.011676   -0.11481687  0.13066
 -0.01832499  0.00946613  0.0624562  -0.04263577 -0.01152948 -0.01934375
  0.01848917  0.00540599  0.00218833  0.12446254]","[-0.3053976893424988, 0.044544193893671036, -0.05750079080462456, -0.4698081612586975, 0.28676724433898926, -0.21333569288253784, 0.19824838638305664, 0.1181965246796608, -0.0591212697327137, 0.5092018246650696, -0.40116819739341736, 0.4182039201259613, -0.016008159145712852, 0.004139484837651253, 0.028845513239502907, -0.04495227336883545, -0.015447136014699936, -1.0426032543182373, -0.01015995442867279, -0.0012233809102326632, 2.8023310733260587e-05, 1.0862386226654053]"
80,0.609375,"[-6.3439327e-01 -7.7301043e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  5.2833557e-03  3.8583070e-02 -2.1853676e-02
 -5.4474831e-02  6.3887924e-02  1.9797137e-01  4.6597481e-02
 -2.8283386e-02 -4.2998083e-02  7.1640968e-02 -5.0627410e-02
 -2.7318454e-01 -4.3869019e-03 -2.0980835e-03 -1.1844826e-01
  5.8175087e-02 -9.5367432e-04 -8.0147743e-02  9.7085953e-02
  6.2752724e-02  3.6049843e-02 -7.2097778e-03  4.6154023e-03
 -6.5937045e-04 -1.0329628e-02 -5.4944991e-03  7.4114115e-03
 -2.0330669e-02 -4.1758539e-03  1.5384675e-03 -6.3735964e-03
 -6.5937045e-04 -3.7588984e-06  8.9399330e-04  2.1982193e-04
 -2.1982193e-04 -3.7363053e-03 -2.1982193e-04 -2.1982193e-04
 -2.7032947e-02 -2.1982193e-04  2.1982193e-04 -2.1982193e-04
  2.1982193e-04 -3.7422308e-01  1.3523930e-01 -1.1855735e-01
 -1.2892314e-02  1.8900786e-02  5.0372976e-01 -1.6968438e-01
  2.4438874e-01 -2.1735786e-01  7.8006238e-02 -5.8419025e-01
  3.7569976e-01 -8.5253686e-02  2.9164899e-02  3.3945942e-01
 -1.3287868e-01 -4.2734709e-02  8.5197069e-02  2.2214147e-01
  3.6092289e-02  2.4695294e-02  9.0021837e-01 -9.0634068e-03
  2.3361231e-04 -1.4155042e-01]","[-0.09903532  0.02581588 -0.02609742 -0.00746575  0.00989339  0.1374551
 -0.03999939  0.05947612 -0.05209658  0.02172753 -0.14611256  0.08151577
 -0.02239124  0.01611945  0.11309329 -0.03074758 -0.00425743  0.00644828
  0.07347681  0.01178075  0.0063556   0.23023586]","[-0.33725547790527344, 0.009042254649102688, -0.043045684695243835, -0.4957476854324341, 0.2900577783584595, -0.1563054472208023, 0.2044045478105545, 0.09751418232917786, -0.04692692682147026, 0.516953706741333, -0.42319831252098083, 0.37310853600502014, -0.020733261480927467, 0.010238759219646454, 0.08498914539813995, -0.03541013225913048, -0.009303162805736065, -0.9950673580169678, 0.048154354095458984, 0.0081439558416605, 0.005047462414950132, 1.190267562866211]"
90,0.6875,"[-9.23879504e-01 -3.82683426e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  7.19070435e-03  3.93460095e-02 -2.68127825e-02
 -5.79080582e-02  6.78093731e-02  1.90947473e-01  4.46901321e-02
 -2.79019158e-02 -4.83386591e-02  7.16409683e-02 -5.20858765e-02
 -2.70376444e-01 -5.53131104e-03 -2.09808350e-03 -1.18066788e-01
  5.81750870e-02 -9.53674316e-04 -8.77771378e-02  9.74674225e-02
  6.27527237e-02  3.60498428e-02 -7.24792480e-04  2.19821930e-04
 -2.19821930e-04 -3.29666142e-03 -4.17585392e-03  2.82468298e-03
 -1.46633844e-04 -3.29666142e-03 -2.19821930e-04 -2.85711302e-03
 -6.59370446e-04 -7.31943874e-04  7.21194840e-04 -4.61540231e-03
  2.19821930e-04 -2.19821930e-04  2.19821930e-04 -2.19821930e-04
  9.01098270e-03 -2.19821930e-04 -2.19821930e-04 -6.59370446e-04
  7.69233704e-03 -4.39442366e-01  3.49803567e-02 -5.93151525e-02
 -7.91792274e-02  1.17277384e-01  6.61594927e-01 -9.11027193e-02
  1.78384289e-01 -1.73112929e-01  1.02906168e-01 -6.83086216e-01
  2.21616894e-01 -6.84673339e-02  4.62321900e-02  4.40323621e-01
 -1.10287040e-01 -1.25323199e-02  1.11190118e-01  3.44239950e-01
  5.62421605e-02  2.59461589e-02  1.16967106e+00 -4.44116816e-02
  5.61355520e-03 -1.35338381e-01]","[-0.1139157   0.00475009 -0.01169053 -0.02107026  0.03706861  0.17203613
 -0.02106573  0.04542827 -0.04278174  0.02546784 -0.17032538  0.04541131
 -0.02125024  0.02020742  0.13347167 -0.02360566  0.0011565   0.01579766
  0.10259627  0.0150319   0.0086961   0.2933542 ]","[-0.3571833074092865, -0.016754763200879097, -0.028004134073853493, -0.5164844393730164, 0.3129342496395111, -0.11219726502895355, 0.22110748291015625, 0.07993362843990326, -0.03610946983098984, 0.5243502259254456, -0.45102426409721375, 0.3314678370952606, -0.02064756490290165, 0.015343604609370232, 0.11780399829149246, -0.027282172814011574, -0.0026398166082799435, -0.9811963438987732, 0.08682761341333389, 0.013422282412648201, 0.007090342231094837, 1.2726389169692993]"
